team_abbr,season,sos_win_pct
NE,2024,0.46565086302838987
NO,2018,0.4938558269311623
NO,2019,0.48940058479532167
NO,2020,0.47561441730688375
NO,2021,0.4971569639207592
NO,2022,0.49553511807199657
NO,2023,0.429164896092596
NO,2024,0.4943759340681577
NYG,2018,0.5164164624183006
NYG,2019,0.4565206290849673
NYG,2020,0.48595792483660133
NYG,2021,0.5276463939548988
NYG,2022,0.5340883167671501
NYG,2023,0.49779234707298814
NYG,2024,0.5490849384129296
NYJ,2018,0.5000147811317509
NYJ,2019,0.4572610294117647
NYJ,2020,0.5813607241142071
NYJ,2021,0.5025814247267535
NYJ,2022,0.5264372002671037
NYJ,2023,0.4925520259703469
NYJ,2024,0.4854509399218924
OAK,2018,0.5291215170278638
OAK,2019,0.4825246710526316
PHI,2018,0.5329890971983335
PHI,2019,0.45684352172241444
PHI,2020,0.5190461601307189
PHI,2021,0.47471811336620423
PHI,2022,0.49567767457860334
PHI,2023,0.47769423558897245
PHI,2024,0.4905671040345963
PIT,2018,0.49284593223254214
PIT,2019,0.48576980134158926
PIT,2020,0.4678640806167668
PIT,2021,0.5249673748641757
PIT,2022,0.5080252534450312
PIT,2023,0.5349711424530825
PIT,2024,0.5053905187806117
SEA,2018,0.4787644934134645
SEA,2019,0.5306886156021863
SEA,2020,0.4505630425544831
SEA,2021,0.5127807985939473
SEA,2022,0.47270381836945297
SEA,2023,0.4971306582488517
SEA,2024,0.4867004593375017
SF,2018,0.486296547127623
SF,2019,0.5264583672804302
SF,2020,0.532670332387341
SF,2021,0.52906162464986
SF,2022,0.44612229102167184
SF,2023,0.5173775124084722
SF,2024,0.5505412897873287
TB,2018,0.5088337418300654
TB,2019,0.4875381621947024
TB,2020,0.5199948400412796
TB,2021,0.48117455661858466
TB,2022,0.5095879677407025
TB,2023,0.4953687107345246
TB,2024,0.5047483905843039
TEN,2018,0.5104878848469212
TEN,2019,0.529395922727355
TEN,2020,0.46913762925190716
TEN,2021,0.47596851606139534
TEN,2022,0.4938292964244521
TEN,2023,0.5134260102389769
TEN,2024,0.5103836581072058
WAS,2018,0.47620506535947715
WAS,2019,0.48633148434812523
WAS,2020,0.4621299500192234
WAS,2021,0.5140209231267326
WAS,2022,0.5201835326493859
WAS,2023,0.49797446326311745
WAS,2024,0.4818996019460416
