avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,recTouchdowns,receptions,targets,yards,player,playerName,position,teamId,season,player_clean,team_abbr,birth_date,total_round_trip_miles
6.316470588,2.846289917,5.962264151,2.866706214,3.409714286,0.563424368,66.03773585,7.047719305,1,35,53,302,"{'season': 2018, 'currentTeamId': '3000', 'displayName': 'Laquon Treadwell', 'esbId': 'TRE425415', 'firstName': 'Laquon', 'footballName': 'Laquon', 'gsisId': '00-0032951', 'gsisItId': 43312, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/ybfzsm2ae4zj5atjlm1k', 'jerseyNumber': 11, 'lastName': 'Treadwell', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'L.Treadwell', 'smartId': '32005452-4542-5415-7fdd-740fe9181fcb', 'status': 'ACT'}",Laquon Treadwell,WR,3000,2018,laquon treadwell,MIN,6/14/1995,14371.79524
6.315555556,5.965291079,10.04228261,3.168861894,5.79203125,-0.173259829,69.56521739,17.68217295,10,64,92,821,"{'season': 2018, 'currentTeamId': '0200', 'displayName': 'Calvin Ridley', 'esbId': 'RID652384', 'firstName': 'Calvin', 'footballName': 'Calvin', 'gsisId': '00-0034837', 'gsisItId': 46095, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/r8hye4mvynz7fxbfooxw', 'jerseyNumber': 18, 'lastName': 'Ridley', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Ridley', 'smartId': '32005249-4465-2384-7253-3a4b46622aa9', 'status': 'ACT'}",Calvin Ridley,WR,200,2018,calvin ridley,ATL,12/20/1994,8246.980691
6.3,5.571539884,20.62906977,2.713103557,6.511538462,0.939998577,60.46511628,17.77505701,3,26,43,526,"{'season': 2018, 'currentTeamId': '0610', 'displayName': 'Robert Foster', 'esbId': 'FOS633097', 'firstName': 'Robert', 'footballName': 'Robert', 'gsisId': '00-0034510', 'gsisItId': 46694, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/n5eaqh4cvtblpiqubi4b', 'jerseyNumber': 16, 'lastName': 'Foster', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'R.Foster', 'smartId': '3200464f-5363-3097-c0bc-5d4f423cb6ba', 'status': 'ACT'}",Robert Foster,WR,610,2018,robert foster,BUF,5/7/1994,10071.57274
6.288712871,3.927293141,6.276548673,2.975121009,5.785135135,1.857841994,65.48672566,17.74602356,4,74,113,789,"{'season': 2018, 'currentTeamId': '3700', 'displayName': 'Golden Tate', 'esbId': 'TAT245022', 'firstName': 'Golden', 'footballName': 'Golden', 'gsisId': '00-0027891', 'gsisItId': 35499, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/ou4hq9jwx5iqbvp1u62j', 'jerseyNumber': 19, 'lastName': 'Tate', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'G.Tate', 'smartId': '32005441-5424-5022-18f3-b9b5433de8e5', 'status': 'ACT', 'suffix': 'III'}",Golden Tate,WR,3700,2018,golden tate,PHI,8/2/1988,18211.13552
6.287083333,5.799869463,12.55383562,3.316116025,6.185789474,0.385920011,52.05479452,16.2632343,2,38,73,581,"{'season': 2018, 'currentTeamId': '1800', 'displayName': 'Marquez Valdes-Scantling', 'esbId': 'VAL142116', 'firstName': 'Marquez', 'footballName': 'Marquez', 'gsisId': '00-0034272', 'gsisItId': 46243, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/kiu5rjfc7aaxaa86t0px', 'jerseyNumber': 83, 'lastName': 'Valdes-Scantling', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'M.Valdes-Scantling', 'smartId': '32005641-4c14-2116-e6d9-84cbe2bdacf5', 'status': 'ACT'}",Marquez Valdes-Scantling,WR,1800,2018,marquez valdes-scantling,GB,10/10/1994,12895.67296
6.279117647,4.462121201,7.038860759,3.219911867,4.181525424,-0.280595777,74.6835443,15.56581327,1,59,79,575,"{'season': 2018, 'currentTeamId': '2700', 'displayName': 'Danny Amendola', 'esbId': 'AME359918', 'firstName': 'Daniel', 'footballName': 'Danny', 'gsisId': '00-0026035', 'gsisItId': 33566, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/lsowpkotvrwu0pfgchne', 'jerseyNumber': 80, 'lastName': 'Amendola', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'D.Amendola', 'smartId': '3200414d-4535-9918-e336-c0dd118d7e30', 'status': 'ACT'}",Danny Amendola,WR,2700,2018,danny amendola,MIA,11/2/1985,18489.7859
6.251081081,4.402366008,9.286853933,2.941083555,5.087454545,0.685088537,61.79775281,14.66784265,2,55,89,636,"{'season': 2018, 'currentTeamId': '1800', 'displayName': 'Jimmy Graham', 'esbId': 'GRA207087', 'firstName': 'Jimmy', 'footballName': 'Jimmy', 'gsisId': '00-0027696', 'gsisItId': 35534, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/k9ab1aej2g0xs0q83nio', 'jerseyNumber': 80, 'lastName': 'Graham', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'TE', 'position': 'TE', 'positionGroup': 'TE', 'shortName': 'J.Graham', 'smartId': '32004752-4120-7087-8983-64184106d580', 'status': 'ACT'}",Jimmy Graham,TE,1800,2018,jimmy graham,GB,11/24/1986,12895.67296
6.244831461,3.592968956,11.90242105,2.589310149,4.583898305,0.990929349,62.10526316,17.13167571,7,59,95,842,"{'season': 2018, 'currentTeamId': '4900', 'displayName': 'Chris Godwin', 'esbId': 'GOD549393', 'firstName': 'Rod', 'footballName': 'Chris', 'gsisId': '00-0033921', 'gsisItId': 44896, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/gv8mcd9ndaqdud3yeooe', 'jerseyNumber': 12, 'lastName': 'Godwin', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Godwin', 'smartId': '3200474f-4454-9393-6eec-24189dd66641', 'status': 'ACT'}",Chris Godwin,WR,4900,2018,chris godwin,TB,2/27/1996,11937.85766
6.243061224,6.09112967,12.02872727,4.08580671,5.979428571,-0.111701098,63.63636364,15.24469208,3,35,55,532,"{'season': 2018, 'currentTeamId': '3200', 'displayName': 'Chris Hogan', 'esbId': 'HOG008552', 'firstName': 'Chris', 'footballName': 'Chris', 'gsisId': '00-0028237', 'gsisItId': 37737, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/dssn7zhhr5aqj3ujotfy', 'jerseyNumber': 15, 'lastName': 'Hogan', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Hogan', 'smartId': '3200484f-4700-8552-d771-1e9cfd53695f', 'status': 'ACT'}",Chris Hogan,WR,3200,2018,chris hogan,NE,10/24/1987,18869.44337
6.238292683,5.181751862,10.47371134,3.445243265,5.97515625,0.793404388,65.97938144,23.08179901,4,64,97,743,"{'season': 2018, 'currentTeamId': '3700', 'displayName': 'Nelson Agholor', 'esbId': 'AGH474619', 'firstName': 'Nelson', 'footballName': 'Nelson', 'gsisId': '00-0031549', 'gsisItId': 42363, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/rlo21k18vop9s50knzyb', 'jerseyNumber': 13, 'lastName': 'Agholor', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'N.Agholor', 'smartId': '32004147-4847-4619-b8a1-bb6c688fe5ac', 'status': 'ACT'}",Nelson Agholor,WR,3700,2018,nelson agholor,PHI,5/24/1993,18211.13552
