is_wr,recTouchdowns,receptions,targets,yards,avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,turf_percentage,total_round_trip_miles,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty,past_ir_count,next_season_ir
1,1,36,44,253,5.791142857,4.627421633,3.169318182,3.466580554,4.081111111,-0.546310522,81.81818182,2.669354206,0.125,12606.14049,302,0.04255799,0.492845932,23,68,181,4.51,0,1
1,9,113,153,1373,5.770486111,3.427741437,9.596928105,2.903090043,3.854867257,0.427125819,73.85620915,32.74803065,0.75,14371.79524,1011,0.031576075,0.49122807,28,74,200,4.45,0,0
0,4,64,82,634,5.763225806,3.737677266,6.875,3.547251405,4.02765625,0.289978984,78.04878049,12.57326506,0.75,14371.79524,925,0.031576075,0.49122807,28,78,265,4.83,1,0
0,6,54,76,569,5.763050847,4.309531814,8.054605263,3.446349332,3.716296296,-0.593235518,71.05263158,13.71816966,0.25,12825.42167,860,0.037970804,0.42912392,26,75,235,4.62,0,1
0,13,66,110,750,5.753152174,3.750305338,9.858181818,3.380877393,3.863181818,0.11287648,60,21.99491707,0.6875,14502.58425,715,0.029891133,0.48635597,25,76,253,4.6,0,1
0,4,39,56,502,5.742619048,4.128700067,9.96375,3.12823136,5.118461538,0.989761472,69.64285714,12.07343118,0.6875,9420.503367,625,-0.006351409,0.500014781,22,76,252,4.78,0,1
0,3,29,43,269,5.732777778,5.256908306,6.093255814,3.689418337,5.236206897,-0.020701409,67.44186047,6.781902846,0.5625,24565.10818,564,0.03545595,0.478764493,25,78,261,4.76,0,0
1,2,27,46,268,5.71047619,3.730646242,9.591521739,2.439853777,3.09962963,-0.631016613,58.69565217,8.949075398,0.6875,14502.58425,599,0.029891133,0.48635597,23,73,219,4.55,0,0
1,4,66,94,838,5.71047619,4.910921051,7.911170213,3.031732952,6.136212121,1.22529107,70.21276596,14.23259036,0.5625,8246.980691,830,0.07570966,0.468622345,29,74,210,4.62,1,0
1,8,113,170,1677,5.697839506,3.204687891,14.02658824,2.484572657,4.198672566,0.993984675,66.47058824,45.6369211,0.5625,8246.980691,818,0.07570966,0.468622345,29,75,220,4.34,1,0
