,avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,recTouchdowns,receptions,targets,yards,player_x,playerName,position,teamId,season,player_clean,team_abbr,total_round_trip_miles,birth_date,turf_percentage,player_y,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty
414,6.769278351,4.422635113,5.363482143,4.001007353,3.95,-0.472635113,73.21428571,11.22937872,1,82,112,693,"{'season': 2021, 'currentTeamId': '0610', 'displayName': 'Cole Beasley', 'esbId': 'BEA434808', 'firstName': 'Cole', 'footballName': 'Cole', 'gsisId': '00-0029000', 'gsisItId': 38947, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/y5r0fhwctl6ljwvmktvu', 'jerseyNumber': 11, 'lastName': 'Beasley', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Beasley', 'smartId': '32004245-4143-4808-b9d8-45a5d1a5ad73', 'status': 'ACT', 'uniformNumber': '11', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",cole beasley,WR,610,2021,cole beasley,BUF,14339.7188,1989-04-26,0.705882353,Cole Beasley,738,0.041309588,0.4783064472326326,32,68.0,174.0,
416,6.759473684,2.647831404,13.09711864,2.670059065,3.602352941,0.954521537,57.62711864,18.06528687,4,34,59,492,"{'season': 2021, 'currentTeamId': '3430', 'displayName': 'Corey Davis', 'esbId': 'DAV247957', 'firstName': 'Corey', 'footballName': 'Corey', 'gsisId': '00-0033871', 'gsisItId': 44817, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/e96ltr3bnrq6bs4o0gvx', 'jerseyNumber': 84, 'lastName': 'Davis', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Davis', 'smartId': '32004441-5624-7957-ef31-0e38b3301e4b', 'status': 'RES', 'uniformNumber': '84', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",corey davis,WR,3430,2021,corey davis,NYJ,13005.03202,1995-01-11,0.764705882,Corey Davis,450,-0.007971469,0.5025814247267535,26,75.0,209.0,
418,6.722264151,4.311252555,7.122258065,3.206488639,3.88902439,-0.422228165,66.12903226,10.59931063,0,41,62,383,"{'season': 2021, 'currentTeamId': '5110', 'displayName': 'Adam Humphries', 'esbId': 'HUM721507', 'firstName': 'Adam', 'footballName': 'Adam', 'gsisId': '00-0032009', 'gsisItId': 43010, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/l56ywjejfpraigzs4qia', 'jerseyNumber': 13, 'lastName': 'Humphries', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'A.Humphries', 'smartId': '32004855-4d72-1507-4b02-e4f7666b5805', 'status': 'ACT', 'uniformNumber': '13', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",adam humphries,WR,5110,2021,adam humphries,WAS,13956.6846,1993-06-24,0.235294118,Adam Humphries,658,-0.0022323027,0.5140209231267326,28,71.0,195.0,
421,6.69258427,4.834031741,5.7624,3.649670951,6.566507937,1.732476196,63.0,12.24671963,0,63,100,619,"{'season': 2021, 'currentTeamId': '2250', 'displayName': 'Laviska Shenault', 'esbId': 'SHE458893', 'firstName': 'Laviska', 'footballName': 'Laviska', 'gsisId': '00-0036268', 'gsisItId': 52450, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/zkrdtuid0lmeopve1c7e', 'jerseyNumber': 10, 'lastName': 'Shenault', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'L.Shenault', 'smartId': '32005348-4545-8893-4e8b-5724302de088', 'status': 'ACT', 'uniformNumber': '10', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",laviska shenault,WR,2250,2021,laviska shenault,JAX,18183.73328,1998-10-05,0.411764706,,697,0.026141085,0.508349593707452,22,73.0,220.0,
423,6.635517241,5.106548119,4.741230769,4.092235707,5.578478261,0.471930142,70.76923077,7.204793533,2,46,65,409,"{'season': 2021, 'currentTeamId': '3430', 'displayName': 'Braxton Berrios', 'esbId': 'BER456050', 'firstName': 'Braxton', 'footballName': 'Braxton', 'gsisId': '00-0034419', 'gsisItId': 46279, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vlx5vkd8ghcq1snnhdij', 'jerseyNumber': 10, 'lastName': 'Berrios', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'B.Berrios', 'smartId': '32004245-5245-6050-b9d8-8b288006bd46', 'status': 'RES', 'uniformNumber': '10', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",braxton berrios,WR,3430,2021,braxton berrios,NYJ,13005.03202,1995-10-06,0.764705882,Braxton Berrios,390,-0.007971469,0.5025814247267535,25,69.0,190.0,
424,6.61,2.79368572,9.9348,2.356899085,3.6821875,0.88850178,64.0,13.14843539,3,32,50,377,"{'season': 2021, 'currentTeamId': '3300', 'displayName': ""Tre'Quan Smith"", 'esbId': 'SMI764556', 'firstName': ""Tre'Quan"", 'footballName': ""Tre'Quan"", 'gsisId': '00-0034765', 'gsisItId': 46160, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/csh1ehzlmtc8lbupeky3', 'jerseyNumber': 10, 'lastName': 'Smith', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Smith', 'smartId': '3200534d-4976-4556-d545-e418d85634bb', 'status': 'ACT', 'uniformNumber': '10', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",tre'quan smith,WR,3300,2021,tre'quan smith,NO,17376.99461,1996-01-07,0.647058824,Tre'Quan Smith,520,0.009710815,0.4971569639207592,25,74.0,210.0,
427,6.519593496,4.22614152,6.790785714,3.336877119,4.574903846,0.348762326,74.28571429,21.99134419,6,104,140,1015,"{'season': 2021, 'currentTeamId': '2700', 'displayName': 'Jaylen Waddle', 'esbId': 'WAD088683', 'firstName': 'Jaylen', 'footballName': 'Jaylen', 'gsisId': '00-0036613', 'gsisItId': 53435, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/hkwyhd9w8pouxwhqn6ly', 'jerseyNumber': 17, 'lastName': 'Waddle', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'J.Waddle', 'smartId': '32005741-4408-8683-c826-c882ad6fd5c2', 'status': 'ACT', 'uniformNumber': '17', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",jaylen waddle,WR,2700,2021,jaylen waddle,MIA,15243.41361,1998-11-25,0.235294118,Jaylen Waddle,903,0.0394654,0.4521337946943483,22,70.0,182.0,
430,6.504,2.638406976,9.651132075,2.454409476,3.087741935,0.449334959,58.49056604,12.64695774,3,31,53,406,"{'season': 2021, 'currentTeamId': '0200', 'displayName': 'Olamide Zaccheaus', 'esbId': 'ZAC133180', 'firstName': 'Olamide', 'footballName': 'Olamide', 'gsisId': '00-0035208', 'gsisItId': 48374, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/pjhk3vxzcmeywvsvhsr7', 'jerseyNumber': 17, 'lastName': 'Zaccheaus', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'O.Zaccheaus', 'smartId': '32005a41-4313-3180-ba01-ae8103314fa2', 'status': 'ACT', 'uniformNumber': '17', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",olamide zaccheaus,WR,200,2021,olamide zaccheaus,ATL,12470.02879,1997-07-23,0.647058824,Olamide Zaccheaus,610,0.0010261456,0.4611323579999595,24,68.0,193.0,
440,6.3146,4.394511315,4.577777778,3.657359885,6.212653061,1.818141746,77.77777778,6.603939923,5,49,63,493,"{'season': 2021, 'currentTeamId': '0920', 'displayName': 'C.J. Uzomah', 'esbId': 'UZO415291', 'firstName': 'Christopher', 'footballName': 'C.J.', 'gsisId': '00-0032134', 'gsisItId': 42500, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/mx5gvpkq84jphclpkvux', 'jerseyNumber': 87, 'lastName': 'Uzomah', 'position': 'TE', 'positionGroup': 'TE', 'shortName': 'C.Uzomah', 'smartId': '3200555a-4f41-5291-7c48-f42f95ee20d2', 'status': 'ACT', 'uniformNumber': '87', 'ngsPosition': 'TE', 'ngsPositionGroup': 'TE'}",c.j. uzomah,TE,920,2021,cj uzomah,CIN,11007.81672,1993-01-14,0.647058824,C.J. Uzomah,966,0.058091793,0.4998666133119914,28,78.0,260.0,
444,6.288095238,2.947574352,12.73248062,2.584869217,4.588133333,1.640558981,58.13953488,36.70598384,12,75,129,967,"{'season': 2021, 'currentTeamId': '4600', 'displayName': 'DK Metcalf', 'esbId': 'MET363377', 'firstName': 'DeKaylin', 'footballName': 'DK', 'gsisId': '00-0035640', 'gsisItId': 47847, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/oa43ir8zoaiofwbupkrt', 'jerseyNumber': 14, 'lastName': 'Metcalf', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'D.Metcalf', 'smartId': '32004d45-5436-3377-5806-d2746f1b94aa', 'status': 'ACT', 'uniformNumber': '14', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",dk metcalf,WR,4600,2021,dk metcalf,SEA,28058.18673,1997-12-14,0.705882353,,820,0.021555629,0.5127807985939473,23,76.0,230.0,
