player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
marvin jones,marvin jones,2019,marvin jones,2019,100
dj chark,dj chark,2019,dj chark,2021,100
dj chark,dj chark,2019,dj chark,2022,100
dj chark,dj chark,2019,dj chark,2024,100
hunter renfrow,hunter renfrow,2019,hunter renfrow,2022,100
allen lazard,allen lazard,2019,allen lazard,2020,100
allen lazard,allen lazard,2019,allen lazard,2024,100
marquise brown,marquise brown,2019,marquise brown,2022,100
marquise brown,marquise brown,2019,marquise brown,2023,100
marquise brown,marquise brown,2019,marquise brown,2024,100
adam thielen,adam thielen,2019,adam thielen,2021,100
adam thielen,adam thielen,2019,adam thielen,2024,100
allen hurns,allen hurns,2019,allen hurns,2018,100
allen hurns,allen hurns,2019,allen hurns,2021,100
cooper kupp,cooper kupp,2019,cooper kupp,2018,100
cooper kupp,cooper kupp,2019,cooper kupp,2022,100
cooper kupp,cooper kupp,2019,cooper kupp,2023,100
danny amendola,danny amendola,2019,danny amendola,2011,100
danny amendola,danny amendola,2019,danny amendola,2021,100
tyler lockett,tyler lockett,2019,tyler lockett,2016,100
josh reynolds,josh reynolds,2019,josh reynolds,2024,100
randall cobb,randall cobb,2019,randall cobb,2013,100
randall cobb,randall cobb,2019,randall cobb,2020,100
randall cobb,randall cobb,2019,randall cobb,2021,100
randall cobb,randall cobb,2019,randall cobb,2022,100
nick boyle,nick boyle,2019,nick boyle,2020,100
nick boyle,nick boyle,2019,nick boyle,2021,100
dede westbrook,dede westbrook,2019,dede westbrook,2017,100
dede westbrook,dede westbrook,2019,dede westbrook,2020,100
james washington,james washington,2019,james washington,2022,100
brandin cooks,brandin cooks,2019,brandin cooks,2014,100
brandin cooks,brandin cooks,2019,brandin cooks,2024,100
diontae johnson,diontae johnson,2019,diontae johnson,2023,100
ty hilton,ty hilton,2019,ty hilton,2021,100
mark andrews,mark andrews,2019,mark andrews,2023,100
jamison crowder,jamison crowder,2019,jamison crowder,2022,100
jamison crowder,jamison crowder,2019,jamison crowder,2024,100
christian kirk,christian kirk,2019,christian kirk,2018,100
christian kirk,christian kirk,2019,christian kirk,2023,100
christian kirk,christian kirk,2019,christian kirk,2024,100
tyler higbee,tyler higbee,2019,tyler higbee,2021,100
kendrick bourne,kendrick bourne,2019,kendrick bourne,2023,100
breshad perriman,breshad perriman,2019,breshad perriman,2015,100
zach ertz,zach ertz,2019,zach ertz,2020,100
zach ertz,zach ertz,2019,zach ertz,2022,100
zach ertz,zach ertz,2019,zach ertz,2023,100
evan engram,evan engram,2019,evan engram,2019,100
evan engram,evan engram,2019,evan engram,2024,100
jonnu smith,jonnu smith,2019,jonnu smith,2018,100
russell gage,russell gage,2019,russell gage,2023,100
tj hockenson,tj hockenson,2019,tj hockenson,2019,100
tj hockenson,tj hockenson,2019,tj hockenson,2021,100
tj hockenson,tj hockenson,2019,tj hockenson,2023,100
demaryius thomas,demaryius thomas,2019,demaryius thomas,2018,100
curtis samuel,curtis samuel,2019,curtis samuel,2017,100
curtis samuel,curtis samuel,2019,curtis samuel,2021,100
auden tate,auden tate,2019,auden tate,2019,100
auden tate,auden tate,2019,auden tate,2020,100
auden tate,auden tate,2019,auden tate,2021,100
john ross,john ross,2019,john ross,2017,100
john ross,john ross,2019,john ross,2019,100
john ross,john ross,2019,john ross,2020,100
john ross,john ross,2019,john ross,2021,100
deebo samuel sr,deebo samuel,2019,deebo samuel,2020,100
eric ebron,eric ebron,2019,eric ebron,2019,100
eric ebron,eric ebron,2019,eric ebron,2021,100
damiere byrd,damiere byrd,2019,damiere byrd,2017,100
damiere byrd,damiere byrd,2019,damiere byrd,2017,100
damiere byrd,damiere byrd,2019,damiere byrd,2018,100
damiere byrd,damiere byrd,2019,damiere byrd,2023,100
anthony miller,anthony miller,2019,anthony miller,2022,100
sterling shepard,sterling shepard,2019,sterling shepard,2020,100
sterling shepard,sterling shepard,2019,sterling shepard,2021,100
sterling shepard,sterling shepard,2019,sterling shepard,2022,100
marquez valdes-scantling,marquez valdes-scantling,2019,marquez valdes-scantling,2021,100
julian edelman,julian edelman,2019,julian edelman,2012,100
julian edelman,julian edelman,2019,julian edelman,2017,100
julian edelman,julian edelman,2019,julian edelman,2020,100
jarvis landry,jarvis landry,2019,jarvis landry,2021,100
jarvis landry,jarvis landry,2019,jarvis landry,2022,100
geronimo allison,geronimo allison,2019,geronimo allison,2018,100
kyle rudolph,kyle rudolph,2019,kyle rudolph,2013,100
kyle rudolph,kyle rudolph,2019,kyle rudolph,2020,100
dallas goedert,dallas goedert,2019,dallas goedert,2020,100
dallas goedert,dallas goedert,2019,dallas goedert,2022,100
dallas goedert,dallas goedert,2019,dallas goedert,2024,100
jimmy graham,jimmy graham,2019,jimmy graham,2015,100
michael gallup,michael gallup,2019,michael gallup,2021,100
michael gallup,michael gallup,2019,michael gallup,2021,100
julio jones,julio jones,2019,julio jones,2013,100
julio jones,julio jones,2019,julio jones,2021,100
will fuller,will fuller,2019,will fuller,2018,100
will fuller,will fuller,2019,will fuller,2021,100
willie snead,willie snead,2019,willie snead,2024,100
odell beckham,odell beckham,2019,odell beckham,2017,100
odell beckham,odell beckham,2019,odell beckham,2020,100
adam humphries,adam humphries,2019,adam humphries,2020,100
hunter henry,hunter henry,2019,hunter henry,2017,100
hunter henry,hunter henry,2019,hunter henry,2023,100
tyler boyd,tyler boyd,2019,tyler boyd,2018,100
josh gordon,josh gordon,2019,josh gordon,2019,100
cameron brate,cameron brate,2019,cameron brate,2016,100
jack doyle,jack doyle,2019,jack doyle,2018,100
keenan allen,keenan allen,2019,keenan allen,2015,100
keenan allen,keenan allen,2019,keenan allen,2016,100
travis kelce,travis kelce,2019,travis kelce,2013,100
tyler eifert,tyler eifert,2019,tyler eifert,2014,100
tyler eifert,tyler eifert,2019,tyler eifert,2016,100
tyler eifert,tyler eifert,2019,tyler eifert,2017,100
tyler eifert,tyler eifert,2019,tyler eifert,2018,100
irv smith,irv smith,2019,irv smith,2021,100
irv smith,irv smith,2019,irv smith,2022,100
darren waller,darren waller,2019,darren waller,2015,100
darren waller,darren waller,2019,darren waller,2022,100
darren waller,darren waller,2019,darren waller,2023,100
sammy watkins,sammy watkins,2019,sammy watkins,2016,100
sammy watkins,sammy watkins,2019,sammy watkins,2022,100
mike evans,mike evans,2019,mike evans,2019,100
phillip dorsett,phillip dorsett,2019,phillip dorsett,2020,100
phillip dorsett,phillip dorsett,2019,phillip dorsett,2021,100
mike williams,mike williams,2019,mike williams,2011,100
mike williams,mike williams,2019,mike williams,2013,100
mike williams,mike williams,2019,mike williams,2014,100
mike williams,mike williams,2019,mike williams,2023,100
greg olsen,greg olsen,2019,greg olsen,2017,100
greg olsen,greg olsen,2019,greg olsen,2018,100
greg olsen,greg olsen,2019,greg olsen,2020,100
vance mcdonald,vance mcdonald,2019,vance mcdonald,2014,100
vance mcdonald,vance mcdonald,2019,vance mcdonald,2016,100
mohamed sanu,mohamed sanu,2019,mohamed sanu,2012,100
mohamed sanu,mohamed sanu,2019,mohamed sanu,2021,100
michael thomas,michael thomas,2019,michael thomas,2014,100
michael thomas,michael thomas,2019,michael thomas,2017,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2022,100
michael thomas,michael thomas,2019,michael thomas,2023,100
michael thomas,michael thomas,2019,michael thomas,2014,100
michael thomas,michael thomas,2019,michael thomas,2017,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2022,100
michael thomas,michael thomas,2019,michael thomas,2023,100
michael thomas,michael thomas,2019,michael thomas,2014,100
michael thomas,michael thomas,2019,michael thomas,2017,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2022,100
michael thomas,michael thomas,2019,michael thomas,2023,100
michael thomas,michael thomas,2019,michael thomas,2014,100
michael thomas,michael thomas,2019,michael thomas,2017,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2022,100
michael thomas,michael thomas,2019,michael thomas,2023,100
george kittle,george kittle,2019,george kittle,2020,100
george kittle,george kittle,2019,george kittle,2021,100
emmanuel sanders,emmanuel sanders,2019,emmanuel sanders,2018,100
courtland sutton,courtland sutton,2019,courtland sutton,2020,100
allen robinson,allen robinson,2019,allen robinson,2014,100
allen robinson,allen robinson,2019,allen robinson,2017,100
allen robinson,allen robinson,2019,allen robinson,2022,100
devante parker,devante parker,2019,devante parker,2021,100
oj howard,oj howard,2019,oj howard,2017,100
oj howard,oj howard,2019,oj howard,2018,100
oj howard,oj howard,2019,oj howard,2020,100
deandre hopkins,deandre hopkins,2019,deandre hopkins,2021,100
chris conley,chris conley,2019,chris conley,2017,100
tyrell williams,tyrell williams,2019,tyrell williams,2020,100
tyrell williams,tyrell williams,2019,tyrell williams,2021,100
aj brown,aj brown,2019,aj brown,2021,100
jared cook,jared cook,2019,jared cook,2012,100
juju smith-schuster,juju smith-schuster,2019,juju smith-schuster,2021,100
juju smith-schuster,juju smith-schuster,2019,juju smith-schuster,2023,100
alshon jeffery,alshon jeffery,2019,alshon jeffery,2015,100
alshon jeffery,alshon jeffery,2019,alshon jeffery,2019,100
john brown,john brown,2019,john brown,2020,100
stefon diggs,stefon diggs,2019,stefon diggs,2024,100
preston williams,preston williams,2019,preston williams,2019,100
preston williams,preston williams,2019,preston williams,2020,100
dawson knox,dawson knox,2019,dawson knox,2023,100
darnell mooney,darnell mooney,2020,darnell mooney,2022,100
marquise brown,marquise brown,2020,marquise brown,2022,100
marquise brown,marquise brown,2020,marquise brown,2023,100
marquise brown,marquise brown,2020,marquise brown,2024,100
braxton berrios,braxton berrios,2020,braxton berrios,2018,100
braxton berrios,braxton berrios,2020,braxton berrios,2021,100
braxton berrios,braxton berrios,2020,braxton berrios,2024,100
laviska shenault,laviska shenault,2020,laviska shenault,2023,100
cam sims,cam sims,2020,cam sims,2018,100
cam sims,cam sims,2020,cam sims,2024,100
deebo samuel,deebo samuel,2020,deebo samuel,2020,100
robert woods,robert woods,2020,robert woods,2015,100
robert woods,robert woods,2020,robert woods,2021,100
curtis samuel,curtis samuel,2020,curtis samuel,2017,100
curtis samuel,curtis samuel,2020,curtis samuel,2021,100
corey davis,corey davis,2020,corey davis,2021,100
david moore,david moore,2020,david moore,2022,100
brandin cooks,brandin cooks,2020,brandin cooks,2014,100
brandin cooks,brandin cooks,2020,brandin cooks,2024,100
danny amendola,danny amendola,2020,danny amendola,2011,100
danny amendola,danny amendola,2020,danny amendola,2021,100
marvin jones,marvin jones,2020,marvin jones,2014,100
marvin jones,marvin jones,2020,marvin jones,2018,100
marvin jones,marvin jones,2020,marvin jones,2019,100
hunter renfrow,hunter renfrow,2020,hunter renfrow,2022,100
jakeem grant,jakeem grant,2020,jakeem grant,2018,100
jakeem grant,jakeem grant,2020,jakeem grant,2019,100
jakeem grant,jakeem grant,2020,jakeem grant,2021,100
jakeem grant,jakeem grant,2020,jakeem grant,2022,100
jakeem grant,jakeem grant,2020,jakeem grant,2023,100
jakeem grant,jakeem grant,2020,jakeem grant,2024,100
emmanuel sanders,emmanuel sanders,2020,emmanuel sanders,2018,100
hayden hurst,hayden hurst,2020,hayden hurst,2021,100
hayden hurst,hayden hurst,2020,hayden hurst,2023,100
hayden hurst,hayden hurst,2020,hayden hurst,2024,100
jalen reagor,jalen reagor,2020,jalen reagor,2020,100
jalen reagor,jalen reagor,2020,jalen reagor,2024,100
eric ebron,eric ebron,2020,eric ebron,2019,100
eric ebron,eric ebron,2020,eric ebron,2021,100
sterling shepard,sterling shepard,2020,sterling shepard,2020,100
sterling shepard,sterling shepard,2020,sterling shepard,2021,100
sterling shepard,sterling shepard,2020,sterling shepard,2022,100
randall cobb,randall cobb,2020,randall cobb,2013,100
randall cobb,randall cobb,2020,randall cobb,2020,100
randall cobb,randall cobb,2020,randall cobb,2021,100
randall cobb,randall cobb,2020,randall cobb,2022,100
chris godwin,chris godwin,2020,chris godwin,2020,100
chris godwin,chris godwin,2020,chris godwin,2021,100
chris godwin,chris godwin,2020,chris godwin,2024,100
dallas goedert,dallas goedert,2020,dallas goedert,2020,100
