Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted,player_clean_cleaned
2012,Lions,,austin wells,placed on ir with undisclosed injury,,,,9/1/2012,,austin wells,austin wells
2012,Lions,,reshard langford,placed on ir,,,,9/1/2012,,reshard langford,reshard langford
2012,Panthers,,darius butler,placed on ir,,,,9/1/2012,,darius butler,darius butler
2012,Panthers,,lee ziemba,placed on ir with knee injury,,,,9/1/2012,,lee ziemba,lee ziemba
2012,Panthers,,tauren poole,placed on ir with ribs injury,,,,9/1/2012,,tauren poole,tauren poole
2012,Redskins,,dorson boyce,placed on ir with undisclosed injury,,,,9/1/2012,,dorson boyce,dorson boyce
2012,Redskins,,tristan davis,placed on ir with undisclosed injury,,,,9/1/2012,,tristan davis,tristan davis
2012,Seahawks,,cooper helfet,placed on ir,,,,9/1/2012,,cooper helfet,cooper helfet
2012,Seahawks,,vai taua,placed on ir with undisclosed injury,,,,9/1/2012,,vai taua,vai taua
2012,Texans,,jerrell jackson,placed on ir with undisclosed injury,,,,9/1/2012,,jerrell jackson,jerrell jackson
2012,Browns,,scott paxson,placed on ir,,,,9/2/2012,,scott paxson,scott paxson
2012,Jaguars,,zach miller scott,placed on ir with calf injury,,,,9/2/2012,,zach miller scott,zach miller scott
2012,Raiders,,jamie cumbie,placed on ir with foot injury,,,,9/2/2012,,jamie cumbie,jamie cumbie
2012,49ers,,parys haralson,placed on ir with arm injury,,,,9/3/2012,,parys haralson,parys haralson
2012,Cardinals,,jeremy bridges,placed on ir with thumb injury,,,,9/3/2012,,jeremy bridges,jeremy bridges
2012,Bengals,,kyle cook,placed on ir with foot injury,,,,9/4/2012,,kyle cook,kyle cook
2012,Bills,,ron brooks a,placed on ir with foot injury,,,,9/4/2012,,ron brooks a,ron brooks a
2012,Chargers,,vincent brown jr,placed on ir with ankle injury,,,,9/4/2012,,vincent brown jr,vincent brown jr
2012,Dolphins,,artis hicks,placed on ir with neck injury,,,,9/4/2012,,artis hicks,artis hicks
2012,Jaguars,,brett brackett,placed on ir with knee injury,,,,9/4/2012,,brett brackett,brett brackett
2012,Patriots,,visanthe shiancoe,placed on ir with hamstring injury,,,,9/5/2012,,visanthe shiancoe,visanthe shiancoe
2012,Falcons,,tim toone,placed on ir,,,,9/7/2012,,tim toone,tim toone
2012,Steelers,,david decastro,placed on ir with surgery on knee,,,,9/7/2012,,david decastro,david decastro
2012,Bears,,lorenzo booker,placed on ir with head injury,,,,9/8/2012,,lorenzo booker,lorenzo booker
2012,Saints,,marcel jones,placed on ir with left knee injury,,,,9/8/2012,,marcel jones,marcel jones
2012,Redskins,,jordan bernstine,"placed on ir with torn acl, mcl, pcl in right knee",,,,9/10/2012,,jordan bernstine,jordan bernstine
2012,Redskins,,jordan morris,placed on ir,,,,9/10/2012,,jordan morris,jordan morris
2012,Bills,,david nelson b,placed on ir with torn acl in right knee,,,,9/11/2012,,david nelson b,david nelson b
2012,Broncos,,ty warren,placed on ir with triceps injury,,,,9/11/2012,,ty warren,ty warren
2012,Falcons,,brent grimes,placed on ir with torn achilles tendon,,,,9/11/2012,,brent grimes,brent grimes
2012,Redskins,,nick sundberg,placed on ir with arm injury,,,,9/11/2012,,nick sundberg,nick sundberg
2012,Rams,,scott wells,placed on ir with left foot injury,,,,9/12/2012,,scott wells,scott wells
2012,Saints,,adrian arrington,placed on ir with right knee injury,,,,9/12/2012,,adrian arrington,adrian arrington
2012,Bengals,,thomas howard arquis,placed on ir with torn acl in knee,,,,9/14/2012,,thomas howard arquis,thomas howard arquis
2012,Raiders,,jacoby ford,placed on ir with foot injury,,,,9/15/2012,,jacoby ford,jacoby ford
2012,Raiders,,ronald bartell  ron bartell,placed on ir with shoulder injury,,,,9/15/2012,,ronald bartell ron bartell,ronald bartell ron
2012,Bengals,,jamaal anderson,placed on ir with torn left quadriceps tendon,,,,9/18/2012,,jamaal anderson,jamaal anderson
2012,Broncos,,philip blake,placed on ir with thumb injury,,,,9/18/2012,,philip blake,philip blake
2012,Eagles,,jason kelce,"placed on ir with torn acl, mcl in right knee",,,,9/18/2012,,jason kelce,jason kelce
2012,Rams,,rokevious watkins,placed on ir with ankle injury,,,,9/18/2012,,rokevious watkins,rokevious watkins
2012,Redskins,,adam carriker,placed on ir with torn right quadriceps tendon,,,,9/18/2012,,adam carriker,adam carriker
2012,Redskins,,brian orakpo,placed on ir with torn left pectoral muscle,,,,9/18/2012,,brian orakpo,brian orakpo
2012,Lions,,drayton florence,placed on ir with forearm injury,,,,9/19/2012,,drayton florence,drayton florence
2012,Buccaneers,,sammie stroughter,placed on ir with fractured right foot,,,,9/21/2012,,sammie stroughter,sammie stroughter
2012,Buccaneers,,adrian clayborn,placed on ir with torn ligaments in right knee,,,,9/25/2012,,adrian clayborn,adrian clayborn
2012,Chiefs,,jacques reeves,placed on ir with hamstring injury,,,,9/25/2012,,jacques reeves,jacques reeves
2012,Colts,,austin collie,placed on ir with ruptured patellar tendon in right knee,,,,9/25/2012,,austin collie,austin collie
2012,Lions,,ben graham,placed on ir with calf injury,,,,9/25/2012,,ben graham,ben graham
2012,Cardinals,,chris wells  beanie wells,placed on ir with turf toe,,,,9/26/2012,,chris wells beanie wells,chris wells beanie
2012,Chiefs,,rodney hudson,placed on ir with fractured right leg,,,,9/26/2012,,rodney hudson,rodney hudson
2012,Cowboys,,barry church,placed on ir with torn right achilles tendon,,,,9/26/2012,,barry church,barry church
2012,Redskins,,crezdon butler,placed on ir with hamstring injury,,,,9/26/2012,,crezdon butler,crezdon butler
2012,Redskins,,roy helu jr,placed on ir with achilles tendon injury,,,,9/26/2012,,roy helu jr,roy helu jr
2012,Titans,,keyunta dawson,placed on ir with hamstring injury,,,,9/26/2012,,keyunta dawson,keyunta dawson
2012,Broncos,,quinton carter,placed on ir with knee injury,,,,9/29/2012,,quinton carter,quinton carter
2012,Broncos,,jd walton,placed on ir with left ankle injury,,,,10/1/2012,,jd walton,jd walton
2012,Jets,,dedrick epps,placed on ir with knee injury,,,,10/2/2012,,dedrick epps,dedrick epps
2012,Chiefs,,kevin boss,placed on ir with concussion,,,,10/3/2012,,kevin boss,kevin boss
2012,Dolphins,,mike rivera,placed on ir with groin injury,,,,10/3/2012,,mike rivera,mike rivera
2012,Jets,,santonio holmes,placed on ir with left foot injury,,,,10/3/2012,,santonio holmes,santonio holmes
2012,Panthers,,mike pollak,placed on ir with shoulder injury,,,,10/6/2012,,mike pollak,mike pollak
2012,Bengals,,bernard scott,placed on ir with left knee injury,,,,10/8/2012,,bernard scott,bernard scott
2012,Colts,,seth olsen,placed on ir with knee injury,,,,10/8/2012,,seth olsen,seth olsen
2012,Bills,,colin brown,placed on ir with hamstring injury,,,,10/9/2012,,colin brown,colin brown
2012,Buccaneers,,anthony gaitor,placed on ir with hamstring injury,,,,10/9/2012,,anthony gaitor,anthony gaitor
2012,Cardinals,,ryan williams a,placed on ir with left shoulder injury,,,,10/9/2012,,ryan williams a,ryan williams a
2012,Jets,,josh mauga,placed on ir with torn pectoral muscle,,,,10/10/2012,,josh mauga,josh mauga
2012,Packers,,cedric benson,placed on ir with foot injury,,,,10/10/2012,,cedric benson,cedric benson
2012,Texans,,brian cushing,placed on ir with torn acl in left knee,,,,10/10/2012,,brian cushing,brian cushing
2012,Panthers,,ryan kalil,placed on ir with lisfranc injury in left foot,,,,10/11/2012,,ryan kalil,ryan kalil
2012,Browns,,jordan norwood,placed on ir with left foot injury,,,,10/14/2012,,jordan norwood,jordan norwood
2012,Jets,,darrelle revis,placed on ir with torn acl in left knee,,,,10/14/2012,,darrelle revis,darrelle revis
2012,Packers,,brandon saine,placed on ir with torn acl in knee,,,,10/15/2012,,brandon saine,brandon saine
2012,Ravens,,lardarius webb,placed on ir with torn acl in left knee,,,,10/16/2012,,lardarius webb,lardarius webb
2012,Texans,,tim jamison,placed on ir with torn right achilles tendon,,,,10/16/2012,,tim jamison,tim jamison
2012,Packers,,dj smith,placed on ir with torn acl in knee,,,,10/17/2012,,dj smith,dj smith
2012,Panthers,,kenny onatolu,placed on ir with torn triceps,,,,10/17/2012,,kenny onatolu,kenny onatolu
2012,Ravens,,ray lewis anthony,placed on ir with triceps injury,,,,10/17/2012,,ray lewis anthony,ray lewis anthony
2012,Giants,,darel scott,placed on ir with knee injury,,,,10/20/2012,,darel scott,darel scott
2012,Browns,,jason pinkston,placed on ir with blood clot in lungs,,,,10/22/2012,,jason pinkston,jason pinkston
2012,Chargers,,nate kaeding,placed on ir with right groin injury,,,,10/22/2012,,nate kaeding,nate kaeding
2012,Panthers,,chris gamble,placed on ir with shoulder injury,,,,10/22/2012,,chris gamble,chris gamble
2012,Redskins,,fred davis martin,placed on ir with torn left achilles tendon,,,,10/22/2012,,fred davis martin,fred davis martin
2012,Cowboys,,chris jones b 1989-07-21,placed on ir with left knee injury,,,,10/24/2012,,chris jones b --,chris jones
2012,Cowboys,,sean lee,placed on ir with ligament damage in right big toe,,,,10/24/2012,,sean lee,sean lee
2012,Lions,,nate burleson,placed on ir with fractured right leg,,,,10/24/2012,,nate burleson,nate burleson
2012,Panthers,,jon beason,placed on ir with knee injury,,,,10/24/2012,,jon beason,jon beason
2012,Titans,,zac diles,placed on ir with fractured leg,,,,10/24/2012,,zac diles,zac diles
2012,Jaguars,,daryl smith l,placed on ir with groin injury,,,,10/25/2012,,daryl smith l,daryl smith l
2012,Texans,,david hunter,placed on ir with toe injury,,,,10/25/2012,,david hunter,david hunter
2012,Patriots,,ras-i dowling,placed on ir with thigh injury,,,,10/26/2012,,ras-i dowling,ras-i dowling
2012,Saints,,daniel graham  dan graham b,placed on ir with knee injury,,,,10/26/2012,,daniel graham dan graham b,daniel graham dan b
2012,Titans,,javon ringer,placed on ir with torn mcl in knee,,,,10/26/2012,,javon ringer,javon ringer
2012,Vikings,,chris cook a,placed on ir with broken arm,,,,10/26/2012,,chris cook a,chris cook a
2012,Browns,,scott fujita,"placed on ir with neck, shoulder injury",,,,10/27/2012,,scott fujita,scott fujita
2012,Broncos,,joe mays,placed on ir with fractured fibula / left ankle,,,,10/30/2012,,joe mays,joe mays
2012,Browns,,emmanuel stephens,placed on ir with neck injury,,,,10/30/2012,,emmanuel stephens,emmanuel stephens
2012,Buccaneers,,carl nicks,placed on ir with torn plantar plate in left toe,,,,10/30/2012,,carl nicks,carl nicks
2012,Buccaneers,,danny noble,placed on ir with hamstring injury,,,,10/30/2012,,danny noble,danny noble
2012,Chargers,,richard goodman,placed on ir with hamstring injury,,,,10/30/2012,,richard goodman,richard goodman
2012,Falcons,,kerry meier,placed on ir,,,,10/30/2012,,kerry meier,kerry meier
2012,Rams,,matt daniels,placed on ir with torn acl in right knee,,,,10/30/2012,,matt daniels,matt daniels
2012,Seahawks,,ben obomanu,placed on ir with wrist injury,,,,10/30/2012,,ben obomanu,ben obomanu
2012,Lions,,dwight bentley  bill bentley,placed on ir with shoulder injury,,,,11/1/2012,,dwight bentley bill bentley,dwight bentley bill
2012,Bills,,chad rinehart,placed on ir with ankle injury,,,,11/2/2012,,chad rinehart,chad rinehart
2012,Browns,,brian sanford,placed on ir with knee injury,,,,11/2/2012,,brian sanford,brian sanford
2012,Bills,,erik pears,placed on ir with hip injury,,,,11/6/2012,,erik pears,erik pears
2012,Bills,,terrence mcgee,placed on ir with left knee injury,,,,11/6/2012,,terrence mcgee,terrence mcgee
2012,Cardinals,,obrien schofield,placed on ir with left ankle injury,,,,11/6/2012,,obrien schofield,obrien schofield
2012,Falcons,,garrett reynolds,placed on ir with shoulder / back injury,,,,11/6/2012,,garrett reynolds,garrett reynolds
2012,Panthers,,kealoha pilares,placed on ir with shoulder injury,,,,11/6/2012,,kealoha pilares,kealoha pilares
2012,Cowboys,,orie lemon,placed on ir with right hamstring injury,,,,11/7/2012,,orie lemon,orie lemon
2012,Dolphins,,richard marshall b,placed on ir with back injury,,,,11/7/2012,,richard marshall b,richard marshall b
2012,Eagles,,todd herremans,placed on ir with right foot/ankle injury,,,,11/7/2012,,todd herremans,todd herremans
2012,Packers,,nick perry joel,placed on ir with left wrist injury,,,,11/7/2012,,nick perry joel,nick perry joel
2012,Titans,,leroy harris jr b 1984-06-06,placed on ir with partially torn acl in right knee,,,,11/7/2012,,leroy harris jr b --,leroy harris jr
2012,Giants,,michael coe,placed on ir with hamstring injury,,,,11/10/2012,,michael coe,michael coe
2012,Raiders,,shawntae spencer,placed on ir with foot injury,,,,11/10/2012,,shawntae spencer,shawntae spencer
2012,Chiefs,,glenn dorsey,placed on ir with calf injury,,,,11/12/2012,,glenn dorsey,glenn dorsey
2012,Colts,,drake nevis,placed on ir with hand injury,,,,11/12/2012,,drake nevis,drake nevis
2012,Colts,,jerraud powers,placed on ir with toe injury,,,,11/12/2012,,jerraud powers,jerraud powers
2012,Packers,,bryan bulaga,placed on ir with right hip injury,,,,11/12/2012,,bryan bulaga,bryan bulaga
2012,Buccaneers,,quincy black,placed on ir with neck injury,,,,11/13/2012,,quincy black,quincy black
2012,Falcons,,tommy gallarda,placed on ir with shoulder injury,,,,11/13/2012,,tommy gallarda,tommy gallarda
2012,Jets,,isaiah trufant,placed on ir with knee injury,,,,11/13/2012,,isaiah trufant,isaiah trufant
2012,Ravens,,bobby rainey,placed on ir with knee injury,,,,11/13/2012,,bobby rainey,bobby rainey
2012,Cowboys,,kenyon coleman,placed on ir with torn triceps,,,,11/14/2012,,kenyon coleman,kenyon coleman
2012,Giants,,markus kuhn,placed on ir with torn acl in knee,,,,11/14/2012,,markus kuhn,markus kuhn
2012,Panthers,,thomas keiser,placed on ir with elbow injury,,,,11/14/2012,,thomas keiser,thomas keiser
2012,Raiders,,travis goethel,placed on ir with torn acl in knee,,,,11/14/2012,,travis goethel,travis goethel
2012,Steelers,,chris carter darnell,placed on ir with abdominal injury,,,,11/15/2012,,chris carter darnell,chris carter darnell
2012,Chiefs,,jake oconnell,placed on ir with ankle injury,,,,11/17/2012,,jake oconnell,jake oconnell
2012,Cowboys,,matt johnson c,placed on ir with hamstring injury,,,,11/17/2012,,matt johnson c,matt johnson c
2012,Lions,,amari spievey,placed on ir with concussion,,,,11/17/2012,,amari spievey,amari spievey
2012,Ravens,,christian thompson,placed on ir with knee injury,,,,11/17/2012,,christian thompson,christian thompson
2012,Bills,,mike caussin,placed on ir with knee injury,,,,11/19/2012,,mike caussin,mike caussin
2012,Redskins,,brandon meriweather,placed on ir with knee injury,,,,11/20/2012,,brandon meriweather,brandon meriweather
2012,Broncos,,willis mcgahee,placed on ir with knee injury,,,,11/21/2012,,willis mcgahee,willis mcgahee
2012,Chargers,,mike windt,placed on ir with wrist injury,,,,11/21/2012,,mike windt,mike windt
2012,Jaguars,,blaine gabbert,"placed on ir with right forearm, left shoulder injuries",,,,11/21/2012,,blaine gabbert,blaine gabbert
2012,Jaguars,,laurent robinson,placed on ir with concussion,,,,11/21/2012,,laurent robinson,laurent robinson
2012,Buccaneers,,arrelious benn,placed on ir with knee injury,,,,11/22/2012,,arrelious benn,arrelious benn
2012,Chargers,,jared gaither,placed on ir with groin injury,,,,11/23/2012,,jared gaither,jared gaither
2012,Bears,,lance louis,placed on ir with torn acl in left knee,,,,11/26/2012,,lance louis,lance louis
2012,Cowboys,,bruce carter edward,placed on ir with dislocated left elbow,,,,11/26/2012,,bruce carter edward,bruce carter edward
2012,Giants,,andre brown b,placed on ir with fractured left fibula,,,,11/26/2012,,andre brown b,andre brown b
2012,Ravens,,anthony levine,placed on ir with shoulder injury,,,,11/26/2012,,anthony levine,anthony levine
2012,Redskins,,keenan robinson,placed on ir with pectoral muscle injury,,,,11/26/2012,,keenan robinson,keenan robinson
2012,Steelers,,marcus gilbert christopher,placed on ir with ankle injury,,,,11/26/2012,,marcus gilbert christopher,marcus gilbert christopher
2012,49ers,,kendall hunter,placed on ir with achilles tendon injury,,,,11/27/2012,,kendall hunter,kendall hunter
2012,Bills,,kyle williams derrick,placed on ir with torn acl in left knee,,,,11/27/2012,,kyle williams derrick,kyle williams derrick
2012,Buccaneers,,cody grimm,placed on ir with hamstring injury,,,,11/27/2012,,cody grimm,cody grimm
2012,Buccaneers,,jeremy trueblood,placed on ir with shoulder injury,,,,11/27/2012,,jeremy trueblood,jeremy trueblood
2012,Chargers,,brandyn dombrowski,placed on ir,,,,11/27/2012,,brandyn dombrowski,brandyn dombrowski
2012,Chargers,,johnnie troutman,placed on ir,,,,11/27/2012,,johnnie troutman,johnnie troutman
2012,Colts,,fili moala,placed on ir with torn acl in knee,,,,11/27/2012,,fili moala,fili moala
2012,Colts,,josh chapman,placed on ir with knee injury,,,,11/27/2012,,josh chapman,josh chapman
2012,Eagles,,desean jackson,placed on ir with fractured ribs,,,,11/27/2012,,desean jackson,desean jackson
2012,Eagles,,jason peters,placed on ir with achilles tendon injury,,,,11/27/2012,,jason peters,jason peters
2012,Jaguars,,jalen parmele,placed on ir with groin injury,,,,11/27/2012,,jalen parmele,jalen parmele
2012,Jaguars,,william middleton,placed on ir with concussion,,,,11/27/2012,,william middleton,william middleton
2012,Packers,,derek sherrod,placed on ir,,,,11/27/2012,,derek sherrod,derek sherrod
2012,Panthers,,ron edwards,placed on ir with dislocated left elbow,,,,11/27/2012,,ron edwards,ron edwards
2012,Saints,,bryce harris,placed on ir with fractured leg,,,,11/27/2012,,bryce harris,bryce harris
2012,Titans,,darren evans b 1988-11-09,placed on ir with quadriceps injury,,,,11/27/2012,,darren evans b --,darren evans
2012,Cardinals,,lyle sendlein,placed on ir with torn mcl in knee,,,,11/28/2012,,lyle sendlein,lyle sendlein
2012,Chargers,,atari bigby,placed on ir with groin injury,,,,11/28/2012,,atari bigby,atari bigby
2012,Jaguars,,danthony smith,placed on ir with neck injury / concussion,,,,11/28/2012,,danthony smith,danthony smith
2012,Cowboys,,ben bass,placed on ir with ankle injury,,,,12/1/2012,,ben bass,ben bass
2012,Packers,,andrew quarless,placed on ir with knee injury,,,,12/1/2012,,andrew quarless,andrew quarless
2012,Packers,,sean richardson,placed on ir with back injury,,,,12/1/2012,,sean richardson,sean richardson
2012,Texans,,brice mccain,placed on ir with left foot injury,,,,12/3/2012,,brice mccain,brice mccain
2012,Bengals,,mohamed sanu,placed on ir with foot injury,,,,12/4/2012,,mohamed sanu,mohamed sanu
2012,Chargers,,david molk,placed on ir with thumb injury,,,,12/4/2012,,david molk,david molk
2012,Chargers,,seyi ajirotutu,placed on ir with hand injury,,,,12/4/2012,,seyi ajirotutu,seyi ajirotutu
2012,Colts,,justin hickman,placed on ir with hamstring injury,,,,12/4/2012,,justin hickman,justin hickman
2012,Dolphins,,jake long,placed on ir with triceps injury,,,,12/4/2012,,jake long,jake long
2012,Lions,,ryan broyles,placed on ir with torn acl in left knee,,,,12/4/2012,,ryan broyles,ryan broyles
2012,Lions,,titus young,placed on ir with knee injury,,,,12/4/2012,,titus young,titus young
2012,Panthers,,antwan applewhite,placed on ir with hamstring injury,,,,12/4/2012,,antwan applewhite,antwan applewhite
2012,Panthers,,sherrod martin,"placed on ir with torn acl, mcl in right knee",,,,12/4/2012,,sherrod martin,sherrod martin
2012,Patriots,,julian edelman,placed on ir with foot injury,,,,12/4/2012,,julian edelman,julian edelman
2012,Titans,,david stewart,placed on ir with leg injury,,,,12/4/2012,,david stewart,david stewart
2012,Titans,,robert johnson b 1987-02-13,placed on ir with foot injury,,,,12/4/2012,,robert johnson b --,robert johnson
2012,Bears,,patrick trahan,placed on ir with undisclosed injury,,,,12/5/2012,,patrick trahan,patrick trahan
2012,Bills,,chris kelsay,placed on ir with neck injury,,,,12/5/2012,,chris kelsay,chris kelsay
2012,Chargers,,antwan barnes,placed on ir with hamstring injury,,,,12/5/2012,,antwan barnes,antwan barnes
2012,Cowboys,,phil costa,placed on ir with ankle injury,,,,12/5/2012,,phil costa,phil costa
2012,Packers,,johnny white,placed on ir with concussion,,,,12/5/2012,,johnny white,johnny white
2012,Seahawks,,braylon edwards,placed on ir with knee injury,,,,12/5/2012,,braylon edwards,braylon edwards
2012,Titans,,steve hutchinson,placed on ir with right knee injury,,,,12/5/2012,,steve hutchinson,steve hutchinson
2012,Bills,,chris hairston,placed on ir with knee injury,,,,12/6/2012,,chris hairston,chris hairston
2012,Chiefs,,allen bailey,placed on ir with ankle injury,,,,12/6/2012,,allen bailey,allen bailey
2012,Giants,,sean locklear,placed on ir with knee injury,,,,12/6/2012,,sean locklear,sean locklear
2012,Vikings,,percy harvin,placed on ir with ankle injury,,,,12/6/2012,,percy harvin,percy harvin
2012,Cowboys,,orlando scandrick,placed on ir with hand injury,,,,12/8/2012,,orlando scandrick,orlando scandrick
2012,Eagles,,nate menkin,placed on ir with throat injury,,,,12/8/2012,,nate menkin,nate menkin
2012,Buccaneers,,myron lewis,placed on ir with hamstring injury,,,,12/10/2012,,myron lewis,myron lewis
2012,Cardinals,,rich ohrnberger,placed on ir with knee injury,,,,12/10/2012,,rich ohrnberger,rich ohrnberger
2012,49ers,,demarcus dobbs,placed on ir with knee injury,,,,12/11/2012,,demarcus dobbs,demarcus dobbs
2012,Bears,,craig steltz,placed on ir with chest injury,,,,12/11/2012,,craig steltz,craig steltz
2012,Bears,,robbie gould,placed on ir with left calf injury,,,,12/11/2012,,robbie gould,robbie gould
2012,Bears,,sherrick mcmanis,placed on ir with knee injury,,,,12/11/2012,,sherrick mcmanis,sherrick mcmanis
2012,Bills,,fred jackson,placed on ir with sprained mcl in right knee,,,,12/11/2012,,fred jackson,fred jackson
2012,Colts,,donald brown,placed on ir with ankle injury,,,,12/11/2012,,donald brown,donald brown
2012,Colts,,robert hughes b 1989-06-21,placed on ir with knee injury,,,,12/11/2012,,robert hughes b --,robert hughes
2012,Jaguars,,michael brewster  mike brewster,placed on ir with hand injury,,,,12/11/2012,,michael brewster mike brewster,michael brewster mike
2012,Panthers,,haruki nakamura,placed on ir with groin injury,,,,12/11/2012,,haruki nakamura,haruki nakamura
2012,Patriots,,donte stallworth  donte stallworth,placed on ir with ankle injury,,,,12/11/2012,,donte stallworth ,donte stallworth
2012,Cardinals,,kevin kolb,placed on ir with rib injury,,,,12/12/2012,,kevin kolb,kevin kolb
2012,Chargers,,darrell stuckey,placed on ir with hamstring injury,,,,12/12/2012,,darrell stuckey,darrell stuckey
2012,Chargers,,vaughn martin,placed on ir with groin injury,,,,12/12/2012,,vaughn martin,vaughn martin
2012,Lions,,corey williams dornail,placed on ir with knee injury,,,,12/12/2012,,corey williams dornail,corey williams dornail
2012,Titans,,jared cook,placed on ir with torn rotator cuff in shoulder,,,,12/13/2012,,jared cook,jared cook
2012,Bengals,,chris pressley,placed on ir with right knee injury,,,,12/15/2012,,chris pressley,chris pressley
2012,Chiefs,,dwayne bowe,placed on ir with rib injury,,,,12/15/2012,,dwayne bowe,dwayne bowe
2012,Saints,,charles brown a,placed on ir with knee injury,,,,12/15/2012,,charles brown a,charles brown a
2012,Saints,,malcolm jenkins,placed on ir with hamstring injury,,,,12/15/2012,,malcolm jenkins,malcolm jenkins
2012,Seahawks,,charly martin,placed on ir with calf injury,,,,12/15/2012,,charly martin,charly martin
2012,Bears,,matt toeaina,placed on ir with knee injury,,,,12/17/2012,,matt toeaina,matt toeaina
2012,Bears,,michael bush,placed on ir with rib injury,,,,12/18/2012,,michael bush,michael bush
2012,Bills,,arthur moats,placed on ir with ankle injury,,,,12/18/2012,,arthur moats,arthur moats
2012,Browns,,james-michael johnson,placed on ir with knee injury,,,,12/18/2012,,james-michael johnson,james-michael johnson
2012,Browns,,tj ward,placed on ir with knee injury,,,,12/18/2012,,tj ward,tj ward
2012,Chargers,,malcom floyd,placed on ir with ankle injury,,,,12/18/2012,,malcom floyd,malcom floyd
2012,Chargers,,reggie wells,placed on ir with ankle injury,,,,12/18/2012,,reggie wells,reggie wells
2012,Chargers,,ryan mathews,placed on ir with clavicle injury,,,,12/18/2012,,ryan mathews,ryan mathews
2012,Dolphins,,charles clay b 1989-02-13,placed on ir with knee injury,,,,12/18/2012,,charles clay b --,charles clay
2012,Eagles,,clay harbor,placed on ir with back injury,,,,12/18/2012,,clay harbor,clay harbor
2012,Jaguars,,andre branch,placed on ir with groin / hamstring injury,,,,12/18/2012,,andre branch,andre branch
2012,Jaguars,,jordan todman,placed on ir with calf injury,,,,12/18/2012,,jordan todman,jordan todman
2012,Lions,,jacob lacey,placed on ir with left knee injury,,,,12/18/2012,,jacob lacey,jacob lacey
2012,Panthers,,zack williams,placed on ir with torn acl in knee,,,,12/18/2012,,zack williams,zack williams
2012,Saints,,corey white b 1990-05-09,placed on ir with knee injury,,,,12/18/2012,,corey white b --,corey white
2012,Steelers,,demarcus van dyke,placed on ir with right shoulder injury,,,,12/18/2012,,demarcus van dyke,demarcus van dyke
2012,Steelers,,willie colon,placed on ir with knee injury,,,,12/18/2012,,willie colon,willie colon
2012,Dolphins,,daniel thomas,placed on ir with knee injury,,,,12/19/2012,,daniel thomas,daniel thomas
2012,Jets,,stephen hill,placed on ir with knee injury,,,,12/19/2012,,stephen hill,stephen hill
2012,Lions,,nick fairley,placed on ir with shoulder injury,,,,12/19/2012,,nick fairley,nick fairley
2012,Rams,,harvey dahl,placed on ir with biceps injury,,,,12/19/2012,,harvey dahl,harvey dahl
2012,Bills,,leodis mckelvin,placed on ir with groin injury,,,,12/20/2012,,leodis mckelvin,leodis mckelvin
2012,Seahawks,,jason jones duane,placed on ir with knee injury,,,,12/20/2012,,jason jones duane,jason jones duane
2012,Dolphins,,dan carpenter,placed on ir with right groin injury,,,,12/21/2012,,dan carpenter,dan carpenter
2012,Buccaneers,,aaron morgan,placed on ir with shoulder injury,,,,12/22/2012,,aaron morgan,aaron morgan
2012,Jaguars,,dwight lowery,placed on ir with foot injury,,,,12/22/2012,,dwight lowery,dwight lowery
2012,Ravens,,jameel mcclain,placed on ir with neck injury,,,,12/22/2012,,jameel mcclain,jameel mcclain
2012,Bills,,scott chandler,placed on ir with knee injury,,,,12/24/2012,,scott chandler,scott chandler
2012,Browns,,mohamed massaquoi,placed on ir with knee injury,,,,12/24/2012,,mohamed massaquoi,mohamed massaquoi
2012,Falcons,,kevin cone,placed on ir with groin injury,,,,12/24/2012,,kevin cone,kevin cone
2012,Jaguars,,cecil shorts iii,placed on ir with concussion,,,,12/24/2012,,cecil shorts iii,cecil shorts iii
2012,Jaguars,,greg jones k,placed on ir with fractured fibula,,,,12/24/2012,,greg jones k,greg jones k
2012,Jaguars,,rashad jennings,placed on ir with shoulder injury,,,,12/24/2012,,rashad jennings,rashad jennings
2012,Bengals,,dre kirkpatrick,placed on ir with knee injury,,,,12/25/2012,,dre kirkpatrick,dre kirkpatrick
2012,Jaguars,,mark asper,placed on ir,,,,12/25/2012,,mark asper,mark asper
2012,Browns,,usama young,placed on ir with thumb injury,,,,12/26/2012,,usama young,usama young
2012,Cardinals,,rob housler,placed on ir with shoulder injury,,,,12/26/2012,,rob housler,rob housler
2012,Chargers,,aubrayo franklin,placed on ir with knee injury,,,,12/26/2012,,aubrayo franklin,aubrayo franklin
2012,Chargers,,brandon taylor,placed on ir with knee injury,,,,12/26/2012,,brandon taylor,brandon taylor
2012,Eagles,,nick foles,placed on ir with fractured right hand,,,,12/26/2012,,nick foles,nick foles
2012,Giants,,travis beckum,placed on ir with knee injury,,,,12/26/2012,,travis beckum,travis beckum
2012,Panthers,,amini silatolu,placed on ir with wrist injury,,,,12/26/2012,,amini silatolu,amini silatolu
2012,Ravens,,laquan williams,placed on ir with thigh injury,,,,12/26/2012,,laquan williams,laquan williams
2012,Steelers,,baron batch,placed on ir with fractured arm,,,,12/26/2012,,baron batch,baron batch
2012,Steelers,,heath miller,placed on ir with right knee injury,,,,12/26/2012,,heath miller,heath miller
