Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted,player_clean_cleaned
2018,Buccaneers,,donnie ernsberger,placed on ir with undisclosed injury,,,,8/12/2018,,donnie ernsberger,donnie ernsberger
2018,Chiefs,,dillon gordon,placed on ir with shoulder injury,,,,8/12/2018,,dillon gordon,dillon gordon
2018,Colts,,deon cain,placed on ir with torn acl in knee,,,,8/12/2018,,deon cain,deon cain
2018,Panthers,,damian parms,placed on ir with shoulder injury,,,,8/12/2018,,damian parms,damian parms
2018,Rams,,kevin peterson lamont,placed on ir with torn acl in knee,,,,8/12/2018,,kevin peterson lamont,kevin peterson lamont
2018,Redskins,,elijah wellman,placed on ir with undisclosed injury,,,,8/12/2018,,elijah wellman,elijah wellman
2018,Titans,,gimel president,placed on ir with undisclosed injury,,,,8/12/2018,,gimel president,gimel president
2018,Broncos,,jamal carter,placed on ir with torn hamstring,,,,8/13/2018,,jamal carter,jamal carter
2018,Cowboys,,marcus martin b 1993-11-29,placed on ir with torn ligament right big toe,,,,8/13/2018,,marcus martin b --,marcus martin
2018,Eagles,,ian park a,placed on ir with undisclosed injury,,,,8/13/2018,,ian park a,ian park a
2018,Redskins,,robert davis jamal,placed on ir with right knee injury,,,,8/13/2018,,robert davis jamal,robert davis jamal
2018,Steelers,,kyle meadows,placed on ir with undisclosed injury,,,,8/13/2018,,kyle meadows,kyle meadows
2018,Vikings,,nick easton,placed on ir with neck injury,,,,8/13/2018,,nick easton,nick easton
2018,Cardinals,,jeremy cash,placed on ir with knee injury,,,,8/14/2018,,jeremy cash,jeremy cash
2018,Steelers,,parker collins,placed on ir with undisclosed injury,,,,8/14/2018,,parker collins,parker collins
2018,Broncos,,corey brown  philly brown,placed on ir with head injury,,,,8/15/2018,,corey brown philly brown,corey brown philly
2018,Cowboys,,marchie murdock,placed on ir with ankle injury,,,,8/15/2018,,marchie murdock,marchie murdock
2018,Jets,,ben ijalana,placed on ir with shoulder injury,,,,8/15/2018,,ben ijalana,ben ijalana
2018,Raiders,,ahtyba rubin,placed on ir with biceps injury,,,,8/15/2018,,ahtyba rubin,ahtyba rubin
2018,Cardinals,,lou young,placed on ir with hamstring injury,,,,8/15/2018,,lou young,lou young
2018,Bills,,marquavius lewis,placed on ir with ankle injury,,,,8/16/2018,,marquavius lewis,marquavius lewis
2018,Bills,,zach olstad,placed on ir with ankle injury,,,,8/16/2018,,zach olstad,zach olstad
2018,Broncos,,paul boyette jr,placed on ir with undisclosed injury,,,,8/16/2018,,paul boyette jr,paul boyette jr
2018,49ers,,terrell williams jr,placed on ir with knee injury,,,,8/17/2018,,terrell williams jr,terrell williams jr
2018,Bears,,andrew trumbetti,placed on ir with undisclosed injury,,,,8/17/2018,,andrew trumbetti,andrew trumbetti
2018,Buccaneers,,stevie tuikolovatu,placed on ir with triceps injury,,,,8/18/2018,,stevie tuikolovatu,stevie tuikolovatu
2018,Browns,,julian allen,placed on ir with abdominal injury,,,,8/19/2018,,julian allen,julian allen
2018,Chargers,,jaylen watkins,placed on ir with torn acl in right knee,,,,8/19/2018,,jaylen watkins,jaylen watkins
2018,Redskins,,martez carter,placed on ir with undisclosed injury,,,,8/19/2018,,martez carter,martez carter
2018,Bills,,cory carter,placed on ir with torn acl in knee,,,,8/20/2018,,cory carter,cory carter
2018,Broncos,,menelik watson,placed on ir with pectoral muscle injury,,,,8/20/2018,,menelik watson,menelik watson
2018,Buccaneers,,drew iddings,placed on ir with undisclosed injury,,,,8/20/2018,,drew iddings,drew iddings
2018,Lions,,stefan mcclure,placed on ir with undisclosed injury,,,,8/20/2018,,stefan mcclure,stefan mcclure
2018,Lions,,steve longa,placed on ir with torn acl in knee,,,,8/20/2018,,steve longa,steve longa
2018,Panthers,,fred ross,placed on ir with hip injury,,,,8/20/2018,,fred ross,fred ross
2018,Titans,,kalan reed,placed on ir with fractured foot,,,,8/20/2018,,kalan reed,kalan reed
2018,Vikings,,ade aruna,placed on ir with right knee injury,,,,8/20/2018,,ade aruna,ade aruna
2018,Buccaneers,,shaheed salmon,placed on ir with ankle injury,,,,8/21/2018,,shaheed salmon,shaheed salmon
2018,Cowboys,,jameill showers,placed on ir with torn acl in knee,,,,8/21/2018,,jameill showers,jameill showers
2018,Giants,,thurston armbrister,placed on ir with hamstring injury,,,,8/21/2018,,thurston armbrister,thurston armbrister
2018,Jaguars,,don carey,placed on ir with hamstring injury,,,,8/21/2018,,don carey,don carey
2018,Redskins,,cameron jefferson,placed on ir with undisclosed injury,,,,8/21/2018,,cameron jefferson,cameron jefferson
2018,Vikings,,cedrick lang,placed on ir with leg injury,,,,8/21/2018,,cedrick lang,cedrick lang
2018,Vikings,,johnny stanton,placed on ir with left knee injury,,,,8/21/2018,,johnny stanton,johnny stanton
2018,Vikings,,josiah price,placed on ir with knee injury,,,,8/21/2018,,josiah price,josiah price
2018,Buccaneers,,colin jeter,placed on ir with undisclosed injury,,,,8/22/2018,,colin jeter,colin jeter
2018,Cowboys,,richard ash b 1992-08-04,placed on ir with knee injury,,,,8/22/2018,,richard ash b --,richard ash
2018,Jets,,jonah trinnaman,placed on ir with undisclosed injury,,,,8/22/2018,,jonah trinnaman,jonah trinnaman
2018,Raiders,,tevin mitchel,placed on ir with undisclosed injury,,,,8/22/2018,,tevin mitchel,tevin mitchel
2018,Saints,,rickey jefferson,placed on ir with torn acl in knee,,,,8/22/2018,,rickey jefferson,rickey jefferson
2018,Texans,,josh thornton,placed on ir with undisclosed injury,,,,8/22/2018,,josh thornton,josh thornton
