player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
byron pringle,byron pringle,2021,byron pringle,2018,100.0
byron pringle,byron pringle,2021,byron pringle,2020,100.0
byron pringle,byron pringle,2021,byron pringle,2022,100.0
deandre hopkins,deandre hopkins,2021,deandre hopkins,2021,100.0
nico collins,nico collins,2021,nico collins,2021,100.0
nico collins,nico collins,2021,nico collins,2022,100.0
nico collins,nico collins,2021,nico collins,2024,100.0
michael gallup,michael gallup,2021,michael gallup,2021,100.0
dawson knox,dawson knox,2021,dawson knox,2023,100.0
mo alie-cox,mo alie-cox,2021,mo alie-cox,2017,100.0
mike williams,mike williams,2021,mike williams,2011,100.0
mike williams,mike williams,2021,mike williams,2013,100.0
mike williams,mike williams,2021,mike williams,2014,100.0
mike williams,mike williams,2021,mike williams,2023,100.0
gabriel davis,gabriel davis,2021,gabriel davis,2024,100.0
devante parker,devante parker,2021,devante parker,2021,100.0
courtland sutton,courtland sutton,2021,courtland sutton,2020,100.0
chase claypool,chase claypool,2021,chase claypool,2024,100.0
stefon diggs,stefon diggs,2021,stefon diggs,2024,100.0
mike evans,mike evans,2021,mike evans,2019,100.0
rob gronkowski,rob gronkowski,2021,rob gronkowski,2012,100.0
rob gronkowski,rob gronkowski,2021,rob gronkowski,2013,100.0
rob gronkowski,rob gronkowski,2021,rob gronkowski,2016,100.0
david njoku,david njoku,2021,david njoku,2019,100.0
david njoku,david njoku,2021,david njoku,2020,100.0
david njoku,david njoku,2021,david njoku,2024,100.0
diontae johnson,diontae johnson,2021,diontae johnson,2023,100.0
tyler lockett,tyler lockett,2022,tyler lockett,2016,100.0
rondale moore,rondale moore,2022,rondale moore,2022,100.0
rondale moore,rondale moore,2022,rondale moore,2024,100.0
ben skowronek,ben skowronek,2022,ben skowronek,2024,100.0
chris olave,chris olave,2022,chris olave,2024,100.0
devin duvernay,devin duvernay,2022,devin duvernay,2022,100.0
devin duvernay,devin duvernay,2022,devin duvernay,2023,100.0
devin duvernay,devin duvernay,2022,devin duvernay,2024,100.0
treylon burks,treylon burks,2022,treylon burks,2022,100.0
treylon burks,treylon burks,2022,treylon burks,2024,100.0
kalif raymond,kalif raymond,2022,kalif raymond,2024,100.0
quez watkins,quez watkins,2022,quez watkins,2020,100.0
quez watkins,quez watkins,2022,quez watkins,2023,100.0
kyle pitts,kyle pitts,2022,kyle pitts,2022,100.0
brandin cooks,brandin cooks,2022,brandin cooks,2014,100.0
brandin cooks,brandin cooks,2022,brandin cooks,2024,100.0
