Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2010,Cardinals,,nehemiah broughton,placed on ir with torn acl in knee,,,,8/31/2010,
2010,Chargers,,donald butler,placed on ir with achilles tendon injury,,,,8/31/2010,
2010,Cowboys,,john phillips matthew,placed on ir with torn acl in right knee,,,,8/31/2010,
2010,Dolphins,,joey haynos,placed on ir,,,,8/31/2010,
2010,Dolphins,,nate garner,placed on ir with foot injury,,,,8/31/2010,
2010,Eagles,,ricky sapp,placed on ir with knee injury,,,,8/31/2010,
2010,Giants,,adrian tracy,placed on ir with elbow injury,,,,8/31/2010,
2010,Giants,,jim sorgi,placed on ir with right shoulder injury,,,,8/31/2010,
2010,Giants,,sinorice moss,placed on ir with sports hernia,,,,8/31/2010,
2010,Jaguars,,d'anthony smith,placed on ir with achilles tendon injury,,,,8/31/2010,
2010,Jaguars,,john estes,placed on ir with knee injury,,,,8/31/2010,
2010,Lions,,jake nordin,placed on ir,,,,8/31/2010,
2010,Packers,,quinn porter,placed on ir with sprained mcl in left knee,,,,8/31/2010,
2010,Panthers,,hilee taylor,placed on ir with knee injury,,,,8/31/2010,
2010,Panthers,,wallace wright,placed on ir with shoulder injury,,,,8/31/2010,
2010,Patriots,,bret lockett,placed on ir with chest injury,,,,8/31/2010,
2010,Patriots,,darryl richard,placed on ir with foot injury,,,,8/31/2010,
2010,Patriots,,josh barrett,placed on ir with shoulder injury,,,,8/31/2010,
2010,Patriots,,leigh bodden,placed on ir with shoulder injury,,,,8/31/2010,
2010,Rams,,phil trautwein,placed on ir,,,,8/31/2010,
2010,Ravens,,daniel sanders,placed on ir with shoulder injury,,,,8/31/2010,
2010,Ravens,,marcus paschal,placed on ir with right leg injury,,,,8/31/2010,
2010,Redskins,,malcolm kelly,placed on ir with knee injury,,,,8/31/2010,
2010,Vikings,,jeremy leman  j leman,placed on ir with toe injury,,,,8/31/2010,
2010,Bears,,will ta'ufo'ou,placed on ir with right knee injury,,,,9/1/2010,
2010,Cardinals,,darren mougey,placed on ir,,,,9/1/2010,
2010,Falcons,,thomas johnson b 1981-06-24,placed on ir,,,,9/1/2010,
2010,Jaguars,,cecil newton jr,placed on ir,,,,9/1/2010,
2010,Packers,,quinn porter,placed on ir,,,,9/1/2010,
2010,Titans,,kareem brown,placed on ir,,,,9/1/2010,
2010,Titans,,mike rivera,placed on ir,,,,9/1/2010,
2010,Ravens,,mike mclaughlin b,placed on ir with sports hernia,,,,9/2/2010,
2010,Broncos,,lendale white,placed on ir with achilles tendon injury,,,,9/3/2010,
2010,Browns,,montario hardesty,placed on ir with left knee injury,,,,9/3/2010,
2010,49ers,,chris patrick,placed on ir,,,,9/4/2010,
2010,49ers,,matt wilhelm,placed on ir,,,,9/4/2010,
2010,49ers,,scott mckillop,placed on ir,,,,9/4/2010,
2010,Bears,,averell spicer,placed on ir,,,,9/4/2010,
2010,Bears,,brett basanez,placed on ir,,,,9/4/2010,
2010,Bengals,,andrew mitchell,placed on ir,,,,9/4/2010,
2010,Bengals,,gibril wilson,placed on ir,,,,9/4/2010,
2010,Bills,,felton huggins,placed on ir,,,,9/4/2010,
2010,Bills,,joe klopfenstein,placed on ir,,,,9/4/2010,
2010,Broncos,,brandon stokley,placed on ir for undisclosed reason,,,,9/4/2010,
2010,Broncos,,braxton kelley,placed on ir,,,,9/4/2010,
2010,Broncos,,elvis dumervil,placed on ir with pectoral injury,,,,9/4/2010,
2010,Broncos,,kenny mckinley,placed on ir,,,,9/4/2010,
2010,Broncos,,kyle eckel,placed on ir,,,,9/4/2010,
2010,Browns,,dave zastudil,placed on ir,,,,9/4/2010,
2010,Browns,,greg estandia,placed on ir,,,,9/4/2010,
2010,Browns,,johnathan haggerty,placed on ir,,,,9/4/2010,
2010,Browns,,kwaku danso,placed on ir,,,,9/4/2010,
2010,Buccaneers,,brandon gilbeaux,placed on ir with ankle injury,,,,9/4/2010,
2010,Buccaneers,,demar dotson,placed on ir with undisclosed injury,,,,9/4/2010,
2010,Buccaneers,,jon alston b 1983-06-04,placed on ir,,,,9/4/2010,
2010,Cardinals,,darren mougey,placed on ir,,,,9/4/2010,
2010,Cardinals,,keilen dykes,placed on ir,,,,9/4/2010,
2010,Cardinals,,nehemiah broughton,placed on ir,,,,9/4/2010,
