Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2018,Raiders,,ahtyba rubin,placed on ir with biceps injury,,,,8/15/2018,
2018,Cardinals,,lou young,placed on ir with hamstring injury,,,,8/15/2018,
2018,Bills,,marquavius lewis,placed on ir with ankle injury,,,,8/16/2018,
2018,Bills,,zach olstad,placed on ir with ankle injury,,,,8/16/2018,
2018,Broncos,,paul boyette jr,placed on ir with undisclosed injury,,,,8/16/2018,
2018,49ers,,terrell williams jr,placed on ir with knee injury,,,,8/17/2018,
2018,Bears,,andrew trumbetti,placed on ir with undisclosed injury,,,,8/17/2018,
2018,Buccaneers,,stevie tu'ikolovatu,placed on ir with triceps injury,,,,8/18/2018,
2018,Browns,,julian allen,placed on ir with abdominal injury,,,,8/19/2018,
2018,Chargers,,jaylen watkins,placed on ir with torn acl in right knee,,,,8/19/2018,
2018,Redskins,,martez carter,placed on ir with undisclosed injury,,,,8/19/2018,
2018,Bills,,cory carter,placed on ir with torn acl in knee,,,,8/20/2018,
2018,Broncos,,menelik watson,placed on ir with pectoral muscle injury,,,,8/20/2018,
2018,Buccaneers,,drew iddings,placed on ir with undisclosed injury,,,,8/20/2018,
2018,Lions,,stefan mcclure,placed on ir with undisclosed injury,,,,8/20/2018,
2018,Lions,,steve longa,placed on ir with torn acl in knee,,,,8/20/2018,
2018,Panthers,,fred ross,placed on ir with hip injury,,,,8/20/2018,
2018,Titans,,kalan reed,placed on ir with fractured foot,,,,8/20/2018,
2018,Vikings,,ade aruna,placed on ir with right knee injury,,,,8/20/2018,
2018,Buccaneers,,shaheed salmon,placed on ir with ankle injury,,,,8/21/2018,
2018,Cowboys,,jameill showers,placed on ir with torn acl in knee,,,,8/21/2018,
2018,Giants,,thurston armbrister,placed on ir with hamstring injury,,,,8/21/2018,
2018,Jaguars,,don carey,placed on ir with hamstring injury,,,,8/21/2018,
2018,Redskins,,cameron jefferson,placed on ir with undisclosed injury,,,,8/21/2018,
2018,Vikings,,cedrick lang,placed on ir with leg injury,,,,8/21/2018,
2018,Vikings,,johnny stanton,placed on ir with left knee injury,,,,8/21/2018,
2018,Vikings,,josiah price,placed on ir with knee injury,,,,8/21/2018,
2018,Buccaneers,,colin jeter,placed on ir with undisclosed injury,,,,8/22/2018,
2018,Cowboys,,richard ash b 1992-08-04,placed on ir with knee injury,,,,8/22/2018,
2018,Jets,,jonah trinnaman,placed on ir with undisclosed injury,,,,8/22/2018,
2018,Raiders,,tevin mitchel,placed on ir with undisclosed injury,,,,8/22/2018,
2018,Saints,,rickey jefferson,placed on ir with torn acl in knee,,,,8/22/2018,
2018,Texans,,josh thornton,placed on ir with undisclosed injury,,,,8/22/2018,
2018,Buccaneers,,charles sims iii,placed on ir with knee injury,,,,8/23/2018,
2018,Chargers,,james onwualu,placed on ir with groin injury,,,,8/23/2018,
2018,Colts,,josh ferguson,placed on ir with groin injury,,,,8/23/2018,
2018,Colts,,matt hazel a,placed on ir with undisclosed injury,,,,8/24/2018,
2018,Raiders,,obi melifonwu,placed on ir with hip injury,,,,8/24/2018,
2018,Buccaneers,,sergio bailey,placed on ir with ankle injury,,,,8/25/2018,
2018,Colts,,brad kaaya,placed on ir with undisclosed injury,,,,8/25/2018,
2018,Buccaneers,,jake lampman,placed on ir with undisclosed injury,,,,8/26/2018,
2018,Titans,,michael campanaro,placed on ir with undisclosed injury,,,,8/26/2018,
2018,Jaguars,,marqise lee,placed on ir with left knee injury,,,,8/27/2018,
2018,Jets,,lucky whitehead,placed on ir with foot injury,,,,8/27/2018,
2018,Raiders,,griff whalen,placed on ir with turf toe,,,,8/27/2018,
2018,Ravens,,jaleel scott,placed on ir with hamstring injury,,,,8/27/2018,
2018,Cardinals,,dj foster,placed on ir with knee injury,,,,8/28/2018,
2018,Chargers,,zachary crabtree,placed on ir with undisclosed injury,,,,8/29/2018,
2018,Cowboys,,dustin stanton,placed on ir with knee injury,,,,8/29/2018,
2018,Cowboys,,korren kirven,placed on ir with calf injury,,,,8/29/2018,
2018,Lions,,toby johnson,placed on ir with undisclosed injury,,,,8/30/2018,
2018,Texans,,ben heeney,placed on ir with ankle injury,,,,8/30/2018,
2018,Lions,,marcus cromartie,placed on ir with hip injury,,,,8/31/2018,
2018,Rams,,morgan fox,placed on ir with torn acl in knee,,,,8/31/2018,
2018,Rams,,ryan davis,placed on ir with undisclosed injury,,,,8/31/2018,
2018,Ravens,,bennett jackson,placed on ir with undisclosed injury,,,,8/31/2018,
2018,Ravens,,deshon elliott,placed on ir with forearm injury,,,,8/31/2018,
2018,Ravens,,greg senat,placed on ir with foot injury,,,,8/31/2018,
2018,Ravens,,stanley jean-baptiste,placed on ir with fractured arm,,,,8/31/2018,
2018,Saints,,shane vereen,placed on ir with finger injury,,,,8/31/2018,
2018,Bears,,marlon brown d,placed on ir with concussion,,,,9/1/2018,
2018,Bengals,,cethan carter,placed on ir with shoulder injury,,,,9/1/2018,
2018,Bengals,,matt barkley,placed on ir with knee injury,,,,9/1/2018,
2018,Bengals,,trayvon henderson,placed on ir with knee injury,,,,9/1/2018,
2018,Broncos,,jerrol garcia-williams,placed on ir with knee injury,,,,9/1/2018,
2018,Broncos,,troy fumagalli,placed on ir with sports hernia,,,,9/1/2018,
2018,Buccaneers,,devante bond,placed on ir with foot injury,,,,9/1/2018,
2018,Buccaneers,,riley bullough,placed on ir with foot injury,,,,9/1/2018,
2018,Cardinals,,arthur moats,placed on ir with knee injury,,,,9/1/2018,
2018,Chargers,,artavis scott,placed on ir with ankle injury,,,,9/1/2018,
2018,Chiefs,,byron pringle,placed on ir with hamstring injury,,,,9/1/2018,
2018,Colts,,anthony johnson b 1993-01-24,placed on ir with back injury,,,,9/1/2018,
2018,Colts,,chris mccain,placed on ir with ankle injury,,,,9/1/2018,
2018,Colts,,jeremiah george,placed on ir with back injury,,,,9/1/2018,
2018,Colts,,ross travis,placed on ir with knee injury,,,,9/1/2018,
2018,Giants,,nick becton,placed on ir with ankle injury,,,,9/1/2018,
2018,Giants,,nick gates,placed on ir with foot injury,,,,9/1/2018,
2018,Jaguars,,kenneth acker,placed on ir with ankle injury,,,,9/1/2018,
2018,Lions,,zach zenner,placed on ir with back injury,,,,9/1/2018,
2018,Panthers,,elijah hood,placed on ir with knee injury,,,,9/1/2018,
2018,Panthers,,jeremiah sirles,placed on ir with hamstring injury,,,,9/1/2018,
2018,Panthers,,kevon seymour,placed on ir with shoulder injury,,,,9/1/2018,
2018,Patriots,,braxton berrios,placed on ir with undisclosed injury,,,,9/1/2018,
2018,Patriots,,christian sam,placed on ir with ankle injury,,,,9/1/2018,
2018,Patriots,,isaiah wynn,placed on ir with achilles injury,,,,9/1/2018,
2018,Patriots,,ulrick john,placed on ir with foot injury,,,,9/1/2018,
2018,Raiders,,chris warren iii,placed on ir with knee injury,,,,9/1/2018,
2018,Raiders,,eddy pineiro,placed on ir with groin injury,,,,9/1/2018,
2018,Redskins,,tyler catalina,placed on ir with shoulder injury,,,,9/1/2018,
2018,Saints,,michael hoomanawanui,placed on ir with neck injury,,,,9/1/2018,
2018,Seahawks,,austin davis b 1989-06-02,placed on ir with undisclosed injury,,,,9/1/2018,
2018,Seahawks,,byron maxwell,placed on ir with hip injury,,,,9/1/2018,
2018,Seahawks,,erik walden,placed on ir with hip flexor injury,,,,9/1/2018,
2018,Seahawks,,jamarco jones,placed on ir with ankle injury,,,,9/1/2018,
2018,Titans,,austin barnard,placed on ir with knee injury,,,,9/1/2018,
2018,Titans,,devin ross b 1995-08-12,placed on ir with ankle injury,,,,9/1/2018,
2018,Vikings,,tavarres king,placed on ir with leg injury,,,,9/1/2018,
2018,49ers,,aaron burbridge,placed on ir with hamstring injury,,,,9/2/2018,
2018,49ers,,jp flynn,placed on ir with knee injury,,,,9/2/2018,
2018,49ers,,malcolm johnson jamaine,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Bears,,jonathan anderson,placed on ir with groin injury,,,,9/2/2018,
2018,Bears,,rashard fant,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Bengals,,chris okoye,placed on ir with ankle injury,,,,9/2/2018,
2018,Bengals,,josh shaw james,placed on ir with groin injury,,,,9/2/2018,
2018,Broncos,,andreas knappe,placed on ir with concussion,,,,9/2/2018,
2018,Broncos,,jj dielman,placed on ir with knee injury,,,,9/2/2018,
2018,Broncos,,jordan moore,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Broncos,,marcus rios,placed on ir with hip injury,,,,9/2/2018,
2018,Browns,,cj board,placed on ir with shoulder injury,,,,9/2/2018,
2018,Browns,,dan vitale  danny vitale,placed on ir with calf injury,,,,9/2/2018,
2018,Browns,,justin currie,placed on ir with knee injury,,,,9/2/2018,
2018,Browns,,lenny jones,placed on ir with concussion,,,,9/2/2018,
2018,Buccaneers,,amari coleman,placed on ir with concussion,,,,9/2/2018,
2018,Buccaneers,,cole gardner,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Chiefs,,keith reaser,placed on ir with quadriceps injury,,,,9/2/2018,
2018,Chiefs,,step durham,placed on ir with hip injury,,,,9/2/2018,
2018,Colts,,chris cooper b 1994-03-17,placed on ir with concussion,,,,9/2/2018,
2018,Colts,,james wright earl,placed on ir with knee injury,,,,9/2/2018,
2018,Colts,,kj brent,placed on ir with knee injury,,,,9/2/2018,
2018,Colts,,krishawn hogan,placed on ir with foot injury,,,,9/2/2018,
2018,Colts,,robenson therezie,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Colts,,robert jackson jr,placed on ir with concussion,,,,9/2/2018,
2018,Colts,,ronald martin,placed on ir with shoulder injury,,,,9/2/2018,
2018,Colts,,tj green,placed on ir with hamstring injury,,,,9/2/2018,
2018,Colts,,tyreek burwell,placed on ir with knee injury,,,,9/2/2018,
2018,Colts,,tyrell adams,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Cowboys,,marqueston huff,placed on ir with groin injury,,,,9/2/2018,
2018,Cowboys,,trey williams,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Dolphins,,bryce petty,placed on ir with oblique injury,,,,9/2/2018,
2018,Dolphins,,quincy redmon,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Dolphins,,rashawn scott,placed on ir with ankle injury,,,,9/2/2018,
2018,Eagles,,dj killings,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Eagles,,gannon sinclair,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Eagles,,toby weathersby,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Giants,,darian thompson,placed on ir with hamstring injury,,,,9/2/2018,
2018,Giants,,jordan williams cornell,placed on ir with hip injury,,,,9/2/2018,
2018,Jaguars,,ben koyack,placed on ir with knee injury,,,,9/2/2018,
2018,Jaguars,,deandre goolsby,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Jaguars,,manase hungalu,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Packers,,devante mays,placed on ir with hamstring injury,,,,9/2/2018,
2018,Packers,,kyle murphy neil,placed on ir with ankle injury,,,,9/2/2018,
2018,Packers,,quinten rollins,placed on ir with hamstring injury,,,,9/2/2018,
2018,Patriots,,ryan izzo,placed on ir with ankle injury,,,,9/2/2018,
2018,Patriots,,will tye,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Raiders,,dexter mcdonald,placed on ir with ankle injury,,,,9/2/2018,
2018,Rams,,afolabi laguda,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Rams,,kendal thompson,placed on ir with leg injury,,,,9/2/2018,
2018,Rams,,travin howard,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Ravens,,alvin jones b 1994-12-02,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Saints,,sharrod neasman,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Seahawks,,emmanuel beal,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Seahawks,,ricky ali'ifua,placed on ir with concussion,,,,9/2/2018,
2018,Seahawks,,tevon mutcherson  tj mutcherson,placed on ir with knee injury,,,,9/2/2018,
2018,Steelers,,damoun patterson,placed on ir with turf toe,,,,9/2/2018,
2018,Steelers,,joseph cheek,placed on ir with foot injury,,,,9/2/2018,
2018,Steelers,,keith kelsey b,placed on ir with pectoral muscle injury,,,,9/2/2018,
2018,Steelers,,malik golden,placed on ir with knee injury,,,,9/2/2018,
2018,Steelers,,marcus tucker,placed on ir with ankle injury,,,,9/2/2018,
2018,Texans,,jevoni robinson,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Vikings,,craig james b 1996-04-29,placed on ir with hamstring injury,,,,9/2/2018,
2018,Vikings,,horace richardson,placed on ir with hamstring injury,,,,9/2/2018,
2018,Vikings,,josh andrews,placed on ir with ankle injury,,,,9/2/2018,
2018,Vikings,,mack brown,placed on ir with undisclosed injury,,,,9/2/2018,
2018,Vikings,,tray matthews,placed on ir with undisclosed injury,,,,9/2/2018,
2018,49ers,,jerick mckinnon,placed on ir with torn acl in right knee,,,,9/3/2018,
2018,49ers,,marcell harris,placed on ir with hamstring injury / achilles injury,,,,9/3/2018,
2018,Bears,,adam shaheen,placed on ir with ankle/foot injury,,,,9/3/2018,
2018,Bengals,,davontae harris,placed on ir with knee injury,,,,9/3/2018,
2018,Broncos,,su'a cravens,placed on ir with knee injury,,,,9/3/2018,
2018,Buccaneers,,mitch unrein,placed on ir with concussion,,,,9/3/2018,
2018,Cardinals,,aj howard,placed on ir with undisclosed injury,,,,9/3/2018,
2018,Cardinals,,vontarrius dora,placed on ir with undisclosed injury,,,,9/3/2018,
2018,Chiefs,,daniel sorensen,placed on ir with knee injury,,,,9/3/2018,
2018,Colts,,tyquan lewis,placed on ir with toe injury,,,,9/3/2018,
2018,Cowboys,,noah brown,placed on ir with hamstring injury,,,,9/3/2018,
2018,Dolphins,,jake brendel,placed on ir with calf injury,,,,9/3/2018,
2018,Dolphins,,mike hull thomas,placed on ir with knee injury,,,,9/3/2018,
2018,Jets,,elijah mcguire,placed on ir with foot injury,,,,9/3/2018,
2018,Packers,,jake kumerow,placed on ir with shoulder injury,,,,9/3/2018,
2018,Panthers,,matt kalil,placed on ir with right knee injury,,,,9/3/2018,
2018,Seahawks,,jd mckissic,placed on ir with foot injury,,,,9/3/2018,
2018,Steelers,,olasunkanmi adeniyi  ola adeniyi,placed on ir with hamstring injury,,,,9/3/2018,
2018,Texans,,jermaine kelly,placed on ir with undisclosed injury,,,,9/3/2018,
2018,Eagles,,richard rodgers christopher,placed on ir with knee injury,,,,9/4/2018,
2018,Redskins,,anthony lanier ii,placed on ir with hip flexor injury,,,,9/4/2018,
2018,Patriots,,amara darboh,placed on ir,,,,9/5/2018,
2018,Redskins,,byron marshall,placed on ir with knee injury,,,,9/5/2018,
2018,Dolphins,,marqueis gray,placed on ir with achilles injury,,,,9/6/2018,
2018,Eagles,,mack hollins,placed on ir with groin injury,,,,9/6/2018,
2018,Patriots,,duke dawson,placed on ir with hamstring injury,,,,9/6/2018,
2018,Cowboys,,parker ehinger,placed on ir with knee injury,,,,9/7/2018,
2018,49ers,,dekoda watson,placed on ir with hamstring injury,,,,9/8/2018,
2018,Buccaneers,,de'vante harris,placed on ir with hamstring injury,,,,9/8/2018,
2018,Falcons,,keanu neal,placed on ir with torn acl in left knee,,,,9/8/2018,
2018,Seahawks,,dontae johnson,placed on ir with groin injury,,,,9/8/2018,
2018,Patriots,,jeremy hill,placed on ir with torn acl in right knee,,,,9/10/2018,
2018,Titans,,delanie walker,placed on ir with fractured right ankle,,,,9/10/2018,
2018,Vikings,,aviante collins,placed on ir with elbow injury,,,,9/10/2018,
2018,Colts,,j'marcus webb,placed on ir with hamstring injury,,,,9/11/2018,
2018,Falcons,,deion jones,placed on ir with foot injury,,,,9/11/2018,
2018,Packers,,trevor davis,placed on ir with hamstring injury,,,,9/11/2018,
2018,Redskins,,cam sims,placed on ir with ankle injury,,,,9/11/2018,
2018,Texans,,kevin johnson b 1992-08-05,placed on ir with concussion,,,,9/11/2018,
2018,49ers,,brock coyle,placed on ir with concussion,,,,9/12/2018,
2018,Buccaneers,,vernon hargreaves iii,placed on ir with shoulder injury,,,,9/12/2018,
2018,Panthers,,daryl williams,placed on ir with right knee injury,,,,9/12/2018,
2018,Ravens,,kenneth dixon,placed on ir with knee injury,,,,9/12/2018,
2018,Redskins,,trey quinn,placed on ir with ankle injury,,,,9/12/2018,
2018,Texans,,seantrel henderson,placed on ir with fractured left ankle,,,,9/12/2018,
2018,Raiders,,andrew depaola,placed on ir with torn acl in knee,,,,9/13/2018,
2018,Raiders,,justin ellis,placed on ir with foot injury,,,,9/13/2018,
2018,Rams,,pharoh cooper,placed on ir with ankle injury,,,,9/13/2018,
2018,Dolphins,,josh sitton,placed on ir witih torn rotator cuff in shoulder,,,,9/14/2018,
2018,Chargers,,craig mager,placed on ir with hamstring injury,,,,9/15/2018,
2018,Ravens,,maurice canady,placed on ir with thigh injury,,,,9/17/2018,
2018,Seahawks,,jermaine grace,placed on ir with undisclosed injury,,,,9/17/2018,
2018,Jaguars,,cam robinson,placed on ir with torn acl in left knee,,,,9/18/2018,
2018,Rams,,mike thomas davonta,placed on ir with hip injury,,,,9/18/2018,
2018,Redskins,,rob kelley,placed on ir with toe injury,,,,9/18/2018,
2018,Eagles,,burnell mike wallace,placed on ir with fractured fibula in leg,,,,9/19/2018,
2018,Falcons,,andy levitre,placed on ir with triceps injury,,,,9/19/2018,
2018,Giants,,jon halapio,"placed on ir with fractured leg, ankle",,,,9/19/2018,
2018,Saints,,tommylee lewis,placed on ir with knee injury,,,,9/19/2018,
2018,Bengals,,tra carson,placed on ir with hamstring injury,,,,9/20/2018,
2018,Panthers,,da'norris searcy,placed on ir with concussion,,,,9/21/2018,
2018,Buccaneers,,chris conte,placed on ir with knee injury,,,,9/25/2018,
2018,Cowboys,,datone jones,placed on ir with hamstring / knee injury,,,,9/25/2018,
2018,Dolphins,,william hayes quintin,placed on ir with torn acl in knee,,,,9/25/2018,
2018,Falcons,,ricardo allen,placed on ir with torn left achilles tendon,,,,9/25/2018,
2018,Texans,,bruce ellington,placed on ir with hamstring injury,,,,9/25/2018,
2018,Texans,,dylan cole,placed on ir with dislocated wrist,,,,9/25/2018,
2018,Titans,,kevin pamphile,placed on ir with undisclosed injury,,,,9/25/2018,
2018,49ers,,jimmy garoppolo,placed on ir with torn acl in left knee,,,,9/26/2018,
2018,Bengals,,ryan glasgow,placed on ir with torn acl in knee,,,,9/26/2018,
2018,Giants,,kaelin clay,placed on ir with ankle injury,,,,9/26/2018,
2018,Packers,,davon house,placed on ir with shoulder injury,,,,9/26/2018,
2018,Patriots,,ja'whaun bentley,placed on ir with undisclosed injury,,,,9/26/2018,
2018,Patriots,,rex burkhead,placed on ir with neck injury,,,,9/26/2018,
2018,Raiders,,mike nugent,placed on ir with hip injury,,,,9/26/2018,
2018,Rams,,aqib talib,placed on ir with ankle injury,,,,9/26/2018,
2018,Saints,,patrick robinson b 1987-09-07,placed on ir with fractured ankle,,,,9/26/2018,
2018,Colts,,joe haeg,placed on ir with ankle injury,,,,9/28/2018,
2018,Giants,,jonathan stewart creon,placed on ir with foot injury,,,,9/28/2018,
2018,Broncos,,jake butt,placed on ir with torn acl in knee,,,,9/29/2018,
2018,Eagles,,rodney mcleod jr,placed on ir with knee injury,,,,9/29/2018,
2018,Packers,,muhammad wilkerson,placed on ir with ankle injury,,,,9/29/2018,
2018,Jets,,josh martin,placed on ir with concussion,,,,10/1/2018,
2018,Browns,,terrance mitchell,placed on ir with wrist injury,,,,10/2/2018,
2018,Rams,,dominique easley,placed on ir with left knee injury,,,,10/2/2018,
2018,Seahawks,,earl thomas iii,placed on ir with fractured tibia in left leg,,,,10/2/2018,
2018,Seahawks,,will dissly,placed on ir with torn patellar tendon in knee,,,,10/2/2018,
2018,Steelers,,nat berhe,placed on ir with torn pectoral muscle,,,,10/2/2018,
2018,Giants,,kaelin clay,placed on ir with undisclosed injury,,,,10/2/2018,
2018,Chiefs,,alex ellis,placed on ir with undisclosed injury,,,,10/3/2018,
2018,Dolphins,,daniel kilgore,placed on ir with triceps injury,,,,10/3/2018,
2018,Raiders,,donald penn,placed on ir with groin injury,,,,10/3/2018,
2018,Bengals,,tyler eifert,placed on ir with fractured right ankle,,,,10/5/2018,
2018,Broncos,,marquette king,placed on ir with right thigh injury,,,,10/6/2018,
2018,Cowboys,,terrance williams b,placed on ir with foot injury,,,,10/6/2018,
2018,Dolphins,,luke falk,placed on ir with fractured left wrist,,,,10/6/2018,
2018,Giants,,stacy coley,placed on ir with right hamstring injury,,,,10/6/2018,
2018,Bears,,sam acho,placed on ir with torn pectoral muscle,,,,10/8/2018,
2018,Eagles,,jay ajayi,placed on ir with torn acl in knee,,,,10/8/2018,
2018,Chiefs,,armani watts,placed on ir with groin injury,,,,10/9/2018,
2018,Chiefs,,laurent duvernay-tardif,placed on ir with with fractured fibula in leg,,,,10/9/2018,
2018,Colts,,matt slauson,placed on ir with undisclosed injury,,,,10/9/2018,
2018,Jaguars,,austin seferian-jenkins,placed on ir with core muscle injury,,,,10/9/2018,
2018,Jaguars,,corey grant,placed on ir with foot injury,,,,10/9/2018,
2018,Texans,,kayvon webster,placed on ir with quadriceps injury,,,,10/9/2018,
2018,Colts,,matthias farley,"placed on ir with shoulder injury, groin injury, wrist injury",,,,10/12/2018,
2018,Jaguars,,carson tinker,placed on ir with knee injury,,,,10/12/2018,
2018,Jaguars,,josh wells,placed on ir with groin injury,,,,10/12/2018,
2018,Panthers,,jared norris,placed on ir with toe injury,,,,10/12/2018,
2018,Browns,,derrick willies,placed on ir with fractured collarbone,,,,10/13/2018,
2018,Buccaneers,,marcus williams jeffrey,placed on ir with hamstring injury,,,,10/13/2018,
2018,Chiefs,,de'anthony thomas,placed on ir with fractured tibia in leg,,,,10/13/2018,
2018,Ravens,,de'lance turner,placed on ir with hamstring injury,,,,10/13/2018,
2018,Jaguars,,jaydon mickens,placed on ir with fractured ankle,,,,10/15/2018,
2018,Lions,,jamal agnew,placed on ir with knee injury,,,,10/15/2018,
2018,Browns,,rod streater,placed on ir with neck injury,,,,10/16/2018,
2018,Colts,,marcus johnson b 1994-08-05,placed on ir with ankle injury,,,,10/16/2018,
2018,Falcons,,devonta freeman,"placed on ir with foot injury, groin injury",,,,10/16/2018,
2018,Giants,,cody latimer,placed on ir with hamstring injury,,,,10/16/2018,
2018,Giants,,ray-ray armstrong,placed on ir with concussion,,,,10/16/2018,
2018,Jaguars,,niles paul,placed on ir with sprained mcl in knee,,,,10/16/2018,
2018,Vikings,,mike hughes b 1997-02-11,placed on ir with torn acl in knee,,,,10/16/2018,
2018,Browns,,james burgess jr,placed on ir with hamstring injury,,,,10/17/2018,
2018,Dolphins,,chase allen b 1993-08-29,placed on ir with foot injury,,,,10/17/2018,
2018,Eagles,,destiny vaeao,placed on ir with undisclosed injury,,,,10/17/2018,
2018,Saints,,ted ginn jr,placed on ir with knee injury,,,,10/18/2018,
2018,Broncos,,ronald leary  ron leary,placed on ir with torn right achilles tendon,,,,10/20/2018,
2018,Jaguars,,will richardson,placed on ir with knee injury,,,,10/20/2018,
2018,Buccaneers,,jack cichy,placed on ir with torn acl in knee,,,,10/22/2018,
2018,Buccaneers,,kwon alexander,placed on ir with with torn acl in knee,,,,10/22/2018,
2018,Raiders,,marshawn lynch,placed on ir with core muscle injury / groin injury,,,,10/22/2018,
2018,49ers,,adrian colbert,placed on ir with right ankle injury,,,,10/23/2018,
2018,Bengals,,mason schreck,placed on ir with knee / left leg injury,,,,10/23/2018,
2018,Chiefs,,jordan devey,placed on ir with pectoral muscle injury,,,,10/23/2018,
2018,Chiefs,,terrance smith b 1993-05-03,placed on ir with knee injury,,,,10/23/2018,
2018,Jets,,doug middleton,placed on ir with torn pectoral muscle,,,,10/23/2018,
2018,Ravens,,willie henry,placed on ir with back / abdominal injury,,,,10/23/2018,
2018,Saints,,jay bromley,placed on ir with right biceps injury,,,,10/23/2018,
2018,Texans,,tyrell adams,placed on ir with undisclosed injury,,,,10/23/2018,
2018,Dolphins,,albert wilson,placed on ir with hip injury,,,,10/24/2018,
2018,Falcons,,brandon fusco,placed on ir with ankle injury,,,,10/24/2018,
2018,Jets,,bilal powell,placed on ir with neck injury,,,,10/24/2018,
2018,Saints,,josh leribeus,placed on ir with ankle injury,,,,10/24/2018,
2018,Eagles,,derek barnett,placed on ir with torn rotator cuff in shoulder,,,,10/25/2018,
2018,Jaguars,,donald payne,placed on ir with sprained mcl in knee,,,,10/25/2018,
2018,Colts,,jihad ward,placed on ir with left ankle injury,,,,10/26/2018,
2018,Cowboys,,cj goodwin,placed on ir with fractured forearm,,,,10/26/2018,
2018,Redskins,,troy apke,placed on ir with hamstring injury,,,,10/29/2018,
2018,Dolphins,,vincent taylor,placed on ir with foot injury,,,,10/30/2018,
2018,Patriots,,eric rowe,placed on ir with groin injury,,,,10/30/2018,
2018,Texans,,will fuller v,placed on ir with torn acl in right knee,,,,10/30/2018,
2018,Bills,,corey bojorquez,placed on ir with shoulder injury,,,,10/31/2018,
2018,Bills,,taiwan jones asti eric,placed on ir with neck injury,,,,10/31/2018,
2018,Dolphins,,cordrea tankersley,placed on ir with torn acl in knee,,,,11/2/2018,
2018,49ers,,emmanuel moseley,placed on ir with dislocated shoulder,,,,11/3/2018,
2018,49ers,,raheem mostert,placed on ir with fractured right forearm,,,,11/3/2018,
2018,Bears,,kyle long,placed on ir with right foot injury,,,,11/3/2018,
2018,Cardinals,,john wetzel,placed on ir with neck injury,,,,11/3/2018,
2018,Chargers,,kyzir white,placed on ir with knee injury,,,,11/3/2018,
2018,Bengals,,carl lawson,placed on ir with torn acl in knee,,,,11/5/2018,
2018,Raiders,,tj clemmings,placed on ir with knee injury,,,,11/5/2018,
2018,Redskins,,brandon scherff,placed on ir with torn pectoral muscle,,,,11/5/2018,
2018,Redskins,,paul richardson jr,placed on ir with shoulder injury,,,,11/5/2018,
2018,Redskins,,shawn lauvao,placed on ir with torn acl in knee,,,,11/5/2018,
2018,Packers,,geronimo allison,placed on ir with core muscle injury / groin injury,,,,11/6/2018,
2018,Patriots,,brian schwenke,placed on ir with foot injury,,,,11/6/2018,
2018,Browns,,christian kirksey,placed on ir with hamstring injury,,,,11/7/2018,
2018,Browns,,ej gaines,placed on ir with concussion,,,,11/7/2018,
2018,Saints,,cameron meredith,placed on ir with knee injury,,,,11/8/2018,
2018,Jets,,neal sterling,placed on ir with concussion,,,,11/10/2018,
2018,Saints,,dez bryant,placed on ir with torn achilles tendon,,,,11/10/2018,
2018,Broncos,,matt paradis,placed on ir with leg injury,,,,11/12/2018,
2018,Redskins,,geron christian,placed on ir with torn mcl in knee,,,,11/12/2018,
2018,Cowboys,,terrance williams b,placed on ir with foot injury,,,,11/12/2018,
2018,Buccaneers,,evan dietrich-smith  evan smith,placed on ir with hip injury,,,,11/13/2018,
2018,Buccaneers,,shaun wilson,placed on ir with left shoulder injury,,,,11/13/2018,
2018,Cardinals,,justin pugh,placed on ir with leg / knee injury,,,,11/13/2018,
2018,Chargers,,denzel perryman,placed on ir with knee injury,,,,11/13/2018,
2018,Colts,,carroll phillips,placed on ir with groin injury,,,,11/13/2018,
2018,Jaguars,,brandon linder,placed on ir with right knee injury,,,,11/13/2018,
2018,Lions,,tj lang john,placed on ir with neck injury,,,,11/14/2018,
2018,Bengals,,tyler kroft,placed on ir with foot injury,,,,11/16/2018,
2018,Eagles,,joshua perkins  josh perkins,placed on ir with knee injury,,,,11/16/2018,
2018,Bears,,dion sims,placed on ir with concussion,,,,11/17/2018,
2018,Eagles,,ronald darby,placed on ir with knee injury,,,,11/17/2018,
2018,Raiders,,brandon lafell,placed on ir with torn left achilles tendon,,,,11/19/2018,
