Season,Team,Acquired,Relinquished,Notes,,,,Date
2010,Texans,,• Trindon Holliday,placed on ir with thumb injury,,,,8/30/2010
2010,Seahawks,,• Jonathan Lewis,placed on ir with thumb injury,,,,8/30/2010
2010,49ers,,• Brandon Long,placed on ir,,,,8/31/2010
2010,Broncos,,• Tony Carter (Lamar),placed on ir,,,,8/31/2010
2010,Browns,,• Titus Adams,placed on ir with leg injury,,,,8/31/2010
2010,Buccaneers,,• Jon Alston (b. 1983-06-04),placed on ir with undisclosed injury,,,,8/31/2010
2010,Cardinals,,• Nehemiah Broughton,placed on ir with torn acl in knee,,,,8/31/2010
2010,Chargers,,• Donald Butler,placed on ir with achilles tendon injury,,,,8/31/2010
2010,Cowboys,,• John Phillips (Matthew),placed on ir with torn acl in right knee,,,,8/31/2010
2010,Dolphins,,• Joey Haynos,placed on ir,,,,8/31/2010
2010,Dolphins,,• Nate Garner,placed on ir with foot injury,,,,8/31/2010
2010,Eagles,,• Ricky Sapp,placed on ir with knee injury,,,,8/31/2010
2010,Giants,,• Adrian Tracy,placed on ir with elbow injury,,,,8/31/2010
2010,Giants,,• Jim Sorgi,placed on ir with right shoulder injury,,,,8/31/2010
2010,Giants,,• Sinorice Moss,placed on ir with sports hernia,,,,8/31/2010
2010,Jaguars,,• D'Anthony Smith,placed on ir with achilles tendon injury,,,,8/31/2010
2010,Jaguars,,• John Estes,placed on ir with knee injury,,,,8/31/2010
2010,Lions,,• Jake Nordin,placed on ir,,,,8/31/2010
2010,Packers,,• Quinn Porter,placed on ir with sprained mcl in left knee,,,,8/31/2010
2010,Panthers,,• Hilee Taylor,placed on ir with knee injury,,,,8/31/2010
2010,Panthers,,• Wallace Wright,placed on ir with shoulder injury,,,,8/31/2010
2010,Patriots,,• Bret Lockett,placed on ir with chest injury,,,,8/31/2010
2010,Patriots,,• Darryl Richard,placed on ir with foot injury,,,,8/31/2010
2010,Patriots,,• Josh Barrett,placed on ir with shoulder injury,,,,8/31/2010
2010,Patriots,,• Leigh Bodden,placed on ir with shoulder injury,,,,8/31/2010
2010,Rams,,• Phil Trautwein,placed on ir,,,,8/31/2010
2010,Ravens,,• Daniel Sanders,placed on ir with shoulder injury,,,,8/31/2010
2010,Ravens,,• Marcus Paschal,placed on ir with right leg injury,,,,8/31/2010
2010,Redskins,,• Malcolm Kelly,placed on ir with knee injury,,,,8/31/2010
2010,Vikings,,• Jeremy Leman / J Leman,placed on ir with toe injury,,,,8/31/2010
2010,Bears,,• Will Ta'ufo'ou,placed on ir with right knee injury,,,,9/1/2010
2010,Cardinals,,• Darren Mougey,placed on ir,,,,9/1/2010
2010,Falcons,,• Thomas Johnson (b. 1981-06-24),placed on ir,,,,9/1/2010
2010,Jaguars,,• Cecil Newton Jr.,placed on ir,,,,9/1/2010
2010,Packers,,• Quinn Porter,placed on ir,,,,9/1/2010
2010,Titans,,• Kareem Brown,placed on ir,,,,9/1/2010
2010,Titans,,• Mike Rivera,placed on ir,,,,9/1/2010
2010,Ravens,,• Mike McLaughlin (b),placed on ir with sports hernia,,,,9/2/2010
2010,Broncos,,• LenDale White,placed on ir with achilles tendon injury,,,,9/3/2010
2010,Browns,,• Montario Hardesty,placed on ir with left knee injury,,,,9/3/2010
2010,49ers,,• Chris Patrick,placed on ir,,,,9/4/2010
2010,49ers,,• Matt Wilhelm,placed on ir,,,,9/4/2010
2010,49ers,,• Scott McKillop,placed on ir,,,,9/4/2010
2010,Bears,,• Averell Spicer,placed on ir,,,,9/4/2010
2010,Bears,,• Brett Basanez,placed on ir,,,,9/4/2010
2010,Bengals,,• Andrew Mitchell,placed on ir,,,,9/4/2010
2010,Bengals,,• Gibril Wilson,placed on ir,,,,9/4/2010
2010,Bills,,• Felton Huggins,placed on ir,,,,9/4/2010
2010,Bills,,• Joe Klopfenstein,placed on ir,,,,9/4/2010
2010,Broncos,,• Brandon Stokley,placed on ir for undisclosed reason,,,,9/4/2010
2010,Broncos,,• Braxton Kelley,placed on ir,,,,9/4/2010
2010,Broncos,,• Elvis Dumervil,placed on ir with pectoral injury,,,,9/4/2010
2010,Broncos,,• Kenny McKinley,placed on ir,,,,9/4/2010
2010,Broncos,,• Kyle Eckel,placed on ir,,,,9/4/2010
2010,Browns,,• Dave Zastudil,placed on ir,,,,9/4/2010
2010,Browns,,• Greg Estandia,placed on ir,,,,9/4/2010
2010,Browns,,• Johnathan Haggerty,placed on ir,,,,9/4/2010
2010,Browns,,• Kwaku Danso,placed on ir,,,,9/4/2010
2010,Buccaneers,,• Brandon Gilbeaux,placed on ir with ankle injury,,,,9/4/2010
2010,Buccaneers,,• Demar Dotson,placed on ir with undisclosed injury,,,,9/4/2010
2010,Buccaneers,,• Jon Alston (b. 1983-06-04),placed on ir,,,,9/4/2010
2010,Cardinals,,• Darren Mougey,placed on ir,,,,9/4/2010
2010,Cardinals,,• Keilen Dykes,placed on ir,,,,9/4/2010
2010,Cardinals,,• Nehemiah Broughton,placed on ir,,,,9/4/2010
2010,Chiefs,,• Chandler Williams III,placed on ir,,,,9/4/2010
2010,Chiefs,,• Jerheme Urban,placed on ir with finger injury,,,,9/4/2010
2010,Chiefs,,• Maurice Leggett,placed on ir with neck injury,,,,9/4/2010
2010,Chiefs,,• Tervaris Johnson,placed on ir,,,,9/4/2010
2010,Colts,,• Brett Swenson,placed on ir,,,,9/4/2010
2010,Colts,,• David Caldwell (b),placed on ir,,,,9/4/2010
2010,Colts,,• Donye McCleskey / Donye' McCleskey,placed on ir,,,,9/4/2010
2010,Colts,,• Jamie Silva,placed on ir,,,,9/4/2010
2010,Colts,,• Jordan Hemby,placed on ir,,,,9/4/2010
2010,Colts,,• Marcus McCauley,placed on ir,,,,9/4/2010
2010,Colts,,• Tom Santi,placed on ir,,,,9/4/2010
2010,Dolphins,,• Joey Haynos,placed on ir,,,,9/4/2010
2010,Dolphins,,• Kory Sheets,placed on ir,,,,9/4/2010
2010,Eagles,,• Antoine Harris,placed on ir,,,,9/4/2010
2010,Eagles,,• Marlin Jackson,placed on ir,,,,9/4/2010
2010,Falcons,,• Thomas Johnson (b. 1981-06-24),placed on ir,,,,9/4/2010
2010,Giants,,• Domenik Hixon,placed on ir,,,,9/4/2010
2010,Giants,,• Jim Sorgi,placed on ir,,,,9/4/2010
2010,Giants,,• Sinorice Moss,placed on ir,,,,9/4/2010
2010,Jaguars,,• Bryan Smith,placed on ir,,,,9/4/2010
2010,Jaguars,,• Chris McGaha,placed on ir,,,,9/4/2010
2010,Jaguars,,• Freddy Keiaho,placed on ir,,,,9/4/2010
2010,Jaguars,,• Jason Harmon (b),placed on ir,,,,9/4/2010
2010,Jaguars,,• Kyle Bosworth,placed on ir with undisclosed injury,,,,9/4/2010
2010,Jaguars,,• Nate Hughes,placed on ir,,,,9/4/2010
2010,Jaguars,,• Terrell Whitehead,placed on ir,,,,9/4/2010
2010,Lions,,• Copeland Bryan,placed on ir,,,,9/4/2010
2010,Lions,,• Jake Nordin,placed on ir,,,,9/4/2010
2010,Lions,,• Jared DeVries,placed on ir,,,,9/4/2010
2010,Lions,,• Joe Cohen,placed on ir,,,,9/4/2010
2010,Lions,,• Jordon Dizon,placed on ir,,,,9/4/2010
2010,Lions,,• Richard Dickson,placed on ir,,,,9/4/2010
2010,Lions,,• T.J. Rushing,placed on ir,,,,9/4/2010
2010,Lions,,• Trevor Canfield,placed on ir,,,,9/4/2010
2010,Packers,,• Josh Bell,placed on ir,,,,9/4/2010
2010,Packers,,• Quinn Porter,placed on ir,,,,9/4/2010
2010,Packers,,• Will Blackmon,placed on ir with knee injury,,,,9/4/2010
2010,Panthers,,• C.J. Davis,placed on ir with concussion,,,,9/4/2010
2010,Panthers,,• Duke Robinson,placed on ir with knee injury,,,,9/4/2010
2010,Panthers,,• Steve Justice,placed on ir,,,,9/4/2010
2010,Panthers,,• Wallace Wright,placed on ir,,,,9/4/2010
2010,Patriots,,• Brandon McGowan,placed on ir with chest injury,,,,9/4/2010
2010,Patriots,,• Kade Weston,placed on ir,,,,9/4/2010
2010,Patriots,,• Leigh Bodden,placed on ir,,,,9/4/2010
2010,Patriots,,• Ty Warren,placed on ir,,,,9/4/2010
