player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
cedrick wilson,cedrick wilson,2021,cedrick wilson,2018,100.0
cedrick wilson,cedrick wilson,2021,cedrick wilson,2019,100.0
evan engram,evan engram,2021,evan engram,2019,100.0
odell beckham,odell beckham,2021,odell beckham,2017,100.0
odell beckham,odell beckham,2021,odell beckham,2020,100.0
darren waller,darren waller,2021,darren waller,2015,100.0
robert woods,robert woods,2021,robert woods,2015,100.0
tj hockenson,tj hockenson,2021,tj hockenson,2019,100.0
marvin jones,marvin jones,2021,marvin jones,2014,100.0
marvin jones,marvin jones,2021,marvin jones,2018,100.0
marvin jones,marvin jones,2021,marvin jones,2019,100.0
aj green,aj green,2021,aj green,2016,100.0
aj green,aj green,2021,aj green,2018,100.0
aj green,aj green,2021,aj green,2019,100.0
dallas goedert,dallas goedert,2021,dallas goedert,2020,100.0
tim patrick,tim patrick,2021,tim patrick,2019,100.0
zach ertz,zach ertz,2021,zach ertz,2020,100.0
christian kirk,christian kirk,2021,christian kirk,2018,100.0
quez watkins,quez watkins,2021,quez watkins,2020,100.0
keenan allen,keenan allen,2021,keenan allen,2015,100.0
keenan allen,keenan allen,2021,keenan allen,2016,100.0
jared cook,jared cook,2021,jared cook,2012,100.0
calvin ridley,calvin ridley,2021,calvin ridley,2019,100.0
sammy watkins,sammy watkins,2021,sammy watkins,2016,100.0
dan arnold,dan arnold,2021,dan arnold,2017,100.0
george kittle,george kittle,2021,george kittle,2020,100.0
marquez callaway,marquez callaway,2021,marquez callaway,2020,100.0
allen lazard,allen lazard,2021,allen lazard,2020,100.0
hunter henry,hunter henry,2021,hunter henry,2017,100.0
emmanuel sanders,emmanuel sanders,2021,emmanuel sanders,2018,100.0
travis kelce,travis kelce,2021,travis kelce,2013,100.0
julio jones,julio jones,2021,julio jones,2013,100.0
jonnu smith,jonnu smith,2021,jonnu smith,2018,100.0
byron pringle,byron pringle,2021,byron pringle,2018,100.0
byron pringle,byron pringle,2021,byron pringle,2020,100.0
mo alie-cox,mo alie-cox,2021,mo alie-cox,2017,100.0
mike williams,mike williams,2021,mike williams,2011,100.0
mike williams,mike williams,2021,mike williams,2013,100.0
mike williams,mike williams,2021,mike williams,2014,100.0
courtland sutton,courtland sutton,2021,courtland sutton,2020,100.0
mike evans,mike evans,2021,mike evans,2019,100.0
rob gronkowski,rob gronkowski,2021,rob gronkowski,2012,100.0
rob gronkowski,rob gronkowski,2021,rob gronkowski,2013,100.0
rob gronkowski,rob gronkowski,2021,rob gronkowski,2016,100.0
david njoku,david njoku,2021,david njoku,2019,100.0
david njoku,david njoku,2021,david njoku,2020,100.0
tyler lockett,tyler lockett,2022,tyler lockett,2016,100.0
quez watkins,quez watkins,2022,quez watkins,2020,100.0
brandin cooks,brandin cooks,2022,brandin cooks,2014,100.0
evan engram,evan engram,2022,evan engram,2019,100.0
robert woods,robert woods,2022,robert woods,2015,100.0
robert woods,robert woods,2022,robert woods,2021,100.0
deandre hopkins,deandre hopkins,2022,deandre hopkins,2021,100.0
noah brown,noah brown,2022,noah brown,2018,100.0
noah brown,noah brown,2022,noah brown,2021,100.0
curtis samuel,curtis samuel,2022,curtis samuel,2017,100.0
curtis samuel,curtis samuel,2022,curtis samuel,2021,100.0
richie james,richie james,2022,richie james,2020,100.0
richie james,richie james,2022,richie james,2021,100.0
isaiah hodgins,isaiah hodgins,2022,isaiah hodgins,2020,100.0
deebo samuel,deebo samuel,2022,deebo samuel,2020,100.0
chris godwin,chris godwin,2022,chris godwin,2020,100.0
chris godwin,chris godwin,2022,chris godwin,2021,100.0
olamide zaccheaus,olamide zaccheaus,2022,olamide zaccheaus,2020,100.0
corey davis,corey davis,2022,corey davis,2021,100.0
mack hollins,mack hollins,2022,mack hollins,2018,100.0
robert tonyan,robert tonyan,2022,robert tonyan,2021,100.0
michael pittman,michael pittman,2022,michael pittman,2020,100.0
parris campbell,parris campbell,2022,parris campbell,2019,100.0
parris campbell,parris campbell,2022,parris campbell,2020,100.0
parris campbell,parris campbell,2022,parris campbell,2021,100.0
cooper kupp,cooper kupp,2022,cooper kupp,2018,100.0
jerry jeudy,jerry jeudy,2022,jerry jeudy,2021,100.0
christian kirk,christian kirk,2022,christian kirk,2018,100.0
marquez valdes-scantling,marquez valdes-scantling,2022,marquez valdes-scantling,2021,100.0
travis kelce,travis kelce,2022,travis kelce,2013,100.0
tj hockenson,tj hockenson,2022,tj hockenson,2019,100.0
tj hockenson,tj hockenson,2022,tj hockenson,2021,100.0
dallas goedert,dallas goedert,2022,dallas goedert,2020,100.0
aj green,aj green,2022,aj green,2016,100.0
aj green,aj green,2022,aj green,2018,100.0
aj green,aj green,2022,aj green,2019,100.0
elijah moore,elijah moore,2022,elijah moore,2021,100.0
chris moore,chris moore,2022,chris moore,2020,100.0
michael gallup,michael gallup,2022,michael gallup,2021,100.0
keenan allen,keenan allen,2022,keenan allen,2015,100.0
keenan allen,keenan allen,2022,keenan allen,2016,100.0
adam thielen,adam thielen,2022,adam thielen,2021,100.0
hayden hurst,hayden hurst,2022,hayden hurst,2021,100.0
randall cobb,randall cobb,2022,randall cobb,2013,100.0
randall cobb,randall cobb,2022,randall cobb,2020,100.0
randall cobb,randall cobb,2022,randall cobb,2021,100.0
nico collins,nico collins,2022,nico collins,2021,100.0
marvin jones,marvin jones,2022,marvin jones,2014,100.0
marvin jones,marvin jones,2022,marvin jones,2018,100.0
marvin jones,marvin jones,2022,marvin jones,2019,100.0
courtland sutton,courtland sutton,2022,courtland sutton,2020,100.0
tyler higbee,tyler higbee,2022,tyler higbee,2021,100.0
mike evans,mike evans,2022,mike evans,2019,100.0
juju smith-schuster,juju smith-schuster,2022,juju smith-schuster,2021,100.0
hunter henry,hunter henry,2022,hunter henry,2017,100.0
aj brown,aj brown,2022,aj brown,2021,100.0
george kittle,george kittle,2022,george kittle,2020,100.0
george kittle,george kittle,2022,george kittle,2021,100.0
dj chark,dj chark,2022,dj chark,2021,100.0
logan thomas,logan thomas,2022,logan thomas,2021,100.0
mike williams,mike williams,2022,mike williams,2011,100.0
mike williams,mike williams,2022,mike williams,2013,100.0
mike williams,mike williams,2022,mike williams,2014,100.0
foster moreau,foster moreau,2022,foster moreau,2019,100.0
allen lazard,allen lazard,2022,allen lazard,2020,100.0
david njoku,david njoku,2022,david njoku,2019,100.0
david njoku,david njoku,2022,david njoku,2020,100.0
zach ertz,zach ertz,2022,zach ertz,2020,100.0
terrace marshall,terrace marshall,2022,terrace marshall,2021,100.0
tyler boyd,tyler boyd,2022,tyler boyd,2018,100.0
allen robinson,allen robinson,2022,allen robinson,2014,100.0
allen robinson,allen robinson,2022,allen robinson,2017,100.0
devante parker,devante parker,2022,devante parker,2021,100.0
rondale moore,rondale moore,2023,rondale moore,2022,100.0
jerry jeudy,jerry jeudy,2023,jerry jeudy,2021,100.0
elijah moore,elijah moore,2023,elijah moore,2021,100.0
cooper kupp,cooper kupp,2023,cooper kupp,2018,100.0
cooper kupp,cooper kupp,2023,cooper kupp,2022,100.0
robert woods,robert woods,2023,robert woods,2015,100.0
robert woods,robert woods,2023,robert woods,2021,100.0
juju smith-schuster,juju smith-schuster,2023,juju smith-schuster,2021,100.0
chris godwin,chris godwin,2023,chris godwin,2020,100.0
chris godwin,chris godwin,2023,chris godwin,2021,100.0
curtis samuel,curtis samuel,2023,curtis samuel,2017,100.0
curtis samuel,curtis samuel,2023,curtis samuel,2021,100.0
keenan allen,keenan allen,2023,keenan allen,2015,100.0
keenan allen,keenan allen,2023,keenan allen,2016,100.0
michael pittman,michael pittman,2023,michael pittman,2020,100.0
deebo samuel,deebo samuel,2023,deebo samuel,2020,100.0
tyler lockett,tyler lockett,2023,tyler lockett,2016,100.0
noah brown,noah brown,2023,noah brown,2018,100.0
noah brown,noah brown,2023,noah brown,2021,100.0
allen robinson,allen robinson,2023,allen robinson,2014,100.0
allen robinson,allen robinson,2023,allen robinson,2017,100.0
allen robinson,allen robinson,2023,allen robinson,2022,100.0
travis kelce,travis kelce,2023,travis kelce,2013,100.0
dallas goedert,dallas goedert,2023,dallas goedert,2020,100.0
dallas goedert,dallas goedert,2023,dallas goedert,2022,100.0
jonnu smith,jonnu smith,2023,jonnu smith,2018,100.0
aj brown,aj brown,2023,aj brown,2021,100.0
mike evans,mike evans,2023,mike evans,2019,100.0
logan thomas,logan thomas,2023,logan thomas,2021,100.0
courtland sutton,courtland sutton,2023,courtland sutton,2020,100.0
adam thielen,adam thielen,2023,adam thielen,2021,100.0
allen lazard,allen lazard,2023,allen lazard,2020,100.0
kyle pitts,kyle pitts,2023,kyle pitts,2022,100.0
darren waller,darren waller,2023,darren waller,2015,100.0
darren waller,darren waller,2023,darren waller,2022,100.0
tyler higbee,tyler higbee,2023,tyler higbee,2021,100.0
brandin cooks,brandin cooks,2023,brandin cooks,2014,100.0
evan engram,evan engram,2023,evan engram,2019,100.0
tyler boyd,tyler boyd,2023,tyler boyd,2018,100.0
michael gallup,michael gallup,2023,michael gallup,2021,100.0
christian kirk,christian kirk,2023,christian kirk,2018,100.0
marquise brown,marquise brown,2023,marquise brown,2022,100.0
hunter henry,hunter henry,2023,hunter henry,2017,100.0
tj hockenson,tj hockenson,2023,tj hockenson,2019,100.0
tj hockenson,tj hockenson,2023,tj hockenson,2021,100.0
darnell mooney,darnell mooney,2023,darnell mooney,2022,100.0
devante parker,devante parker,2023,devante parker,2021,100.0
nico collins,nico collins,2023,nico collins,2021,100.0
nico collins,nico collins,2023,nico collins,2022,100.0
deandre hopkins,deandre hopkins,2023,deandre hopkins,2021,100.0
dj chark,dj chark,2023,dj chark,2021,100.0
dj chark,dj chark,2023,dj chark,2022,100.0
calvin ridley,calvin ridley,2023,calvin ridley,2019,100.0
rashod bateman,rashod bateman,2023,rashod bateman,2021,100.0
rashod bateman,rashod bateman,2023,rashod bateman,2022,100.0
george kittle,george kittle,2023,george kittle,2020,100.0
george kittle,george kittle,2023,george kittle,2021,100.0
odell beckham,odell beckham,2023,odell beckham,2017,100.0
odell beckham,odell beckham,2023,odell beckham,2020,100.0
michael thomas,michael thomas,2023,michael thomas,2014,100.0
michael thomas,michael thomas,2023,michael thomas,2017,100.0
michael thomas,michael thomas,2023,michael thomas,2020,100.0
michael thomas,michael thomas,2023,michael thomas,2022,100.0
david njoku,david njoku,2023,david njoku,2019,100.0
david njoku,david njoku,2023,david njoku,2020,100.0
ray-ray mccloud,ray-ray mccloud,2024,ray-ray mccloud,2023,100.0
cooper kupp,cooper kupp,2024,cooper kupp,2018,100.0
cooper kupp,cooper kupp,2024,cooper kupp,2022,100.0
cooper kupp,cooper kupp,2024,cooper kupp,2023,100.0
olamide zaccheaus,olamide zaccheaus,2024,olamide zaccheaus,2020,100.0
sterling shepard,sterling shepard,2024,sterling shepard,2020,100.0
sterling shepard,sterling shepard,2024,sterling shepard,2021,100.0
sterling shepard,sterling shepard,2024,sterling shepard,2022,100.0
pat freiermuth,pat freiermuth,2024,pat freiermuth,2023,100.0
colby parkinson,colby parkinson,2024,colby parkinson,2021,100.0
