player_season_name,season_ps,ir_name,season_ir,fuzzy_score
nick westbrook-ikhine,2024,nick westbrook,2023,80
elijah moore,2024,elijah molden,2022,80
elijah moore,2024,elijah molden,2022,80
elijah moore,2024,elijah molden,2024,80
josh downs,2024,josh jones,2020,80
josh downs,2024,josh jones,2021,80
josh downs,2024,josh jones,2022,80
michael wilson,2024,michael williams,2013,80
michael wilson,2024,michael wilhoite,2015,80
michael wilson,2024,michael williams,2016,80
michael wilson,2024,sony michel,2020,80
adonai mitchell,2024,keaton mitchell,2023,80
adonai mitchell,2024,keaton mitchell,2023,80
juwan johnson,2024,lane johnson,2020,80
quentin johnston,2024,justin johnson,2019,80
david moore,2024,dan moore,2013,80
justin jefferson,2024,tony jefferson,2016,80
justin jefferson,2024,tony jefferson,2019,80
justin jefferson,2024,tony jefferson,2021,80
justin jefferson,2024,tony jefferson,2022,80
ja'marr chase,2024,jamar chaney,2014,80
brandon aiyuk,2024,brandon bair,2013,80
keon coleman,2024,tevin coleman,2020,80
demarcus robinson,2019,denard robinson,2014,81.25
preston williams,2019,jameson williams,2022,81.25
demarcus robinson,2020,denard robinson,2014,81.25
christopher herndon,2020,chris herndon,2019,81.25
demarcus robinson,2022,denard robinson,2014,81.25
jameson williams,2024,preston williams,2019,81.25
jameson williams,2024,preston williams,2020,81.25
jameson williams,2024,javonte williams,2022,81.25
demarcus robinson,2024,denard robinson,2014,81.25
maurice harris,2018,marcus harris,2014,81.48148148
maurice harris,2018,marcus harris,2015,81.48148148
maurice harris,2018,maurice hurst,2021,81.48148148
maurice harris,2018,maurice hurst,2022,81.48148148
maurice harris,2018,maurice hurst,2023,81.48148148
maurice harris,2018,maurice hurst,2024,81.48148148
maurice harris,2018,maurice hurst,2024,81.48148148
robby anderson,2018,troy andersen,2023,81.48148148
robby anderson,2018,troy andersen,2024,81.48148148
brandin cooks,2018,brandon brooks,2019,81.48148148
brandin cooks,2018,brandon brooks,2021,81.48148148
brandin cooks,2018,brandin echols,2021,81.48148148
brandin cooks,2018,brandin echols,2022,81.48148148
cameron brate,2018,cameron batson,2019,81.48148148
cameron brate,2018,cameron batson,2021,81.48148148
kelvin benjamin,2018,eno benjamin,2023,81.48148148
chad williams,2018,chris williams,2011,81.48148148
chad williams,2018,chris williams,2014,81.48148148
chad williams,2018,chris williams,2014,81.48148148
chad williams,2018,ishaq williams,2017,81.48148148
chad williams,2018,andre williams,2017,81.48148148
antonio brown,2018,antonio gibson,2022,81.48148148
mike williams,2018,james williams,2010,81.48148148
mike williams,2018,mario williams,2010,81.48148148
mike williams,2018,james williams,2011,81.48148148
mike williams,2018,mario williams,2011,81.48148148
mike williams,2018,eddie williams,2012,81.48148148
mike williams,2018,keith williams,2013,81.48148148
mike williams,2018,kyren williams,2022,81.48148148
mike williams,2018,kyren williams,2023,81.48148148
brandin cooks,2019,brandon brooks,2019,81.48148148
brandin cooks,2019,brandon brooks,2021,81.48148148
brandin cooks,2019,brandin echols,2021,81.48148148
brandin cooks,2019,brandin echols,2022,81.48148148
cameron brate,2019,cameron batson,2019,81.48148148
cameron brate,2019,cameron batson,2021,81.48148148
mike williams,2019,james williams,2010,81.48148148
mike williams,2019,mario williams,2010,81.48148148
mike williams,2019,james williams,2011,81.48148148
mike williams,2019,mario williams,2011,81.48148148
mike williams,2019,eddie williams,2012,81.48148148
mike williams,2019,keith williams,2013,81.48148148
mike williams,2019,kyren williams,2022,81.48148148
mike williams,2019,kyren williams,2023,81.48148148
robby anderson,2019,troy andersen,2023,81.48148148
robby anderson,2019,troy andersen,2024,81.48148148
brandin cooks,2020,brandon brooks,2019,81.48148148
brandin cooks,2020,brandon brooks,2021,81.48148148
brandin cooks,2020,brandin echols,2021,81.48148148
brandin cooks,2020,brandin echols,2022,81.48148148
robby anderson,2020,troy andersen,2023,81.48148148
robby anderson,2020,troy andersen,2024,81.48148148
antonio brown,2020,antonio gibson,2022,81.48148148
mike williams,2020,james williams,2010,81.48148148
mike williams,2020,mario williams,2010,81.48148148
mike williams,2020,james williams,2011,81.48148148
mike williams,2020,mario williams,2011,81.48148148
mike williams,2020,eddie williams,2012,81.48148148
mike williams,2020,keith williams,2013,81.48148148
mike williams,2020,kyren williams,2022,81.48148148
mike williams,2020,kyren williams,2023,81.48148148
robby anderson,2021,troy andersen,2023,81.48148148
robby anderson,2021,troy andersen,2024,81.48148148
cameron brate,2021,cameron batson,2019,81.48148148
cameron brate,2021,cameron batson,2021,81.48148148
kalif raymond,2021,raymond calais,2020,81.48148148
kalif raymond,2021,raymond calais,2021,81.48148148
brandin cooks,2021,brandon brooks,2019,81.48148148
brandin cooks,2021,brandon brooks,2021,81.48148148
brandin cooks,2021,brandin echols,2021,81.48148148
brandin cooks,2021,brandin echols,2022,81.48148148
antonio brown,2021,antonio gibson,2022,81.48148148
cedrick wilson,2021,jedrick wills,2023,81.48148148
cedrick wilson,2021,jedrick wills,2024,81.48148148
van jefferson,2021,tony jefferson,2016,81.48148148
van jefferson,2021,tony jefferson,2019,81.48148148
van jefferson,2021,tony jefferson,2021,81.48148148
van jefferson,2021,tony jefferson,2022,81.48148148
tyler johnson,2021,tyrell johnson,2010,81.48148148
tyler johnson,2021,tyrell johnson,2011,81.48148148
tyler johnson,2021,tyrell johnson,2016,81.48148148
mike williams,2021,james williams,2010,81.48148148
mike williams,2021,mario williams,2010,81.48148148
mike williams,2021,james williams,2011,81.48148148
mike williams,2021,mario williams,2011,81.48148148
mike williams,2021,eddie williams,2012,81.48148148
mike williams,2021,keith williams,2013,81.48148148
mike williams,2021,kyren williams,2022,81.48148148
mike williams,2021,kyren williams,2023,81.48148148
kalif raymond,2022,raymond calais,2020,81.48148148
kalif raymond,2022,raymond calais,2021,81.48148148
brandin cooks,2022,brandon brooks,2019,81.48148148
brandin cooks,2022,brandon brooks,2021,81.48148148
brandin cooks,2022,brandin echols,2021,81.48148148
brandin cooks,2022,brandin echols,2022,81.48148148
