player,matched_ir_name,fuzzy_score,above_threshold
malik nabers,malik turner,75.0,False
tucker kraft,tyler kroft,69.56521739130434,False
adonai mitchell,mitchell fraboni,83.87096774193549,True
will dissly,will dissly,100.0,True
ricky pearsall,erick all,69.56521739130434,False
ladd mcconkey,gerald mccoy,64.0,False
noah gray,jonas gray,73.6842105263158,False
devaughn vele,devan walker,64.0,False
dj moore,jd moore,87.5,True
rome odunze,denzel rice,63.63636363636363,False
deebo samuel sr.,deebo samuel,85.71428571428572,True
andrei iosivas,andre williams,71.42857142857143,False
marvin harrison jr.,ronnie harrison jr,75.67567567567568,False
keon coleman,kenyon coleman,92.3076923076923,True
kayshon boutte,kyshoen jarrett,62.06896551724138,False
