player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score,number
isaiah ford,isaiah ford,2020,isaiah ford,2017,100.0,1
allen robinson,allen robinson,2020,allen robinson,2014,100.0,2
allen robinson,allen robinson,2020,allen robinson,2017,100.0,2
jordan reed,jordan reed,2020,jordan reed,2013,100.0,4
jordan reed,jordan reed,2020,jordan reed,2017,100.0,4
jordan reed,jordan reed,2020,jordan reed,2018,100.0,4
jordan reed,jordan reed,2020,jordan reed,2019,100.0,4
mike williams,mike williams,2020,mike williams,2011,100.0,3
mike williams,mike williams,2020,mike williams,2013,100.0,3
mike williams,mike williams,2020,mike williams,2014,100.0,3
sammy watkins,sammy watkins,2020,sammy watkins,2016,100.0,1
travis kelce,travis kelce,2020,travis kelce,2013,100.0,1
aj green,aj green,2020,aj green,2016,100.0,3
aj green,aj green,2020,aj green,2018,100.0,3
aj green,aj green,2020,aj green,2019,100.0,3
odell beckham,odell beckham,2020,odell beckham,2017,100.0,1
mike evans,mike evans,2020,mike evans,2019,100.0,1
hunter henry,hunter henry,2020,hunter henry,2017,100.0,1
michael thomas,michael thomas,2020,michael thomas,2014,100.0,2
michael thomas,michael thomas,2020,michael thomas,2017,100.0,2
will fuller,will fuller,2020,will fuller,2018,100.0,1
rob gronkowski,rob gronkowski,2020,rob gronkowski,2012,100.0,3
rob gronkowski,rob gronkowski,2020,rob gronkowski,2013,100.0,3
rob gronkowski,rob gronkowski,2020,rob gronkowski,2016,100.0,3
sterling shepard,sterling shepard,2021,sterling shepard,2020,100.0,1
deonte harris,deonte harris,2021,deonte harris,2020,100.0,1
allen robinson,allen robinson,2021,allen robinson,2014,100.0,2
allen robinson,allen robinson,2021,allen robinson,2017,100.0,2
tyler lockett,tyler lockett,2021,tyler lockett,2016,100.0,1
cameron brate,cameron brate,2021,cameron brate,2016,100.0,1
adam humphries,adam humphries,2021,adam humphries,2020,100.0,1
deebo samuel,deebo samuel,2021,deebo samuel,2020,100.0,1
jalen reagor,jalen reagor,2021,jalen reagor,2020,100.0,1
braxton berrios,braxton berrios,2021,braxton berrios,2018,100.0,1
cooper kupp,cooper kupp,2021,cooper kupp,2018,100.0,1
olamide zaccheaus,olamide zaccheaus,2021,olamide zaccheaus,2020,100.0,1
