player_season_name,season,ir_name,fuzzy_score
diontae johnson,2019,dontae johnson,96.55172413793103
diontae johnson,2019,diontae johnson,100.0
diontae johnson,2019,dyontae johnson,93.33333333333333
t.y. hilton,2019,ty hilton,90.0
mark andrews,2019,mark andrews,100.0
mark andrews,2019,jake andrews,83.33333333333334
jamison crowder,2019,jamison crowder,100.0
christian kirk,2019,christian kirksey,90.32258064516128
christian kirk,2019,christian kirk davon,82.35294117647058
tyler higbee,2019,tyler higbee,100.0
kendrick bourne,2019,kendrick bourne,100.0
breshad perriman,2019,breshad perriman,100.0
zach ertz,2019,zach ertz,100.0
evan engram,2019,evan engram,100.0
jonnu smith,2019,jason smith,81.81818181818181
jonnu smith,2019,djoun smith,81.81818181818181
jonnu smith,2019,jonnu smith,100.0
russell gage,2019,russell gage,100.0
t.j. hockenson,2019,tj hockenson,92.3076923076923
demaryius thomas,2019,demaryius thomas,100.0
curtis samuel,2019,curtis samuel,100.0
auden tate,2019,auden tate,100.0
john ross,2019,john ross iii,81.81818181818181
john ross,2019,josh ross,88.88888888888889
jordan akins,2019,jordan evans,83.33333333333334
jordan akins,2019,jordan jenkins,84.61538461538461
jordan akins,2019,jordan davis,83.33333333333334
deebo samuel,2019,deebo samuel,100.0
eric ebron,2019,eric ebron,100.0
damiere byrd,2019,damiere byrd,100.0
anthony miller,2019,anthony miller b --,84.84848484848484
sterling shepard,2019,sterling shepard,100.0
marquez valdes-scantling,2019,marquez valdes-scantling,100.0
julian edelman,2019,julian edelman,100.0
jarvis landry,2019,jarvis landry,100.0
geronimo allison,2019,geronimo allison,100.0
kyle rudolph,2019,kyle rudolph,100.0
dallas goedert,2019,dallas goedert,100.0
jimmy graham,2019,jimmy graham,100.0
michael gallup,2019,michael gallup,100.0
julio jones,2019,julio jones,100.0
will fuller,2019,will fuller v,91.66666666666666
willie snead,2019,willie snead iv,88.88888888888889
odell beckham,2019,odell beckham jr,89.65517241379311
adam humphries,2019,dj humphries,84.61538461538461
adam humphries,2019,adam humphries,100.0
hunter henry,2019,hunter henry,100.0
tyler boyd,2019,tyler boyd,100.0
josh gordon,2019,josh gordy,85.71428571428572
josh gordon,2019,josh gordon,100.0
cameron brate,2019,cameron bradfield,80.0
cameron brate,2019,cameron brate,100.0
cameron brate,2019,cameron batson,81.4814814814815
jack doyle,2019,jack doyle,100.0
keenan allen,2019,keenan allen,100.0
travis kelce,2019,travis kelce,100.0
tyler eifert,2019,tyler eifert,100.0
irv smith,2019,irv smith jr,85.71428571428572
darren waller,2019,darren waller,100.0
demarcus robinson,2019,denard robinson,81.25
demarcus robinson,2019,darius robinson,87.5
sammy watkins,2019,sammy watkins,100.0
mike evans,2019,mike evans lynn,80.0
phillip dorsett,2019,phillip dorsett ii,90.9090909090909
daesean hamilton,2019,davon hamilton,80.0
mike williams,2019,mario williams,81.4814814814815
mike williams,2019,madieu williams,85.71428571428572
mike williams,2019,mike williams troy,83.87096774193549
mike williams,2019,eddie williams,81.4814814814815
mike williams,2019,mike willie,83.33333333333334
mike williams,2019,kyren williams,81.4814814814815
mike williams,2019,damien williams,85.71428571428572
mike williams,2019,mike williams k,92.85714285714286
greg olsen,2019,greg toler,80.0
greg olsen,2019,greg olsen,100.0
greg olsen,2019,greg senat,80.0
vance mcdonald,2019,vance mcdonald,100.0
mohamed sanu,2019,mohamed sanu,100.0
michael thomas,2019,michael thomas b --,84.84848484848484
michael thomas,2019,michael ola,80.0
michael thomas,2019,michael thomas b --,84.84848484848484
michael thomas,2019,michael ola,80.0
michael thomas,2019,michael thomas b --,84.84848484848484
michael thomas,2019,michael ola,80.0
michael thomas,2019,michael thomas b --,84.84848484848484
michael thomas,2019,michael ola,80.0
george kittle,2019,george kittle,100.0
emmanuel sanders,2019,daniel sanders,80.0
emmanuel sanders,2019,emmanuel sanders,100.0
courtland sutton,2019,courtland sutton,100.0
allen robinson,2019,lee robinson,84.61538461538461
allen robinson,2019,laurent robinson,80.0
allen robinson,2019,allen robinson ii,90.32258064516128
allen robinson,2019,alton robinson,85.71428571428572
devante parker,2019,devante parker,100.0
o.j. howard,2019,oj howard,90.0
deandre hopkins,2019,deandre thompkins,93.75
deandre hopkins,2019,deandre hopkins,100.0
chris conley,2019,chris cooley,91.66666666666666
chris conley,2019,chris conte,86.95652173913044
chris conley,2019,chris conley,100.0
chris conley,2019,chris wormley,80.0
tyrell williams,2019,tourek williams,80.0
tyrell williams,2019,trent williams,82.75862068965517
tyrell williams,2019,terrell williams jr,82.35294117647058
tyrell williams,2019,trey williams,85.71428571428572
tyrell williams,2019,trevor williams,80.0
tyrell williams,2019,darrel williams,80.0
tyrell williams,2019,tyrell williams,100.0
tyrell williams,2019,trill williams,89.65517241379311
tyrell williams,2019,kyren williams,82.75862068965517
a.j. brown,2019,aj brown,88.88888888888889
jared cook,2019,jared cook,100.0
juju smith-schuster,2019,juju smith-schuster,100.0
darius slayton,2019,adarius glanton,82.75862068965517
alshon jeffery,2019,alshon jeffery,100.0
john brown,2019,jamon brown,85.71428571428572
john brown,2019,jaron brown,85.71428571428572
john brown,2019,noah brown,80.0
john brown,2019,jayon brown,85.71428571428572
john brown,2019,john brown b --,80.0
john brown,2019,jordan brown,81.81818181818181
stefon diggs,2019,trevon diggs,83.33333333333334
stefon diggs,2019,stefon diggs,100.0
preston williams,2019,jason williams,80.0
preston williams,2019,trent williams,80.0
preston williams,2019,preston williams,100.0
preston williams,2019,jameson williams,81.25
preston williams,2019,kyren williams,80.0
dawson knox,2019,dawson knox,100.0
robby anderson,2019,rodney anderson,82.75862068965517
robby anderson,2019,troy andersen,81.4814814814815
darnell mooney,2020,darnell mooney,100.0
marquise brown,2020,marquise goodwin,80.0
marquise brown,2020,marquise brown,100.0
braxton berrios,2020,braxton berrios,100.0
laviska shenault,2020,laviska shenault jr,91.42857142857143
cam sims,2020,cam sims,100.0
deebo samuel,2020,deebo samuel,100.0
curtis samuel,2020,curtis samuel,100.0
corey davis,2020,cody davis,85.71428571428572
david moore,2020,devin moore,81.81818181818181
david moore,2020,dan moore,80.0
david moore,2020,david moore b --,81.4814814814815
brandin cooks,2020,brandin cooks,100.0
brandin cooks,2020,brandon brooks,81.4814814814815
brandin cooks,2020,brandin echols,81.4814814814815
tre'quan smith,2020,trequan smith,96.2962962962963
danny amendola,2020,danny amendola,100.0
marvin jones,2020,marvin jones jr,88.88888888888889
hunter renfrow,2020,hunter renfrow,100.0
demarcus robinson,2020,denard robinson,81.25
demarcus robinson,2020,darius robinson,87.5
jakeem grant,2020,jakeem grant,100.0
emmanuel sanders,2020,daniel sanders,80.0
emmanuel sanders,2020,emmanuel sanders,100.0
hayden hurst,2020,hayden hurst,100.0
jalen reagor,2020,jalen reagor,100.0
eric ebron,2020,eric ebron,100.0
sterling shepard,2020,sterling shepard,100.0
randall cobb,2020,randall cobb,100.0
chris godwin,2020,chris godwin,100.0
robby anderson,2020,rodney anderson,82.75862068965517
robby anderson,2020,troy andersen,81.4814814814815
dallas goedert,2020,dallas goedert,100.0
cooper kupp,2020,cooper kupp,100.0
mecole hardman,2020,mecole hardman,100.0
deandre hopkins,2020,deandre thompkins,93.75
deandre hopkins,2020,deandre hopkins,100.0
jared cook,2020,jared cook,100.0
tyler eifert,2020,tyler eifert,100.0
michael pittman,2020,michael pittman jr,90.9090909090909
jarvis landry,2020,jarvis landry,100.0
dan arnold,2020,dan arnold,100.0
allen lazard,2020,allen lazard,100.0
trey burton,2020,trey burton,100.0
trey burton,2020,tre brown,80.0
kendrick bourne,2020,kendrick bourne,100.0
tyler lockett,2020,tyler lockett,100.0
tyler lockett,2020,tyler ott,81.81818181818181
christian kirk,2020,christian kirksey,90.32258064516128
christian kirk,2020,christian kirk davon,82.35294117647058
jalen guyton,2020,jalen guyton,100.0
evan engram,2020,evan engram,100.0
scott miller,2020,zach miller scott,82.75862068965517
scott miller,2020,scotty miller,96.0
julio jones,2020,julio jones,100.0
willie snead,2020,willie snead iv,88.88888888888889
adam thielen,2020,adam thielen,100.0
robert tonyan,2020,robert tonyan,100.0
k.j. hamler,2020,kj hamler,90.0
juju smith-schuster,2020,juju smith-schuster,100.0
chris herndon,2020,chris horton,80.0
chris herndon,2020,chris herndon,100.0
daesean hamilton,2020,davon hamilton,80.0
calvin ridley,2020,calvin ridley,100.0
jamison crowder,2020,jamison crowder,100.0
n'keal harry,2020,nkeal harry,95.65217391304348
breshad perriman,2020,breshad perriman,100.0
tyler boyd,2020,tyler boyd,100.0
ceedee lamb,2020,ceedee lamb,100.0
zach ertz,2020,zach ertz,100.0
drew sample,2020,drew sample,100.0
greg ward,2020,greg ward,100.0
damiere byrd,2020,damiere byrd,100.0
justin jefferson,2020,tony jefferson,80.0
justin jefferson,2020,justin jefferson,100.0
darren waller,2020,darren waller,100.0
logan thomas,2020,logan thomas,100.0
logan thomas,2020,jaylon thomas,80.0
jimmy graham,2020,jimmy graham,100.0
keenan allen,2020,keenan allen,100.0
jonnu smith,2020,jason smith,81.81818181818181
jonnu smith,2020,djoun smith,81.81818181818181
jonnu smith,2020,jonnu smith,100.0
chase claypool,2020,chase claypool,100.0
tim patrick,2020,tim patrick,100.0
t.j. hockenson,2020,tj hockenson,92.3076923076923
chris conley,2020,chris cooley,91.66666666666666
chris conley,2020,chris conte,86.95652173913044
chris conley,2020,chris conley,100.0
chris conley,2020,chris wormley,80.0
james washington,2020,jameis winston,80.0
james washington,2020,james washington edward,82.05128205128204
george kittle,2020,george kittle,100.0
mark andrews,2020,mark andrews,100.0
mark andrews,2020,jake andrews,83.33333333333334
tyler higbee,2020,tyler higbee,100.0
d.j. chark,2020,dj chark,88.88888888888889
isaiah ford,2020,isaiah ford,100.0
allen robinson,2020,lee robinson,84.61538461538461
allen robinson,2020,laurent robinson,80.0
allen robinson,2020,allen robinson ii,90.32258064516128
allen robinson,2020,alton robinson,85.71428571428572
michael gallup,2020,michael gallup,100.0
brandon aiyuk,2020,brandon bair,80.0
brandon aiyuk,2020,brandon aiyuk,100.0
jordan reed,2020,jordan reed,100.0
jordan reed,2020,reggie jordan,83.33333333333334
jordan reed,2020,jordan rigsbee,80.0
marquez valdes-scantling,2020,marquez valdes-scantling,100.0
anthony miller,2020,anthony miller b --,84.84848484848484
mike williams,2020,mario williams,81.4814814814815
mike williams,2020,madieu williams,85.71428571428572
mike williams,2020,mike williams troy,83.87096774193549
mike williams,2020,eddie williams,81.4814814814815
mike williams,2020,mike willie,83.33333333333334
mike williams,2020,kyren williams,81.4814814814815
mike williams,2020,damien williams,85.71428571428572
mike williams,2020,mike williams k,92.85714285714286
russell gage,2020,russell gage,100.0
sammy watkins,2020,sammy watkins,100.0
stefon diggs,2020,trevon diggs,83.33333333333334
stefon diggs,2020,stefon diggs,100.0
a.j. brown,2020,aj brown,88.88888888888889
diontae johnson,2020,dontae johnson,96.55172413793103
diontae johnson,2020,diontae johnson,100.0
diontae johnson,2020,dyontae johnson,93.33333333333333
darius slayton,2020,adarius glanton,82.75862068965517
travis kelce,2020,travis kelce,100.0
josh reynolds,2020,josh reynolds,100.0
jordan akins,2020,jordan evans,83.33333333333334
jordan akins,2020,jordan jenkins,84.61538461538461
jordan akins,2020,jordan davis,83.33333333333334
odell beckham,2020,odell beckham jr,89.65517241379311
mike evans,2020,mike evans lynn,80.0
t.y. hilton,2020,ty hilton,90.0
hunter henry,2020,hunter henry,100.0
michael thomas,2020,michael thomas b --,84.84848484848484
michael thomas,2020,michael ola,80.0
michael thomas,2020,michael thomas b --,84.84848484848484
michael thomas,2020,michael ola,80.0
michael thomas,2020,michael thomas b --,84.84848484848484
michael thomas,2020,michael ola,80.0
michael thomas,2020,michael thomas b --,84.84848484848484
michael thomas,2020,michael ola,80.0
jerry jeudy,2020,jerry jeudy,100.0
will fuller,2020,will fuller v,91.66666666666666
dawson knox,2020,dawson knox,100.0
rob gronkowski,2020,rob gronkowski,100.0
denzel mims,2020,denzel mims,100.0
devante parker,2020,devante parker,100.0
john brown,2020,jamon brown,85.71428571428572
john brown,2020,jaron brown,85.71428571428572
john brown,2020,noah brown,80.0
john brown,2020,jayon brown,85.71428571428572
john brown,2020,john brown b --,80.0
john brown,2020,jordan brown,81.81818181818181
irv smith,2020,irv smith jr,85.71428571428572
rondale moore,2021,rondale moore,100.0
devin duvernay,2021,devin duvernay,100.0
sterling shepard,2021,sterling shepard,100.0
marquise brown,2021,marquise goodwin,80.0
marquise brown,2021,marquise brown,100.0
deonte harris,2021,davontae harris,85.71428571428572
deonte harris,2021,devante harris,88.88888888888889
