Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted
2011,Steelers,,rashard mendenhall,placed on ir with torn acl in right knee,,,,1/3/2012,,rashard mendenhall
2011,Steelers,,chris carter darnell,placed on ir with hamstring injury,,,,1/4/2012,,chris carter darnell
2011,Broncos,,spencer larsen,placed on ir with knee injury,,,,1/10/2012,,spencer larsen
2012,Giants,,brian witherspoon,placed on ir,,,,5/29/2012,,brian witherspoon
2012,Patriots,,brad herman,placed on ir with achilles tendon injury,,,,6/11/2012,,brad herman
2012,Chargers,,nick polk,placed on ir with undisclosed injury,,,,6/12/2012,,nick polk
2012,Ravens,,mike mcadoo,placed on ir with achilles tendon injury,,,,6/12/2012,,mike mcadoo
2012,Chiefs,,martin rucker,placed on ir with torn acl in right knee,,,,6/13/2012,,martin rucker
2012,Saints,,greg romeus,placed on ir with left knee injury,,,,6/25/2012,,greg romeus
2012,Redskins,,chase minnifield,placed on ir with right knee injury,,,,7/25/2012,,chase minnifield
2012,Cardinals,,blake dechristopher,placed on ir with back injury,,,,7/25/2012,,blake dechristopher
2012,Jaguars,,reggie corner,placed on ir with knee injury,,,,7/30/2012,,reggie corner
2012,Chiefs,,kyle mccarthy,placed on ir with knee injury,,,,7/31/2012,,kyle mccarthy
2012,Jets,,royce adams,placed on ir,,,,7/31/2012,,royce adams
2012,Vikings,,nick taylor,placed on ir,,,,7/31/2012,,nick taylor
2012,Cardinals,,ryan bartholomew,placed on ir with knee injury,,,,8/2/2012,,ryan bartholomew
2012,Colts,,aj edds,placed on ir with torn acl in left knee,,,,8/2/2012,,aj edds
2012,Eagles,,ronald johnson,placed on ir with left ankle injury,,,,8/2/2012,,ronald johnson
2012,Patriots,,jamey richard,placed on ir with concussion,,,,8/2/2012,,jamey richard
2012,Lions,,michael cosgrove,placed on ir with undisclosed injury,,,,8/2/2012,,michael cosgrove
2012,Bills,,chris douglas b,placed on ir,,,,8/3/2012,,chris douglas b
2012,Broncos,,dandre goodwin,placed on ir with ankle injury,,,,8/3/2012,,dandre goodwin
2012,Colts,,ben ijalana,placed on ir with knee injury,,,,8/3/2012,,ben ijalana
2012,Saints,,chris givens b 1989-12-06,placed on ir with undisclosed injury,,,,8/3/2012,,chris givens b --
2012,Bengals,,shaun prater,placed on ir with knee injury,,,,8/4/2012,,shaun prater
2012,Colts,,aj edds,placed on ir,,,,8/4/2012,,aj edds
2012,Steelers,,terry carter b,placed on ir with undisclosed injury,,,,8/4/2012,,terry carter b
2012,Titans,,eugene amano,placed on ir with triceps injury,,,,8/4/2012,,eugene amano
2012,Eagles,,ron johnson,placed on ir,,,,8/5/2012,,ron johnson
2012,Lions,,ronnie sneed,placed on ir with undisclosed injury,,,,8/5/2012,,ronnie sneed
2012,Broncos,,mario fannin,placed on ir with knee injury,,,,8/7/2012,,mario fannin
2012,Saints,,scott winnewisser,placed on ir with undisclosed injury,,,,8/7/2012,,scott winnewisser
2012,Vikings,,greg childs,placed on ir with knee injury,,,,8/7/2012,,greg childs
2012,Packers,,mike mccabe b,placed on ir with hip injury,,,,8/9/2012,,mike mccabe b
2012,Texans,,keyaron fox,placed on ir with knee injury,,,,8/9/2012,,keyaron fox
2012,Chargers,,patrick doyle,placed on ir with undisclosed injury,,,,8/10/2012,,patrick doyle
2012,Falcons,,bradie ewing,placed on ir with torn acl in right knee,,,,8/11/2012,,bradie ewing
2012,Panthers,,lee ziemba,placed on ir,,,,8/11/2012,,lee ziemba
2012,Titans,,alex watkins,placed on ir with undisclosed injury,,,,8/11/2012,,alex watkins
2012,Falcons,,adam nissley,placed on ir with undisclosed injury,,,,8/13/2012,,adam nissley
2012,Saints,,aj davis b,placed on ir with undisclosed injury,,,,8/13/2012,,aj davis b
2012,Saints,,andrew tiller,placed on ir with triceps injury,,,,8/13/2012,,andrew tiller
2012,49ers,,garrett chisolm,placed on ir with undisclosed injury,,,,8/14/2012,,garrett chisolm
2012,Browns,,eddie williams,placed on ir with undisclosed injury,,,,8/14/2012,,eddie williams
2012,Jaguars,,taylor price,placed on ir with foot injury,,,,8/14/2012,,taylor price
2012,Packers,,eric lair,placed on ir with knee injury,,,,8/14/2012,,eric lair
2012,Patriots,,dane fletcher,placed on ir with torn acl in knee,,,,8/14/2012,,dane fletcher
2012,Redskins,,darius hanks,placed on ir with undisclosed injury,,,,8/14/2012,,darius hanks
2012,Redskins,,chris neild,placed on ir with torn acl in left knee (date approximate),,,,8/15/2012,,chris neild
2012,Steelers,,david johnson b 1987-08-26,placed on ir with torn acl in right knee,,,,8/15/2012,,david johnson b --
2012,Steelers,,john clay b 1988-01-04,placed on ir with torn quadricep,,,,8/15/2012,,john clay b --
2012,Colts,,anthony jackson  buddy jackson,placed on ir,,,,8/16/2012,,anthony jackson buddy jackson
2012,Colts,,scott lutrus,placed on ir with torn acl in knee,,,,8/16/2012,,scott lutrus
2012,Giants,,martin parker,placed on ir,,,,8/16/2012,,martin parker
2012,Giants,,shaun rogers,placed on ir with blood clot in leg,,,,8/16/2012,,shaun rogers
2012,Lions,,drew coleman,placed on ir with concussion,,,,8/16/2012,,drew coleman
2012,Raiders,,duke calhoun,placed on ir with right knee injury,,,,8/16/2012,,duke calhoun
2012,Giants,,justin trattou,placed on ir with ankle injury,,,,8/17/2012,,justin trattou
2012,Raiders,,mario kurn,placed on ir with right knee injury,,,,8/17/2012,,mario kurn
2012,Saints,,chris chamberlain,placed on ir with torn acl in left knee,,,,8/19/2012,,chris chamberlain
2012,Panthers,,nate ness,placed on ir with concussion,,,,8/20/2012,,nate ness
2012,Titans,,gerald mcrath,placed on ir with torn patella tendon in left knee,,,,8/20/2012,,gerald mcrath
2012,Lions,,don carey,placed on ir with undisclosed injury,,,,8/21/2012,,don carey
2012,Lions,,nathan overbay,placed on ir with undisclosed injury,,,,8/21/2012,,nathan overbay
2012,Patriots,,kyle hix,placed on ir with shoulder injury,,,,8/21/2012,,kyle hix
2012,Saints,,fenuki tupou,placed on ir with triceps injury,,,,8/21/2012,,fenuki tupou
2012,Seahawks,,dexter davis alexander,placed on ir with hip injury,,,,8/21/2012,,dexter davis alexander
2012,Bears,,demario pressley,placed on ir,,,,8/23/2012,,demario pressley
2012,Bengals,,travelle wharton,placed on ir with torn acl in right knee,,,,8/23/2012,,travelle wharton
2012,Bills,,joshua nesbitt  josh nesbitt,placed on ir,,,,8/23/2012,,joshua nesbitt josh nesbitt
2012,Bills,,torell troup,placed on ir with spinal fusion surgery,,,,8/23/2012,,torell troup
2012,Broncos,,joshua moore,placed on ir with undisclosed injury,,,,8/23/2012,,joshua moore
2012,Bengals,,brandon ghee,placed on ir with wrist injury,,,,8/24/2012,,brandon ghee
2012,Bengals,,robert sands,placed on ir with chest injury,,,,8/24/2012,,robert sands
2012,Bengals,,shaun prater,placed on ir with knee injury,,,,8/24/2012,,shaun prater
2012,Bengals,,taveon rogers,placed on ir with shoulder injury,,,,8/24/2012,,taveon rogers
2012,Bills,,cris hill  chris hill,placed on ir,,,,8/24/2012,,cris hill chris hill
2012,Cardinals,,levi brown james,placed on ir with triceps injury,,,,8/24/2012,,levi brown james
2012,Cowboys,,isaiah greenhouse,placed on ir with undisclosed injury,,,,8/24/2012,,isaiah greenhouse
2012,Dolphins,,kelcie mccray,placed on ir with foot injury,,,,8/25/2012,,kelcie mccray
2012,Bears,,brandon hardin,placed on ir with neck injury,,,,8/27/2012,,brandon hardin
2012,Broncos,,jason hunter,placed on ir with triceps injury,,,,8/27/2012,,jason hunter
2012,Broncos,,tyler grisham,placed on ir with knee injury,,,,8/27/2012,,tyler grisham
2012,Browns,,chris gocong,placed on ir with torn right achilles tendon,,,,8/27/2012,,chris gocong
2012,Browns,,emmanuel acho,placed on ir with undisclosed injury,,,,8/27/2012,,emmanuel acho
2012,Buccaneers,,davin joseph,placed on ir with torn patellar tendon in right knee,,,,8/27/2012,,davin joseph
2012,Cardinals,,jared crank,placed on ir with neck injury,,,,8/27/2012,,jared crank
2012,Colts,,brandon mckinney,placed on ir with knee injury,,,,8/27/2012,,brandon mckinney
2012,Colts,,george foster,placed on ir with undisclosed injury,,,,8/27/2012,,george foster
2012,Colts,,griff whalen,placed on ir with foot injury,,,,8/27/2012,,griff whalen
2012,Cowboys,,caleb mcsurdy,placed on ir with achilles tendon injury,,,,8/27/2012,,caleb mcsurdy
2012,Eagles,,mike gibson,placed on ir with hip injury,,,,8/27/2012,,mike gibson
2012,Falcons,,will svitek,placed on ir with upper right arm injury,,,,8/27/2012,,will svitek
2012,Giants,,brandon mosley,placed on ir with ankle injury,,,,8/27/2012,,brandon mosley
2012,Jaguars,,drew nowak,placed on ir with foot injury,,,,8/27/2012,,drew nowak
2012,Jaguars,,jason spitz,placed on ir with ankle injury,,,,8/27/2012,,jason spitz
2012,Jaguars,,john estes,placed on ir with knee injury,,,,8/27/2012,,john estes
2012,Jaguars,,matt veldman,placed on ir with sprained mcl in knee,,,,8/27/2012,,matt veldman
2012,Lions,,bill nagy,placed on ir with left ankle injury,,,,8/27/2012,,bill nagy
2012,Lions,,jonathan scott,placed on ir with right knee injury,,,,8/27/2012,,jonathan scott
2012,Packers,,desmond bishop,placed on ir with hamstring injury,,,,8/27/2012,,desmond bishop
2012,Panthers,,brandon hogan,placed on ir with knee injury,,,,8/27/2012,,brandon hogan
2012,Patriots,,josh barrett,placed on ir with undisclosed injury,,,,8/27/2012,,josh barrett
2012,Patriots,,spencer larsen,placed on ir with undisclosed injury,,,,8/27/2012,,spencer larsen
2012,Patriots,,will allen d,placed on ir with undisclosed injury,,,,8/27/2012,,will allen d
2012,Rams,,trevor laws,placed on ir with knee injury,,,,8/27/2012,,trevor laws
2012,Ravens,,darryl blackstock,"placed on ir with ankle, groin injuries",,,,8/27/2012,,darryl blackstock
2012,Ravens,,emanuel cook,placed on ir with fractured right leg,,,,8/27/2012,,emanuel cook
2012,Ravens,,ryan mcbean,placed on ir with fractured left ankle,,,,8/27/2012,,ryan mcbean
2012,Ravens,,stevie baggs,placed on ir with leg injury,,,,8/27/2012,,stevie baggs
2012,Seahawks,,roy lewis a,placed on ir,,,,8/27/2012,,roy lewis a
2012,Texans,,randy bullock,placed on ir with groin injury,,,,8/27/2012,,randy bullock
2012,Titans,,marc mariani,placed on ir with fractured left leg,,,,8/27/2012,,marc mariani
2012,Vikings,,kamar jorden,placed on ir,,,,8/27/2012,,kamar jorden
2012,Giants,,julian talley,placed on ir with ankle injury,,,,8/27/2012,,julian talley
2012,49ers,,joe hastings,placed on ir with undisclosed injury,,,,8/28/2012,,joe hastings
2012,49ers,,kourtnei brown,placed on ir with hamstring injury,,,,8/28/2012,,kourtnei brown
2012,Bears,,,placed on ir,,,,8/28/2012,,
2012,Bears,,nick pieschel,placed on ir,,,,8/28/2012,,nick pieschel
2012,Browns,,antwuan reed,placed on ir with undisclosed injury,,,,8/28/2012,,antwuan reed
2012,Browns,,auston english,placed on ir with undisclosed injury,,,,8/28/2012,,auston english
2012,Browns,,marcus benard,placed on ir with dislocated elbow,,,,8/28/2012,,marcus benard
2012,Cowboys,,donavon kemp,placed on ir with torn acl in left knee,,,,8/28/2012,,donavon kemp
2012,Eagles,,brian hernandez,placed on ir,,,,8/28/2012,,brian hernandez
2012,Eagles,,tom nelson,placed on ir,,,,8/28/2012,,tom nelson
2012,Jaguars,,brock bolen,placed on ir with knee injury,,,,8/28/2012,,brock bolen
2012,Jets,,josh baker,placed on ir with torn acl in right knee,,,,8/28/2012,,josh baker
2012,Lions,,slade norris,placed on ir with undisclosed injury,,,,8/28/2012,,slade norris
2012,Packers,,demarco cosby,placed on ir with hamstring injury,,,,8/28/2012,,demarco cosby
2012,Packers,,duane bennett  duane bennett,placed on ir with knee injury,,,,8/28/2012,,duane bennett
2012,Packers,,johnny jones iii,placed on ir with knee injury,,,,8/28/2012,,johnny jones iii
2012,Packers,,ray dominguez,placed on ir with undisclosed injury,,,,8/28/2012,,ray dominguez
2012,Packers,,shaky smithson,placed on ir with undisclosed injury,,,,8/28/2012,,shaky smithson
2012,Patriots,,ross ventrone,placed on ir with undisclosed injury,,,,8/28/2012,,ross ventrone
2012,Raiders,,ed wang,placed on ir with shoulder injury,,,,8/28/2012,,ed wang
2012,Raiders,,rashawn jackson,placed on ir with hip injury,,,,8/28/2012,,rashawn jackson
2012,Rams,,danario alexander,placed on ir,,,,8/28/2012,,danario alexander
2012,Redskins,,lance lewis b 1988-11-01,placed on ir with groin injury,,,,8/28/2012,,lance lewis b --
2012,Seahawks,,cameron morrah,placed on ir,,,,8/28/2012,,cameron morrah
2012,Seahawks,,jameson konz,placed on ir with undisclosed injury,,,,8/28/2012,,jameson konz
2012,Seahawks,,lazarius levingston  pep levingston,placed on ir,,,,8/28/2012,,lazarius levingston pep levingston
2012,Texans,,greg williams b 1988-12-06,placed on ir,,,,8/28/2012,,greg williams b --
2012,Texans,,rashon harris  sunny harris,placed on ir with triceps injury,,,,8/28/2012,,rashon harris sunny harris
2012,Colts,,jarred fayson,placed on ir,,,,8/29/2012,,jarred fayson
2012,Raiders,,zach hurd,placed on ir with head injury,,,,8/29/2012,,zach hurd
2012,,,thomas clayton,placed on ir,,,,8/31/2012,,thomas clayton
2012,Bengals,,tony dye,placed on ir with ankle injury,,,,8/31/2012,,tony dye
2012,Bills,,zebrie sanders,placed on ir with undisclosed injury,,,,8/31/2012,,zebrie sanders
2012,Broncos,,jeremy beal,placed on ir with left knee injury,,,,8/31/2012,,jeremy beal
2012,Cardinals,,javarris james,placed on ir with knee injury,,,,8/31/2012,,javarris james
2012,Cardinals,,richard bartel  rich bartel,placed on ir with shoulder injury,,,,8/31/2012,,richard bartel rich bartel
2012,Chargers,,sean cattouse,placed on ir with undisclosed injury,,,,8/31/2012,,sean cattouse
2012,Chiefs,,alex tanney,placed on ir with undisclosed injury,,,,8/31/2012,,alex tanney
2012,Chiefs,,dequan menzie,placed on ir with undisclosed injury,,,,8/31/2012,,dequan menzie
2012,Colts,,jabin sambrano,placed on ir with undisclosed injury,,,,8/31/2012,,jabin sambrano
2012,Colts,,korey lindsey,placed on ir with undisclosed injury,,,,8/31/2012,,korey lindsey
2012,Falcons,,shann schillinger,placed on ir with fractured ankle,,,,8/31/2012,,shann schillinger
2012,Giants,,shaun rogers,placed on ir with blood clot in leg,,,,8/31/2012,,shaun rogers
2012,Giants,,terrell thomas,placed on ir with right knee injury,,,,8/31/2012,,terrell thomas
2012,Jaguars,,will rackley,placed on ir with ankle injury,,,,8/31/2012,,will rackley
2012,Packers,,vic sooto,placed on ir with ankle injury,,,,8/31/2012,,vic sooto
2012,Patriots,,jeff demps,placed on ir with leg injury,,,,8/31/2012,,jeff demps
2012,Raiders,,brandon underwood,placed on ir with hip/groin injury,,,,8/31/2012,,brandon underwood
2012,Raiders,,marquette king,placed on ir with toe injury,,,,8/31/2012,,marquette king
2012,Raiders,,tory humphrey,placed on ir with hamstring injury,,,,8/31/2012,,tory humphrey
2012,Ravens,,damien berry,placed on ir with neck/shoulder injury,,,,8/31/2012,,damien berry
2012,Ravens,,justin boren,placed on ir with foot injury,,,,8/31/2012,,justin boren
2012,Ravens,,matt balasavage,placed on ir with ankle injury,,,,8/31/2012,,matt balasavage
2012,Ravens,,ricky brown gerald,placed on ir with head injury,,,,8/31/2012,,ricky brown gerald
2012,Ravens,,tommy streeter,placed on ir with foot injury,,,,8/31/2012,,tommy streeter
2012,Saints,,joe banyard,placed on ir with undisclosed injury,,,,8/31/2012,,joe banyard
2012,Saints,,jose gumbs,placed on ir with undisclosed injury,,,,8/31/2012,,jose gumbs
2012,Saints,,marquis johnson,placed on ir with undisclosed injury,,,,8/31/2012,,marquis johnson
2012,Saints,,nick toon,placed on ir with undisclosed injury,,,,8/31/2012,,nick toon
2012,Seahawks,,matt mccoy garrett,placed on ir with knee injury,,,,8/31/2012,,matt mccoy garrett
2012,Steelers,,jeremy kapinos,placed on ir,,,,8/31/2012,,jeremy kapinos
2012,Steelers,,sean spence,placed on ir with torn acl in left knee,,,,8/31/2012,,sean spence
2012,Texans,,rashad butler,placed on ir with triceps injury,,,,8/31/2012,,rashad butler
2012,Titans,,dave ball,placed on ir with concussion,,,,8/31/2012,,dave ball
2012,Titans,,kevin malast,placed on ir with undisclosed injury,,,,8/31/2012,,kevin malast
2012,Titans,,leger douzable,placed on ir with shoulder injury,,,,8/31/2012,,leger douzable
2012,Titans,,ryan durand,placed on ir with undisclosed injury,,,,8/31/2012,,ryan durand
2012,Titans,,terrence wheatley,placed on ir with knee injury,,,,8/31/2012,,terrence wheatley
2012,Vikings,,demarcus love,placed on ir with pectoral injuries,,,,8/31/2012,,demarcus love
2012,Ravens,,bruce figgins,placed on ir with shoulder injury,,,,8/31/2012,,bruce figgins
2012,Bears,,dom decicco,placed on ir,,,,9/1/2012,,dom decicco
2012,Buccaneers,,desmond wynn,placed on ir with undisclosed injury,,,,9/1/2012,,desmond wynn
2012,Cardinals,,brandon williams b 1988-06-21,placed on ir,,,,9/1/2012,,brandon williams b --
2012,Cardinals,,stephen williams jacob,placed on ir,,,,9/1/2012,,stephen williams jacob
2012,Chiefs,,mikail baker,placed on ir,,,,9/1/2012,,mikail baker
2012,Colts,,brandon king marico,placed on ir with undisclosed injury,,,,9/1/2012,,brandon king marico
2012,Colts,,deji karim,placed on ir with undisclosed injury,,,,9/1/2012,,deji karim
2012,Colts,,james aiono,placed on ir with undisclosed injury,,,,9/1/2012,,james aiono
2012,Colts,,mike newton,placed on ir with undisclosed injury,,,,9/1/2012,,mike newton
2012,Colts,,tim fugger,placed on ir with undisclosed injury,,,,9/1/2012,,tim fugger
2012,Dolphins,,jarrell root,placed on ir with leg injury,,,,9/1/2012,,jarrell root
2012,Falcons,,kerry meier,placed on ir,,,,9/1/2012,,kerry meier
2012,Giants,,bruce johnson b 1987-02-18,placed on ir,,,,9/1/2012,,bruce johnson b --
2012,Jaguars,,odrick ray,placed on ir with undisclosed injury,,,,9/1/2012,,odrick ray
2012,Lions,,austin wells,placed on ir with undisclosed injury,,,,9/1/2012,,austin wells
2012,Lions,,reshard langford,placed on ir,,,,9/1/2012,,reshard langford
2012,Panthers,,darius butler,placed on ir,,,,9/1/2012,,darius butler
2012,Panthers,,lee ziemba,placed on ir with knee injury,,,,9/1/2012,,lee ziemba
2012,Panthers,,tauren poole,placed on ir with ribs injury,,,,9/1/2012,,tauren poole
2012,Redskins,,dorson boyce,placed on ir with undisclosed injury,,,,9/1/2012,,dorson boyce
2012,Redskins,,tristan davis,placed on ir with undisclosed injury,,,,9/1/2012,,tristan davis
2012,Seahawks,,cooper helfet,placed on ir,,,,9/1/2012,,cooper helfet
2012,Seahawks,,vai taua,placed on ir with undisclosed injury,,,,9/1/2012,,vai taua
2012,Texans,,jerrell jackson,placed on ir with undisclosed injury,,,,9/1/2012,,jerrell jackson
2012,Browns,,scott paxson,placed on ir,,,,9/2/2012,,scott paxson
2012,Jaguars,,zach miller scott,placed on ir with calf injury,,,,9/2/2012,,zach miller scott
2012,Raiders,,jamie cumbie,placed on ir with foot injury,,,,9/2/2012,,jamie cumbie
2012,49ers,,parys haralson,placed on ir with arm injury,,,,9/3/2012,,parys haralson
2012,Cardinals,,jeremy bridges,placed on ir with thumb injury,,,,9/3/2012,,jeremy bridges
2012,Bengals,,kyle cook,placed on ir with foot injury,,,,9/4/2012,,kyle cook
2012,Bills,,ron brooks a,placed on ir with foot injury,,,,9/4/2012,,ron brooks a
2012,Chargers,,vincent brown jr,placed on ir with ankle injury,,,,9/4/2012,,vincent brown jr
2012,Dolphins,,artis hicks,placed on ir with neck injury,,,,9/4/2012,,artis hicks
2012,Jaguars,,brett brackett,placed on ir with knee injury,,,,9/4/2012,,brett brackett
2012,Patriots,,visanthe shiancoe,placed on ir with hamstring injury,,,,9/5/2012,,visanthe shiancoe
2012,Falcons,,tim toone,placed on ir,,,,9/7/2012,,tim toone
2012,Steelers,,david decastro,placed on ir with surgery on knee,,,,9/7/2012,,david decastro
2012,Bears,,lorenzo booker,placed on ir with head injury,,,,9/8/2012,,lorenzo booker
2012,Saints,,marcel jones,placed on ir with left knee injury,,,,9/8/2012,,marcel jones
2012,Redskins,,jordan bernstine,"placed on ir with torn acl, mcl, pcl in right knee",,,,9/10/2012,,jordan bernstine
2012,Redskins,,jordan morris,placed on ir,,,,9/10/2012,,jordan morris
2012,Bills,,david nelson b,placed on ir with torn acl in right knee,,,,9/11/2012,,david nelson b
2012,Broncos,,ty warren,placed on ir with triceps injury,,,,9/11/2012,,ty warren
2012,Falcons,,brent grimes,placed on ir with torn achilles tendon,,,,9/11/2012,,brent grimes
2012,Redskins,,nick sundberg,placed on ir with arm injury,,,,9/11/2012,,nick sundberg
2012,Rams,,scott wells,placed on ir with left foot injury,,,,9/12/2012,,scott wells
2012,Saints,,adrian arrington,placed on ir with right knee injury,,,,9/12/2012,,adrian arrington
2012,Bengals,,thomas howard arquis,placed on ir with torn acl in knee,,,,9/14/2012,,thomas howard arquis
2012,Raiders,,jacoby ford,placed on ir with foot injury,,,,9/15/2012,,jacoby ford
2012,Raiders,,ronald bartell  ron bartell,placed on ir with shoulder injury,,,,9/15/2012,,ronald bartell ron bartell
2012,Bengals,,jamaal anderson,placed on ir with torn left quadriceps tendon,,,,9/18/2012,,jamaal anderson
2012,Broncos,,philip blake,placed on ir with thumb injury,,,,9/18/2012,,philip blake
2012,Eagles,,jason kelce,"placed on ir with torn acl, mcl in right knee",,,,9/18/2012,,jason kelce
2012,Rams,,rokevious watkins,placed on ir with ankle injury,,,,9/18/2012,,rokevious watkins
2012,Redskins,,adam carriker,placed on ir with torn right quadriceps tendon,,,,9/18/2012,,adam carriker
2012,Redskins,,brian orakpo,placed on ir with torn left pectoral muscle,,,,9/18/2012,,brian orakpo
2012,Lions,,drayton florence,placed on ir with forearm injury,,,,9/19/2012,,drayton florence
2012,Buccaneers,,sammie stroughter,placed on ir with fractured right foot,,,,9/21/2012,,sammie stroughter
2012,Buccaneers,,adrian clayborn,placed on ir with torn ligaments in right knee,,,,9/25/2012,,adrian clayborn
2012,Chiefs,,jacques reeves,placed on ir with hamstring injury,,,,9/25/2012,,jacques reeves
2012,Colts,,austin collie,placed on ir with ruptured patellar tendon in right knee,,,,9/25/2012,,austin collie
2012,Lions,,ben graham,placed on ir with calf injury,,,,9/25/2012,,ben graham
2012,Cardinals,,chris wells  beanie wells,placed on ir with turf toe,,,,9/26/2012,,chris wells beanie wells
2012,Chiefs,,rodney hudson,placed on ir with fractured right leg,,,,9/26/2012,,rodney hudson
2012,Cowboys,,barry church,placed on ir with torn right achilles tendon,,,,9/26/2012,,barry church
2012,Redskins,,crezdon butler,placed on ir with hamstring injury,,,,9/26/2012,,crezdon butler
2012,Redskins,,roy helu jr,placed on ir with achilles tendon injury,,,,9/26/2012,,roy helu jr
2012,Titans,,keyunta dawson,placed on ir with hamstring injury,,,,9/26/2012,,keyunta dawson
2012,Broncos,,quinton carter,placed on ir with knee injury,,,,9/29/2012,,quinton carter
2012,Broncos,,jd walton,placed on ir with left ankle injury,,,,10/1/2012,,jd walton
2012,Jets,,dedrick epps,placed on ir with knee injury,,,,10/2/2012,,dedrick epps
2012,Chiefs,,kevin boss,placed on ir with concussion,,,,10/3/2012,,kevin boss
2012,Dolphins,,mike rivera,placed on ir with groin injury,,,,10/3/2012,,mike rivera
2012,Jets,,santonio holmes,placed on ir with left foot injury,,,,10/3/2012,,santonio holmes
2012,Panthers,,mike pollak,placed on ir with shoulder injury,,,,10/6/2012,,mike pollak
2012,Bengals,,bernard scott,placed on ir with left knee injury,,,,10/8/2012,,bernard scott
2012,Colts,,seth olsen,placed on ir with knee injury,,,,10/8/2012,,seth olsen
2012,Bills,,colin brown,placed on ir with hamstring injury,,,,10/9/2012,,colin brown
2012,Buccaneers,,anthony gaitor,placed on ir with hamstring injury,,,,10/9/2012,,anthony gaitor
2012,Cardinals,,ryan williams a,placed on ir with left shoulder injury,,,,10/9/2012,,ryan williams a
2012,Jets,,josh mauga,placed on ir with torn pectoral muscle,,,,10/10/2012,,josh mauga
2012,Packers,,cedric benson,placed on ir with foot injury,,,,10/10/2012,,cedric benson
2012,Texans,,brian cushing,placed on ir with torn acl in left knee,,,,10/10/2012,,brian cushing
2012,Panthers,,ryan kalil,placed on ir with lisfranc injury in left foot,,,,10/11/2012,,ryan kalil
2012,Browns,,jordan norwood,placed on ir with left foot injury,,,,10/14/2012,,jordan norwood
2012,Jets,,darrelle revis,placed on ir with torn acl in left knee,,,,10/14/2012,,darrelle revis
2012,Packers,,brandon saine,placed on ir with torn acl in knee,,,,10/15/2012,,brandon saine
2012,Ravens,,lardarius webb,placed on ir with torn acl in left knee,,,,10/16/2012,,lardarius webb
2012,Texans,,tim jamison,placed on ir with torn right achilles tendon,,,,10/16/2012,,tim jamison
2012,Packers,,dj smith,placed on ir with torn acl in knee,,,,10/17/2012,,dj smith
2012,Panthers,,kenny onatolu,placed on ir with torn triceps,,,,10/17/2012,,kenny onatolu
2012,Ravens,,ray lewis anthony,placed on ir with triceps injury,,,,10/17/2012,,ray lewis anthony
2012,Giants,,darel scott,placed on ir with knee injury,,,,10/20/2012,,darel scott
2012,Browns,,jason pinkston,placed on ir with blood clot in lungs,,,,10/22/2012,,jason pinkston
2012,Chargers,,nate kaeding,placed on ir with right groin injury,,,,10/22/2012,,nate kaeding
2012,Panthers,,chris gamble,placed on ir with shoulder injury,,,,10/22/2012,,chris gamble
2012,Redskins,,fred davis martin,placed on ir with torn left achilles tendon,,,,10/22/2012,,fred davis martin
2012,Cowboys,,chris jones b 1989-07-21,placed on ir with left knee injury,,,,10/24/2012,,chris jones b --
2012,Cowboys,,sean lee,placed on ir with ligament damage in right big toe,,,,10/24/2012,,sean lee
2012,Lions,,nate burleson,placed on ir with fractured right leg,,,,10/24/2012,,nate burleson
2012,Panthers,,jon beason,placed on ir with knee injury,,,,10/24/2012,,jon beason
2012,Titans,,zac diles,placed on ir with fractured leg,,,,10/24/2012,,zac diles
2012,Jaguars,,daryl smith l,placed on ir with groin injury,,,,10/25/2012,,daryl smith l
2012,Texans,,david hunter,placed on ir with toe injury,,,,10/25/2012,,david hunter
2012,Patriots,,ras-i dowling,placed on ir with thigh injury,,,,10/26/2012,,ras-i dowling
2012,Saints,,daniel graham  dan graham b,placed on ir with knee injury,,,,10/26/2012,,daniel graham dan graham b
2012,Titans,,javon ringer,placed on ir with torn mcl in knee,,,,10/26/2012,,javon ringer
2012,Vikings,,chris cook a,placed on ir with broken arm,,,,10/26/2012,,chris cook a
2012,Browns,,scott fujita,"placed on ir with neck, shoulder injury",,,,10/27/2012,,scott fujita
2012,Broncos,,joe mays,placed on ir with fractured fibula / left ankle,,,,10/30/2012,,joe mays
2012,Browns,,emmanuel stephens,placed on ir with neck injury,,,,10/30/2012,,emmanuel stephens
2012,Buccaneers,,carl nicks,placed on ir with torn plantar plate in left toe,,,,10/30/2012,,carl nicks
2012,Buccaneers,,danny noble,placed on ir with hamstring injury,,,,10/30/2012,,danny noble
2012,Chargers,,richard goodman,placed on ir with hamstring injury,,,,10/30/2012,,richard goodman
2012,Falcons,,kerry meier,placed on ir,,,,10/30/2012,,kerry meier
2012,Rams,,matt daniels,placed on ir with torn acl in right knee,,,,10/30/2012,,matt daniels
2012,Seahawks,,ben obomanu,placed on ir with wrist injury,,,,10/30/2012,,ben obomanu
2012,Lions,,dwight bentley  bill bentley,placed on ir with shoulder injury,,,,11/1/2012,,dwight bentley bill bentley
2012,Bills,,chad rinehart,placed on ir with ankle injury,,,,11/2/2012,,chad rinehart
2012,Browns,,brian sanford,placed on ir with knee injury,,,,11/2/2012,,brian sanford
2012,Bills,,erik pears,placed on ir with hip injury,,,,11/6/2012,,erik pears
