Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted
2023,Cardinals,,kyzir white,placed on ir with torn biceps,,,,11/21/2023,,kyzir white
2023,Cardinals,,leki fotu,placed on ir with hand injury,,,,11/21/2023,,leki fotu
2023,Chargers,,tanner muse,placed on ir with knee injury,,,,11/21/2023,,tanner muse
2023,Dolphins,,salvon ahmed,placed on ir with foot injury,,,,11/21/2023,,salvon ahmed
2023,Saints,,michael thomas william,placed on ir with knee injury,,,,11/21/2023,,michael thomas william
2023,Buccaneers,,rakim jarrett,placed on ir with undisclosed,,,,11/22/2023,,rakim jarrett
2023,Chargers,,joey bosa,placed on ir with sprained foot,,,,11/22/2023,,joey bosa
2023,Commanders,,dejon harris,placed on ir with quadriceps injury,,,,11/22/2023,,dejon harris
2023,Packers,,emanuel wilson,placed on ir with shoulder injury,,,,11/22/2023,,emanuel wilson
2023,Packers,,luke musgrave,placed on ir with lacerated kidney,,,,11/22/2023,,luke musgrave
2023,Panthers,,austin corbett,placed on ir with knee injury,,,,11/22/2023,,austin corbett
2023,Panthers,,dicaprio bootle,placed on ir with knee injury,,,,11/22/2023,,dicaprio bootle
2023,Seahawks,,jerrick reed ii,placed on ir with torn acl in knee,,,,11/23/2023,,jerrick reed ii
2023,Bengals,,joe burrow,placed on ir with right wrist injury (surgery),,,,11/25/2023,,joe burrow
2023,Chiefs,,mecole hardman,placed on ir with thumb injury,,,,11/25/2023,,mecole hardman
2023,Ravens,,mark andrews,placed on ir recovering from surgery on left ankle,,,,11/25/2023,,mark andrews
2023,Saints,,marshon lattimore,placed on ir with ankle injury,,,,11/25/2023,,marshon lattimore
2023,Titans,,chris hubbard,placed on ir with biceps injury,,,,11/25/2023,,chris hubbard
2023,49ers,,george odum,placed on ir with torn biceps,,,,11/27/2023,,george odum
2023,Jaguars,,cam robinson,placed on ir with left knee injury,,,,11/27/2023,,cam robinson
2023,Dolphins,,jaelan phillips,placed on ir with torn right achilles tendon (out for season),,,,11/28/2023,,jaelan phillips
2023,Rams,,duke shelley,placed on ir with hamstring injury,,,,11/28/2023,,duke shelley
2023,Panthers,,chandler zavala,placed on ir with knee injury,,,,11/29/2023,,chandler zavala
2023,Texans,,tytus howard,placed on ir with surgery on knee,,,,11/29/2023,,tytus howard
2023,Panthers,,laviska shenault jr,placed on ir with ankle injury,,,,11/30/2023,,laviska shenault jr
2023,Seahawks,,phil haynes,placed on ir with toe injury,,,,11/30/2023,,phil haynes
2023,Buccaneers,,mike greene b 1999-05-03,placed on ir with calf injury,,,,12/1/2023,,mike greene b --
2023,Bengals,,cam taylor-britt,"placed on ir with ankle, quadriceps injuries",,,,12/4/2023,,cam taylor-britt
2023,Lions,,alim mcneill,placed on ir with sprained knee,,,,12/5/2023,,alim mcneill
2023,Texans,,nathaniel dell  tank dell,placed on ir with fractured fibula in leg,,,,12/5/2023,,nathaniel dell tank dell
2023,Cowboys,,sean mckeon,placed on ir with ankle injury,,,,12/6/2023,,sean mckeon
2023,Jets,,cj uzomah,placed on ir with mcl injury in knee,,,,12/6/2023,,cj uzomah
2023,Saints,,malcolm roach,placed on ir with knee injury,,,,12/6/2023,,malcolm roach
2023,Saints,,marcus maye,placed on ir with shoulder injury,,,,12/6/2023,,marcus maye
2023,Jaguars,,christian kirk davon,placed on ir with core muscle injury,,,,12/8/2023,,christian kirk davon
2023,Titans,,joe jones edwin,placed on ir with finger injury,,,,12/8/2023,,joe jones edwin
2023,Titans,,ryan stonehouse,placed on ir with surgery on knee (out for season),,,,12/8/2023,,ryan stonehouse
2023,49ers,,ray-ray mccloud,placed on ir with rib injury,,,,12/9/2023,,ray-ray mccloud
2023,Chargers,,zack bailey,placed on ir with back injury,,,,12/9/2023,,zack bailey
2023,Chiefs,,bryan cook b,placed on ir with ankle injury,,,,12/9/2023,,bryan cook b
2023,Dolphins,,jerome baker,placed on ir with knee injury,,,,12/9/2023,,jerome baker
2023,Jets,,wes schweitzer,placed on ir with calf injury,,,,12/9/2023,,wes schweitzer
2023,Saints,,nick saldiveri,placed on ir with shoulder injury,,,,12/9/2023,,nick saldiveri
2023,Browns,,dawand jones,placed on ir with surgery on knee (out for season),,,,12/12/2023,,dawand jones
2023,Browns,,maurice hurst jr  maurice hurst ii roy,placed on ir with torn pectoral muscle,,,,12/12/2023,,maurice hurst jr maurice hurst ii roy
2023,Raiders,,kanai mauga,placed on ir with knee injury,,,,12/12/2023,,kanai mauga
2023,Rams,,alex ward,placed on ir with stinger in neck,,,,12/12/2023,,alex ward
2023,Rams,,hunter long,placed on ir with mcl injury in knee (surgery) (out for season),,,,12/12/2023,,hunter long
2023,Chargers,,justin herbert,placed on ir recovering from surgery to repair fractured right index finger (out for season),,,,12/12/2023,,justin herbert
2023,Bears,,yannick ngakoue,placed on ir with fractured ankle,,,,12/13/2023,,yannick ngakoue
2023,Browns,,grant delpit,placed on ir with groin injury,,,,12/13/2023,,grant delpit
2023,Dolphins,,connor williams,placed on ir with torn acl in left knee (out for season),,,,12/13/2023,,connor williams
2023,Ravens,,devin duvernay,placed on ir with back injury,,,,12/13/2023,,devin duvernay
2023,Titans,,kristian fulton,placed on ir with hamstring injury,,,,12/13/2023,,kristian fulton
2023,Titans,,kyle peko,placed on ir with calf injury,,,,12/13/2023,,kyle peko
2023,Commanders,,jamin davis,placed on ir with surgery on shoulder,,,,12/14/2023,,jamin davis
2023,Commanders,,curtis hodges,placed on ir with back injury,,,,12/15/2023,,curtis hodges
2023,Panthers,,hayden hurst,placed on ir with concussion,,,,12/15/2023,,hayden hurst
2023,Panthers,,justin mccray,placed on ir with calf injury,,,,12/15/2023,,justin mccray
2023,Falcons,,kentavius street,placed on ir with pectoral injury,,,,12/16/2023,,kentavius street
2023,Jets,,zaire barnes,placed on ir with hamstring injury,,,,12/16/2023,,zaire barnes
2023,Texans,,tavierre thomas,placed on ir with hamstring injury,,,,12/16/2023,,tavierre thomas
2023,Bengals,,dj ivey,placed on ir with knee injury,,,,12/18/2023,,dj ivey
2023,Bengals,,dj reader,placed on ir with quadriceps injury,,,,12/18/2023,,dj reader
2023,Chargers,,will clapp,placed on ir with knee injury,,,,12/18/2023,,will clapp
2023,Chiefs,,skyy moore,placed on ir with knee injury,,,,12/18/2023,,skyy moore
2023,Patriots,,cole strange,placed on ir with knee injury,,,,12/18/2023,,cole strange
2023,Jets,,quinton jefferson,placed on ir with hip injury,,,,12/19/2023,,quinton jefferson
2023,Ravens,,keaton mitchell,placed on ir with torn acl in knee (out for season),,,,12/19/2023,,keaton mitchell
2023,49ers,,kalia davis,placed on ir with high ankle sprain,,,,12/20/2023,,kalia davis
2023,Cardinals,,geoff swaim,placed on ir with calf injury,,,,12/20/2023,,geoff swaim
2023,Cardinals,,josh woods,placed on ir with undisclosed injury,,,,12/20/2023,,josh woods
2023,Titans,,nick westbrook-ikhine  nick westbrook,placed on ir with undisclosed,,,,12/20/2023,,nick westbrook
2023,Bills,,jordan phillips,placed on ir recovering from surgery on wrist,,,,12/21/2023,,jordan phillips
2023,Giants,,randy bullock,placed on ir with hamstring injury,,,,12/21/2023,,randy bullock
2023,Titans,,amani hooker,placed on ir with knee injury,,,,12/22/2023,,amani hooker
2023,Falcons,,alton keith smith,placed on ir with ankle injury,,,,12/23/2023,,alton keith smith
2023,Patriots,,conor mcdermott,placed on ir with concussion,,,,12/23/2023,,conor mcdermott
2023,Titans,,jack gibbens,placed on ir with back injury,,,,12/23/2023,,jack gibbens
2023,Titans,,jeffery simmons,placed on ir with knee injury,,,,12/23/2023,,jeffery simmons
2023,Titans,,luke gifford,placed on ir with hamstring injury,,,,12/23/2023,,luke gifford
2023,Chiefs,,jerick mckinnon,placed on ir with groin injury,,,,12/24/2023,,jerick mckinnon
2023,Giants,,evan neal,placed on ir with ankle injury,,,,12/24/2023,,evan neal
2023,Browns,,dorian thompson-robinson,placed on ir with hip injury,,,,12/26/2023,,dorian thompson-robinson
2023,Colts,,julian blackmon,placed on ir with shoulder injury,,,,12/26/2023,,julian blackmon
2023,Jaguars,,daniel thomas,placed on ir with fractured left forearm,,,,12/26/2023,,daniel thomas
2023,Texans,,jimmie ward,placed on ir with quadriceps injury,,,,12/26/2023,,jimmie ward
2023,Jets,,duane brown,placed on ir with back injury,,,,12/27/2023,,duane brown
2023,Panthers,,amare barno,placed on ir with knee injury,,,,12/27/2023,,amare barno
2023,Patriots,,rhamondre stevenson,placed on ir with ankle injury,,,,12/27/2023,,rhamondre stevenson
2023,Raiders,,jesper horsted,placed on ir with hamstring injury,,,,12/27/2023,,jesper horsted
2023,Vikings,,dj wonnum,placed on ir with quadriceps injury,,,,12/27/2023,,dj wonnum
2023,Vikings,,tj hockenson,"placed on ir with torn acl, mcl in knee",,,,12/27/2023,,tj hockenson
