avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,recTouchdowns,receptions,targets,yards,player,playerName,position,teamId,season,player_clean
6.567777777777777,5.799000198603975,7.290588235294116,3.1436705680813573,7.689999999999999,1.890999801396025,55.88235294117647,10.727322691697662,1,38,68,450,"{'season': 2018, 'currentTeamId': '3430', 'displayName': 'Quincy Enunwa', 'esbId': 'ENU444955', 'firstName': 'Quincy', 'footballName': 'Quincy', 'gsisId': '00-0031023', 'gsisItId': 41438, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vsd27gfxzjt7v7izbjet', 'jerseyNumber': 81, 'lastName': 'Enunwa', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'Q.Enunwa', 'smartId': '3200454e-5544-4955-3b04-da7d5976635a', 'status': 'RES', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",Quincy Enunwa,WR,3430,2018,quincy enunwa
6.538736842105264,5.069306980756434,6.0735238095238095,3.5643503240060106,5.7015789473684215,0.6322719666119871,72.38095238095238,9.662087533313231,5,76,105,816,"{'season': 2018, 'currentTeamId': '4900', 'displayName': 'Adam Humphries', 'esbId': 'HUM721507', 'firstName': 'Adam', 'footballName': 'Adam', 'gsisId': '00-0032009', 'gsisItId': 43010, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/k0vkjiqxo1qntcqye1p3', 'jerseyNumber': 10, 'lastName': 'Humphries', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'A.Humphries', 'smartId': '32004855-4d72-1507-4b02-e4f7666b5805', 'status': 'ACT'}",Adam Humphries,WR,4900,2018,adam humphries
6.50375,3.4332824075748185,9.54730769230769,3.258717255995559,4.289375000000001,0.8560925924251821,61.53846153846154,9.40589369820658,5,32,52,334,"{'season': 2018, 'currentTeamId': '2310', 'displayName': 'Chris Conley', 'esbId': 'CON236839', 'firstName': 'Christian', 'footballName': 'Chris', 'gsisId': '00-0032128', 'gsisItId': 42419, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/a53jzbb9mcuxhvirkjzs', 'jerseyNumber': 17, 'lastName': 'Conley', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Conley', 'smartId': '3200434f-4e23-6839-29a1-a288b71f08e0', 'status': 'ACT', 'suffix': 'Jr.'}",Chris Conley,WR,2310,2018,chris conley
6.470980392156863,3.582686211520146,11.221698113207546,3.00698939270794,4.1523076923076925,0.5696214807875464,73.58490566037736,11.250269552486127,4,39,53,572,"{'season': 2018, 'currentTeamId': '1050', 'displayName': 'Rashard Higgins', 'esbId': 'HIG322107', 'firstName': 'Rashard', 'footballName': 'Rashard', 'gsisId': '00-0032977', 'gsisItId': 43461, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/ya6ohfbuk96lfgarxbds', 'jerseyNumber': 81, 'lastName': 'Higgins', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'R.Higgins', 'smartId': '32004849-4732-2107-8b68-79212110bd89', 'status': 'ACT'}",Rashard Higgins,WR,1050,2018,rashard higgins
6.464062500000001,3.648052674596732,9.055074626865672,2.80630083086052,3.6423809523809534,-0.0056717222157787,62.68656716417911,15.49702672878863,4,42,67,487,"{'season': 2018, 'currentTeamId': '4500', 'displayName': 'Kendrick Bourne', 'esbId': 'BOU434790', 'firstName': 'Kendrick', 'footballName': 'Kendrick', 'gsisId': '00-0033307', 'gsisItId': 45185, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/ds0gb18xysmfji01ma58', 'jerseyNumber': 84, 'lastName': 'Bourne', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'K.Bourne', 'smartId': '3200424f-5543-4790-acfc-7b92d77f3c8b', 'status': 'ACT'}",Kendrick Bourne,WR,4500,2018,kendrick bourne
6.439239130434784,3.624238880977121,16.500638297872342,2.303899888649516,3.6433999999999993,0.0191611190228782,53.191489361702125,33.56204843913301,6,50,94,752,"{'season': 2018, 'currentTeamId': '3430', 'displayName': 'Robby Anderson', 'esbId': 'AND460305', 'firstName': 'Robby', 'footballName': 'Robby', 'gsisId': '00-0032688', 'gsisItId': 43808, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vtqf5f1ti4ojfjggm388', 'jerseyNumber': 11, 'lastName': 'Anderson', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'R.Anderson', 'smartId': '3200414e-4446-0305-58a8-61667bde4206', 'status': 'ACT'}",Robby Anderson,WR,3430,2018,robby anderson
6.369999999999999,5.028166449214257,9.103673469387756,2.895312885591882,7.638620689655172,2.610454240440915,59.18367346938776,10.72403074311898,2,29,49,388,"{'season': 2018, 'currentTeamId': '5110', 'displayName': 'Jamison Crowder', 'esbId': 'CRO697273', 'firstName': 'Jamison', 'footballName': 'Jamison', 'gsisId': '00-0031941', 'gsisItId': 42448, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vvkr9dehtvp58emtgn4y', 'jerseyNumber': 80, 'lastName': 'Crowder', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'J.Crowder', 'smartId': '32004352-4f69-7273-6662-7a928881f033', 'status': 'ACT'}",Jamison Crowder,WR,5110,2018,jamison crowder
6.365916666666666,4.764846957742511,11.288846153846151,2.9766510596485287,5.28546511627907,0.5206181585365588,66.15384615384615,29.86278846877791,6,86,130,1219,"{'season': 2018, 'currentTeamId': '2510', 'displayName': 'Robert Woods', 'esbId': 'WOO561144', 'firstName': 'Robert', 'footballName': 'Robert', 'gsisId': '00-0030431', 'gsisItId': 39989, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vwtoba3zfsmti9s9wwau', 'jerseyNumber': 17, 'lastName': 'Woods', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'R.Woods', 'smartId': '3200574f-4f56-1144-59b1-dbf0c9bdb37a', 'status': 'ACT'}",Robert Woods,WR,2510,2018,robert woods
6.351126760563381,3.1866600283594093,9.326052631578946,2.673896583650929,3.666756756756756,0.4800967283973465,48.68421052631579,15.336678589280034,1,37,76,371,"{'season': 2018, 'currentTeamId': '3430', 'displayName': 'Jermaine Kearse', 'esbId': 'KEA511674', 'firstName': 'Jermaine', 'footballName': 'Jermaine', 'gsisId': '00-0029159', 'gsisItId': 39141, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/tvnzajvst7kdglamw4t6', 'jerseyNumber': 10, 'lastName': 'Kearse', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'J.Kearse', 'smartId': '32004b45-4151-1674-d596-03e4cb69bbc1', 'status': 'ACT', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",Jermaine Kearse,WR,3430,2018,jermaine kearse
6.338921568627452,2.539086636166959,9.596964285714288,2.261011108641268,3.21550724637681,0.6764206102098518,61.60714285714286,27.101045858420825,6,69,112,734,"{'season': 2018, 'currentTeamId': '3800', 'displayName': 'Larry Fitzgerald', 'esbId': 'FIT437493', 'firstName': 'Larry', 'footballName': 'Larry', 'gsisId': '00-0022921', 'gsisItId': 28955, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/qljpf6rufzvn9zplcrgb', 'jerseyNumber': 11, 'lastName': 'Fitzgerald', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'L.Fitzgerald', 'smartId': '32004649-5443-7493-c0df-1747b7d5c143', 'status': 'ACT', 'suffix': 'Jr.'}",Larry Fitzgerald,WR,3800,2018,larry fitzgerald
